# 05/03/2019 13:25:35
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\Ambient_investigation\ambientinvest_2.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 0; 2; -1; -1
# comment:
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
450; 0.421640083709737; 11250.6171747097; 9974.11; 1268.18
451; 0.423828403826807; 11449.8940743424; 10150.55; 1281.62
452; 0.416126636775544; 11654.2624497656; 10349.46; 1308.15
453; 0.411705682980135; 12002.4560397049; 10705.82; 1311.33
454; 0.417669781417934; 12261.121580999; 10938.89; 1315.51
455; 0.421057073148415; 12492.2708882677; 11145.32; 1326.73
456; 0.420453318909458; 12749.6500132439; 11393.78; 1334.84
457; 0.434259976812206; 13163.6164350349; 11743.21; 1351.36
458; 0.438143835646407; 13470.7015326157; 12004.4; 1380.01
459; 0.441485505050321; 13737.6188408195; 12218.31; 1416.43
460; 0.436989849905579; 14007.1816496752; 12467.56; 1447.42
461; 0.435647554451033; 14382.0189092747; 12788.29; 1500.11
462; 0.437222296943326; 14619.655008434; 12988.62; 1526.84
463; 0.429443310665398; 14841.7476428312; 13191.99; 1569.49
464; 0.425645381392532; 15207.9854695618; 13534.43; 1603.41
465; 0.419638133859134; 15467.758043045; 13775.24; 1641.95
466; 0.41614424991145; 15725.8318665111; 14013.09; 1672.58
467; 0.407753310058659; 15981.7265480085; 14271.38; 1701.75
468; 0.40254261068033; 16519.2147387449; 14763.44; 1766.58
469; 0.402184493984595; 16875.3140090079; 15068.75; 1816.3
470; 0.395217125772102; 17238.3913548639; 15397.56; 1880.3
471; 0.390209669187195; 17695.4070621229; 15786.55; 1971.57
472; 0.387279127855044; 18401.7785372711; 16412.26; 2067.07
473; 0.387176137832735; 18891.4903650491; 16841; 2127.56
474; 0.387815273731522; 19427.769531884; 17340.05; 2159.13
475; 0.389287932589966; 20366.2117072301; 18167.36; 2261.84
476; 0.393287659328573; 20969.8818769217; 18725.06; 2281.93
477; 0.3946212197543; 21647.0071239837; 19328.34; 2345.3
478; 0.3910066757016; 22415.5183711559; 20020.15; 2441.33
479; 0.389540855161768; 23560.9424480738; 21051.57; 2563.15
480; 0.39198883238212; 24359.9629819815; 21763.4; 2631.53
481; 0.39050726674948; 25122.9433469149; 22481.95; 2682.68
482; 0.390152946217699; 26303.9011817434; 23566.69; 2778.75
483; 0.390447644665307; 27090.0642591993; 24283.29; 2843.04
484; 0.389808718907479; 27871.6862608694; 24967.5; 2942.13
485; 0.390275465254753; 28625.8565008607; 25677.83; 2978.5
486; 0.395841627002932; 29678.9432250585; 26580.03; 3082.21
487; 0.397761799834095; 30342.0385392445; 27178.25; 3126.82
488; 0.400884150077184; 31003.2566981414; 27754.35; 3181.11
489; 0.401921755813586; 31632.5069129434; 28305.67; 3244.36
490; 0.398797803822634; 32503.3919518516; 29080.08; 3359.77
491; 0.400960099618158; 33050.7926627843; 29541.63; 3420.99
492; 0.395389704793382; 33549.0969525355; 29981.87; 3521.98
493; 0.395693232026076; 34227.5192477756; 30574.72; 3599.14
494; 0.397367904229286; 34671.4336539517; 30974.31; 3622.94
495; 0.39233816295843; 35076.2103902332; 31348.54; 3695.08
496; 0.389110558491484; 35632.7426435647; 31888.68; 3737.51
497; 0.391152411709971; 36019.0549168087; 32203.41; 3784.41
498; 0.388719003634288; 36363.4728491193; 32522.6; 3828.54
499; 0.390445626020522; 36769.5325007024; 32888.61; 3846.49
500; 0.390102009948989; 37277.8639116278; 33404; 3838.1
501; 0.395948586863187; 37675.4097978549; 33757.12; 3819.85
502; 0.390228303950786; 38066.1463661279; 34104.08; 3913.98
