# 05/03/2019 15:45:43
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\Ambient_investigation\ambientinvest_628.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 0; 2; -1; -1
# comment:topsil blank wafer - Swelling starting 14:03
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
450; 0.421426718369127; 11249.9712152797; 9974.11; 1268.18
451; 0.426830026885869; 11459.0962446075; 10150.55; 1281.62
452; 0.415558097435304; 11652.4797435931; 10349.46; 1308.15
453; 0.405287411995853; 11982.2421786511; 10705.82; 1311.33
454; 0.41083576129125; 12239.4868886207; 10938.89; 1315.51
455; 0.41755982604576; 12481.0832835656; 11145.32; 1326.73
456; 0.412550824794727; 12724.1661977568; 11393.78; 1334.84
457; 0.40927975556945; 13081.9094647949; 11743.21; 1351.36
458; 0.401505290028997; 13348.0861921252; 12004.4; 1380.01
459; 0.403229362070208; 13605.9658293832; 12218.31; 1416.43
460; 0.404387716858186; 13892.3163962232; 12467.56; 1447.42
461; 0.403342397838247; 14263.8369948202; 12788.29; 1500.11
462; 0.403078215720882; 14492.2822916399; 12988.62; 1526.84
463; 0.395243426604429; 14710.3647135544; 13191.99; 1569.49
464; 0.392131546761905; 15076.2155415796; 13534.43; 1603.41
465; 0.388201769717103; 15340.9663879854; 13775.24; 1641.95
466; 0.386684827475799; 15604.5845197569; 14013.09; 1672.58
467; 0.3785492097911; 15859.2281381903; 14271.38; 1701.75
468; 0.369115393291082; 16373.4148598715; 14763.44; 1766.58
469; 0.3764847551645; 16759.8738966025; 15068.75; 1816.3
470; 0.368685299096182; 17114.8121492527; 15397.56; 1880.3
471; 0.36233724742185; 17559.0586491375; 15786.55; 1971.57
472; 0.356336215354455; 18242.8195498399; 16412.26; 2067.07
473; 0.352881272031944; 18709.8642651329; 16841; 2127.56
474; 0.356550496419559; 19259.4623746486; 17340.05; 2159.13
475; 0.360299181677206; 20202.4718142134; 18167.36; 2261.84
476; 0.365503299016753; 20811.2932754621; 18725.06; 2281.93
477; 0.361728112035624; 21453.7378225497; 19328.34; 2345.3
478; 0.358178769815663; 22214.4094583493; 20020.15; 2441.33
479; 0.353450890571598; 23328.4555045492; 21051.57; 2563.15
480; 0.357362134864633; 24130.5931797455; 21763.4; 2631.53
481; 0.360530786626405; 24920.212972067; 22481.95; 2682.68
482; 0.361081907250459; 26099.9463642867; 23566.69; 2778.75
483; 0.360769928164536; 26876.7228499623; 24283.29; 2843.04
484; 0.358919795530187; 27641.5549617625; 24967.5; 2942.13
485; 0.364726994018303; 28432.8708356912; 25677.83; 2978.5
486; 0.365697552279945; 29442.9552302549; 26580.03; 3082.21
487; 0.366251244576809; 30091.404281179; 27178.25; 3126.82
488; 0.371042161025899; 30761.4066821307; 27754.35; 3181.11
489; 0.367263270438282; 31345.6273727705; 28305.67; 3244.36
490; 0.365698991304176; 32219.269122186; 29080.08; 3359.77
491; 0.370289837163753; 32782.3695953388; 29541.63; 3420.99
492; 0.366324067870714; 33286.8652298423; 29981.87; 3521.98
493; 0.366331019817695; 33956.4651634825; 30574.72; 3599.14
494; 0.372293910570316; 34438.1444172797; 30974.31; 3622.94
495; 0.372056216621568; 34883.508231855; 31348.54; 3695.08
496; 0.373630900815597; 35483.7957523157; 31888.68; 3737.51
497; 0.374786847052202; 35859.4107941402; 32203.41; 3784.41
498; 0.373888316913867; 36216.9331085208; 32522.6; 3828.54
499; 0.372080695890543; 36586.9901290751; 32888.61; 3846.49
500; 0.372242456002142; 37100.5116300502; 33404; 3838.1
501; 0.369217573550142; 37410.8808660039; 33757.12; 3819.85
502; 0.358175028017553; 37740.7030161363; 34104.08; 3913.98
503; 0.353371610283016; 38230.6663565466; 34594.64; 3961.47
504; 0.347047549534747; 38608.1561893646; 34973.85; 4026.59
505; 0.345844882064437; 39011.1630358526; 35353.22; 4062.03
506; 0.345944242589878; 39437.6120064384; 35768.07; 4068.88
507; 0.3455947612063; 40119.0264311921; 36370.57; 4155.8
508; 0.344885940220238; 40548.9086079811; 36741.22; 4225.27
509; 0.344665170926505; 40982.9272449852; 37140.99; 4261.28
510; 0.350392881887705; 41705.2895825193; 37783.05; 4274.38
511; 0.353331054383962; 42221.7928121021; 38240.47; 4297.8
512; 0.354011431619648; 42692.0243533141; 38680.47; 4317.19
513; 0.3527745342309; 43371.3960798065; 39294.3; 4398.19
514; 0.350807617053098; 43830.0986061124; 39685.29; 4491.16
515; 0.34996395422684; 44251.3615588792; 40091.53; 4513.23
516; 0.349785622413951; 44651.3593016092; 40463.87; 4540.33
517; 0.3465583324036; 45341.6748896166; 41103.87; 4632.33
518; 0.34119185728724; 45768.5199037778; 41495.43; 4739
519; 0.336406056843511; 46198.6935450375; 41923.66; 4803.15
520; 0.330986252526995; 46853.1035827624; 42544.3; 4914.89
521; 0.328082821722933; 47253.1994995763; 42937.46; 4961.07
522; 0.330593246629882; 47735.1975533507; 43342.89; 5005.39
523; 0.326687429070545; 48421.6710725995; 43960.31; 5139.48
524; 0.32354204976809; 48888.7698901201; 44373.07; 5247.14
525; 0.32090193338221; 49311.8622825757; 44755.89; 5332.01
526; 0.32497548828295; 49938.6378156812; 45261.17; 5400.02
527; 0.326541875204709; 50352.937322885; 45576.28; 5482.69
528; 0.323845343946689; 50665.3612227865; 45905.48; 5503.37
529; 0.324573520896295; 50976.8839758243; 46153; 5559.37
530; 0.328813854405174; 51426.6894230004; 46536.92; 5557.27
531; 0.331330319010013; 51676.0543525375; 46723.03; 5581.29
532; 0.331338940562518; 51876.0120422898; 46892.47; 5610.38
533; 0.33365656830285; 52162.510864203; 47110.61; 5642.64
534; 0.33439557530895; 52339.071497687; 47313.66; 5595.49
535; 0.335763690927051; 52555.7471312727; 47486.22; 5615.72
536; 0.339487184741636; 52867.0498506803; 47682.92; 5673.86
537; 0.339952048622928; 53065.8098360843; 47842.65; 5702.61
538; 0.337102663196996; 53222.4259660948; 48015.96; 5726.24
539; 0.334994898105861; 53531.2745167376; 48297.33; 5786.85
540; 0.336861927064733; 53728.4349642259; 48516.67; 5724.61
541; 0.339270166154624; 54019.0210138994; 48768.87; 5721.07
542; 0.344095361110255; 54475.5144829282; 49102.8; 5767.71
543; 0.342933374742762; 54711.2670801633; 49344.77; 5776.02
544; 0.342334615755975; 54974.1360279778; 49587.23; 5803.56
545; 0.342680029218767; 55431.4443750521; 49996.55; 5844.6
546; 0.341877379687134; 55759.4782439833; 50263.6; 5919.23
547; 0.345413835087308; 56060.7291329749; 50515.8; 5905.79
548; 0.343334265750842; 56562.6966019813; 50973.44; 5984.01
549; 0.338354317768271; 56761.8641125166; 51230.63; 6003.82
550; 0.338562589654659; 57056.7745041541; 51502.98; 6019.5
551; 0.336839108664752; 57332.1929709094; 51737.46; 6089.73
552; 0.332905822302924; 57756.4722618793; 52212.42; 6100.68
553; 0.330128655385645; 58013.1909814055; 52434.14; 6185.73
554; 0.330296006401385; 58266.7029768366; 52753.85; 6104.03
555; 0.32920683258886; 58708.9123405744; 53190.84; 6124.79
556; 0.329126288544488; 59025.4675870739; 53534; 6091.38
557; 0.330714559321454; 59380.2377926485; 53871.51; 6075.97
558; 0.329619891859077; 59923.0843108749; 54434.92; 6068.18
559; 0.328169918354003; 60334.1862001686; 54926.61; 6000.33
560; 0.329272151040493; 60784.1428026013; 55331.79; 6024.57
561; 0.330555796964827; 61550.9507885301; 56104.62; 5989.53
562; 0.329008153338364; 62132.4575259759; 56631.31; 6073.02
563; 0.326772921950629; 62681.6160038872; 57204.86; 6082.5
564; 0.325086959547766; 63594.7770944624; 57987.46; 6254.7
565; 0.321322677355885; 64147.4732175507; 58485.75; 6384.67
566; 0.324272455737621; 64708.2022744401; 58942.33; 6438.22
567; 0.326451574046185; 65436.6970342418; 59535.65; 6540.69
568; 0.330264107782549; 65832.0053319005; 59838.9; 6561.54
569; 0.330426009462781; 66041.767924734; 60017.6; 6587.61
570; 0.331691244857673; 66183.6993173894; 60102.89; 6619.45
571; 0.330541962504513; 66179.5058853673; 60105.7; 6629.71
572; 0.331830634091343; 66122.2873823135; 60092.66; 6550.7
573; 0.331659855949649; 65885.5448087459; 59886.75; 6515.35
574; 0.32953193861026; 65634.687841579; 59702.95; 6478.76
575; 0.328194026234099; 65299.9667186669; 59376.57; 6490.82
576; 0.323704554553148; 65089.2968298057; 59212.73; 6523.75
577; 0.322687625889002; 64911.1840741049; 59049.47; 6522.7
578; 0.322932323915387; 64657.5563823108; 58832.77; 6471.66
579; 0.324022801627488; 64531.7770559865; 58681.73; 6472.98
580; 0.320731171027133; 64357.3270269806; 58531.76; 6507.14
581; 0.32552750633671; 64224.708463468; 58358.47; 6451.5
582; 0.327669795481626; 64117.6788390004; 58223.81; 6434.99
583; 0.328685599915178; 64026.3384842312; 58116.48; 6428.16
584; 0.327844558684807; 63831.7932833469; 58041.66; 6309.99
585; 0.326791770382621; 63760.4134417147; 58001.66; 6291.92
586; 0.327287869262141; 63696.8688247119; 57916.29; 6302.09
587; 0.329717646502806; 63577.1441695165; 57822.8; 6223.37
588; 0.331726758729127; 63505.4972745212; 57756.09; 6176.51
589; 0.327941158183795; 63422.5908160289; 57699.13; 6215.89
590; 0.324446242107651; 63384.9116019403; 57738.52; 6194.36
591; 0.324048276850717; 63351.9799192391; 57724.43; 6177.39
592; 0.326243684675177; 63445.4869750497; 57741.06; 6215.73
593; 0.323476771454423; 63465.0058788452; 57802.18; 6219.26
594; 0.322215264927996; 63520.9085493226; 57908.29; 6184.35
595; 0.31919632553601; 63742.156334729; 58111.59; 6258.85
596; 0.319064895059882; 63982.1763557275; 58326.91; 6284.92
597; 0.319401691597553; 64267.4756924244; 58603.15; 6284.37
598; 0.320768833296769; 64815.4712886925; 59099.6; 6310.53
599; 0.31965900234224; 65254.8949528814; 59527.8; 6340.85
600; 0.318906088535604; 65786.5887803892; 59960.28; 6461.82
601; 0.316887350748601; 66636.8206796934; 60697.15; 6625.3
602; 0.312913401056662; 67295.2449806673; 61279.87; 6790.82
603; 0.310586339607336; 67959.8572277891; 61857.51; 6936.2
604; 0.314655923467643; 68948.4480553648; 62656.02; 7055.25
605; 0.314223000485666; 69535.2104972678; 63164.06; 7148.99
606; 0.314474711648626; 70143.796724465; 63665.24; 7259.25
607; 0.311270990318404; 70812.3032249336; 64229.46; 7447.46
608; 0.308303962569664; 71130.1361022222; 64605.07; 7448.57
609; 0.308632792458643; 71614.6323091098; 65012.16; 7524.28
610; 0.312093321128976; 71801.4043378091; 65131.3; 7512.45
611; 0.313994410459403; 71910.2126802814; 65239.15; 7463.65
612; 0.310344213687538; 71875.612068846; 65282.26; 7458.87
613; 0.311661575334213; 71862.8268591693; 65221.73; 7476.51
614; 0.309923574773929; 71659.3958060361; 65048.2; 7480.17
615; 0.3098754569871; 71273.9276776306; 64730.84; 7399.89
616; 0.310585859184363; 70990.5237729164; 64404.11; 7427.25
617; 0.315062462575142; 70379.9641094293; 63844.38; 7261.12
618; 0.31263520348434; 69923.1285890145; 63501.23; 7185.95
619; 0.307718711946114; 69398.6963617159; 63069.45; 7191.57
620; 0.301634206645966; 68636.5262799657; 62453.03; 7163.84
621; 0.299065158653458; 68090.4533066736; 62036.47; 7070.44
622; 0.297854821747903; 67630.0123928733; 61653.69; 7004.53
623; 0.296050039110427; 66978.8198503083; 61131.32; 6892
624; 0.294959981233708; 66542.689049956; 60832.15; 6752.19
625; 0.290370222298989; 65929.5867366302; 60360.05; 6686.33
626; 0.29035224034077; 65556.5379150703; 60030.06; 6631.84
627; 0.293122115533079; 65245.1100176461; 59716.95; 6568.18
628; 0.297116858027811; 64789.0106319725; 59254.98; 6483.61
629; 0.297742170727149; 64486.8990697038; 58966.16; 6451.51
630; 0.29873061439918; 64226.4384417404; 58767.56; 6355.21
631; 0.298946478392036; 63805.2158925279; 58338.17; 6357.4
632; 0.299457981388375; 63594.5931168733; 58079.03; 6400.12
633; 0.305248350236143; 63314.5588934054; 57719.35; 6366.65
634; 0.307792939952668; 63118.1253844195; 57485.65; 6353.16
635; 0.309109027569903; 62908.14233169; 57286.55; 6310.45
636; 0.309030872696844; 62648.3266856395; 57071.09; 6258.83
637; 0.308044065679032; 62480.1607249312; 56913.78; 6262.88
638; 0.306622715186839; 62287.2731447014; 56743.68; 6262.37
639; 0.309622341925162; 62083.7356240753; 56591.41; 6140.81
640; 0.308554316000481; 61829.6343039742; 56432.61; 6051.48
641; 0.305636157468217; 61535.626694183; 56168.28; 6072.51
642; 0.302708781135102; 61299.6756698949; 55997.94; 6053.14
643; 0.301639229816715; 61140.8374376328; 55836.36; 6074.76
644; 0.300860422346465; 60839.1821996422; 55534.33; 6087.92
