# 06/03/2019 11:13:17
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\PIswelling\PIslowslow_2.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 1.15333333252949; 0; 302; -1
# comment:PI id:353 Single static measurement - redo
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.334636098216611; 4351.82987645283; 3854.36; 720.85
401; 0.347271644743833; 4508.33730565314; 3985.6; 726.75
402; 0.351087334448967; 4607.52704050511; 4083.71; 717.18
403; 0.351113913696039; 4712.73594099574; 4177.83; 729.27
404; 0.351738586930784; 4835.18665221093; 4266.9; 770.15
405; 0.364014105342186; 5010.23258662044; 4419.01; 771.21
406; 0.364043453169548; 5133.42084869366; 4538.57; 772.84
407; 0.362423785598267; 5258.05790254333; 4650.31; 790.01
408; 0.36888638499709; 5377.94365988471; 4747.36; 802.14
409; 0.375773515321071; 5493.59815593201; 4845.27; 806.6
410; 0.367018601616519; 5650.76897401757; 4970.83; 862.87
411; 0.366057559549672; 5753.46146204338; 5045.16; 898.04
412; 0.366744877049077; 5837.3127581882; 5134.48; 886.28
413; 0.360880777345238; 5918.90277352618; 5205.72; 910.9
414; 0.359477148661623; 6063.01725671785; 5316.37; 954.15
415; 0.368737127439654; 6164.40701403002; 5386.19; 966.33
416; 0.371432795181133; 6259.37823230627; 5457.07; 985.72
417; 0.380075516067268; 6364.75439295401; 5520.71; 1010.06
418; 0.386671317900553; 6503.02885171278; 5645.41; 1005.43
419; 0.382977219000619; 6597.53712094059; 5742.25; 1009.35
420; 0.384181866996089; 6718.58547459155; 5841.72; 1028.49
421; 0.387531467554848; 6853.66304794528; 5953.97; 1043.09
422; 0.396747417583642; 7048.37777296643; 6112.25; 1057.02
423; 0.399901419911604; 7176.72938495578; 6213.11; 1076.28
424; 0.38241364163742; 7296.33165031514; 6341.27; 1112.19
425; 0.382111525142677; 7441.23753577365; 6476.56; 1121.22
426; 0.370659567008263; 7665.13499541853; 6672.57; 1186.04
427; 0.372713157603975; 7825.329409157; 6816.49; 1195.56
428; 0.374209371588327; 7991.29416078442; 6935.77; 1242.47
429; 0.380076158408453; 8137.95967557137; 7065.26; 1240.13
430; 0.390630600237173; 8380.83200600738; 7250.62; 1268.14
431; 0.385779351569883; 8534.05462352685; 7391.86; 1294.51
432; 0.380009376486086; 8646.45436582405; 7498.99; 1316.94
433; 0.380658898005464; 8766.77659942608; 7596.6; 1337.5
434; 0.387902919201014; 8952.35413098022; 7741.1; 1355.32
435; 0.389771961367612; 9077.56323612321; 7839.02; 1376.23
436; 0.384491858013768; 9170.07189615702; 7932.9; 1390.56
437; 0.383840306292052; 9294.25792056111; 8022.45; 1428.62
438; 0.380155545340012; 9462.1923306562; 8192.53; 1436.7
439; 0.379698431717737; 9556.69027120755; 8266.28; 1458.6
440; 0.379612980875049; 9660.37507835663; 8353.7; 1473.93
441; 0.38570977062644; 9786.59342225866; 8471.61; 1456.61
442; 0.38288861760248; 9976.96009264398; 8631.22; 1498.28
443; 0.376956557180269; 10091.2689544999; 8745.18; 1518.91
444; 0.378622087354459; 10251.8169928634; 8868.1; 1551.1
445; 0.378461998464071; 10367.2042350782; 8992.88; 1537.75
446; 0.380068952416178; 10565.978031471; 9180.96; 1539.64
