# 06/03/2019 11:14:00
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\PIswelling\PIslowslow_3.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 1.13010629878783; 2; 298.8; -1
# comment:PI id:353 Single static measurement - redo
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.354451406672099; 4381.28730528899; 3854.36; 720.85
401; 0.366427043325058; 4537.17133686363; 3985.6; 726.75
402; 0.381428470936264; 4652.795561357; 4083.71; 717.18
403; 0.378448012320383; 4754.37818636282; 4177.83; 729.27
404; 0.36367494294725; 4854.47163273975; 4266.9; 770.15
405; 0.360517586113732; 5004.55362772276; 4419.01; 771.21
406; 0.356989229325911; 5121.89417240343; 4538.57; 772.84
407; 0.360097192095605; 5254.1564413879; 4650.31; 790.01
408; 0.360137357864161; 5362.98785296341; 4747.36; 802.14
409; 0.364694544379982; 5474.48342722708; 4845.27; 806.6
410; 0.355386249234068; 5629.21886808425; 4970.83; 862.87
411; 0.34600215968492; 5714.65535443685; 5045.16; 898.04
412; 0.35510627746859; 5815.00845468867; 5134.48; 886.28
413; 0.356096379208887; 5909.44771094946; 5205.72; 910.9
414; 0.369122771229738; 6083.05156948747; 5316.37; 954.15
415; 0.374075303317404; 6175.67319522744; 5386.19; 966.33
416; 0.366050712926887; 6247.75274054692; 5457.07; 985.72
417; 0.374174702126347; 6351.6502894005; 5520.71; 1010.06
418; 0.378373406550188; 6484.62447343473; 5645.41; 1005.43
419; 0.376432605111641; 6582.92130649246; 5742.25; 1009.35
420; 0.376504223251213; 6701.06184501805; 5841.72; 1028.49
421; 0.374682583960446; 6823.83308002891; 5953.97; 1043.09
422; 0.373053847465301; 6992.47266043012; 6112.25; 1057.02
423; 0.369019017790186; 7102.31384188325; 6213.11; 1076.28
424; 0.369971771024675; 7265.25861267575; 6341.27; 1112.19
425; 0.3744287950608; 7421.84173995034; 6476.56; 1121.22
426; 0.359416213424399; 7635.02715471572; 6672.57; 1186.04
427; 0.368064814064285; 7812.74752935355; 6816.49; 1195.56
428; 0.367568790140727; 7972.56321845166; 6935.77; 1242.47
429; 0.367865775852268; 8103.49796805077; 7065.26; 1240.13
430; 0.371504549030492; 8325.49457804301; 7250.62; 1268.14
431; 0.370384448807975; 8488.47422869024; 7391.86; 1294.51
432; 0.366847616242305; 8606.71152839485; 7498.99; 1316.94
433; 0.366285427455199; 8722.5913748626; 7596.6; 1337.5
434; 0.373914880745818; 8908.67549768181; 7741.1; 1355.32
435; 0.370046756287279; 9014.88422953775; 7839.02; 1376.23
436; 0.365671490431903; 9109.5139692144; 7932.9; 1390.56
437; 0.364003211699076; 9228.53013322167; 8022.45; 1428.62
438; 0.371238854781464; 9432.41192562178; 8192.53; 1436.7
439; 0.371342688601592; 9528.29316487275; 8266.28; 1458.6
440; 0.371137467624544; 9631.20130796767; 8353.7; 1473.93
441; 0.374760670327582; 9749.26513431236; 8471.61; 1456.61
442; 0.372247264935525; 9939.55888961644; 8631.22; 1498.28
443; 0.367655477360236; 10058.0553637766; 8745.18; 1518.91
444; 0.369047450106547; 10216.8254044091; 8868.1; 1551.1
445; 0.378739806844064; 10368.2130517913; 8992.88; 1537.75
446; 0.376411604149; 10552.6502043354; 9180.96; 1539.64
447; 0.365841704863305; 10722.9866366876; 9336.15; 1598.18
448; 0.369927595329448; 10921.2354589395; 9503.28; 1612.48
449; 0.375761468715737; 11240.6043217614; 9759.68; 1654.44
450; 0.376182126688484; 11443.9936903; 9952.86; 1660.42
451; 0.376410073745057; 11649.2797065063; 10135.12; 1681.65
452; 0.38342367986247; 11865.2441501318; 10315.84; 1685.87
453; 0.37272190792304; 12188.5523333465; 10632.34; 1738.46
454; 0.364595311147733; 12437.3630323234; 10871.13; 1785.11
455; 0.3625551339339; 12672.0152033138; 11090.19; 1809.49
456; 0.355895688462313; 12917.3994694658; 11336.98; 1838.14
457; 0.346273073800446; 13280.411574106; 11703.49; 1881.48
458; 0.344850488095163; 13564.049003753; 11962.1; 1915.55
459; 0.343362210356666; 13808.9465843319; 12166.46; 1968.86
460; 0.339918955154097; 14081.0898964668; 12419.21; 2008.52
461; 0.347159963811026; 14480.3444481733; 12764.35; 2026.89
462; 0.350123678466304; 14717.1853458634; 12966.47; 2046.57
463; 0.355038662497279; 14953.5530637956; 13151.39; 2073.78
464; 0.360483329000693; 15366.044702733; 13494.02; 2117.77
465; 0.356696689023553; 15621.0392543253; 13718.51; 2171.37
466; 0.353651104341671; 15876.4431875556; 13951.52; 2211.96
467; 0.353389528919149; 16171.4550613879; 14196.36; 2267.48
468; 0.346683301977597; 16684.3824957539; 14670.32; 2352.97
469; 0.339284910705641; 17009.1831710658; 14971.26; 2428.75
470; 0.333444165148164; 17361.4686252107; 15302.08; 2493.24
471; 0.327442146736906; 17802.2712339693; 15703.48; 2583.28
472; 0.324920888051868; 18476.5804114228; 16286.71; 2711.89
473; 0.324271857971584; 18965.4551576611; 16704.77; 2800.68
474; 0.323688613713211; 19492.5629327418; 17202.51; 2837.59
475; 0.322178899896698; 20394.9359942273; 18016.84; 2955.76
