# 06/03/2019 12:21:34
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\PIswelling\PIslowslow_369.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 0.854812064473109; 2; 400; -1
# comment:PI id:353 Slowslow swelling start 11:22
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.297910931142095; 4297.23425922972; 3854.36; 720.85
401; 0.317485653869329; 4463.5013714454; 3985.6; 726.75
402; 0.328602611697437; 4573.9801711862; 4083.71; 717.18
403; 0.34308840182396; 4700.50944181; 4177.83; 729.27
404; 0.340123739528961; 4816.42111726204; 4266.9; 770.15
405; 0.353746689199393; 4993.55650665331; 4419.01; 771.21
406; 0.349399307448035; 5109.49215986546; 4538.57; 772.84
407; 0.352042002114894; 5240.64870538961; 4650.31; 790.01
408; 0.362562081430375; 5367.1327363822; 4747.36; 802.14
409; 0.379683981782197; 5500.34494730024; 4845.27; 806.6
410; 0.369708320564496; 5655.75194963196; 4970.83; 862.87
411; 0.362786863716176; 5747.13284355066; 5045.16; 898.04
412; 0.367561434907945; 5838.87761607193; 5134.48; 886.28
413; 0.36633707806328; 5929.68566894087; 5205.72; 910.9
414; 0.366993821623222; 6078.6296628675; 5316.37; 954.15
415; 0.369519918761908; 6166.05908939776; 5386.19; 966.33
416; 0.37112610676691; 6258.71577427166; 5457.07; 985.72
417; 0.363588079486135; 6328.14027862093; 5520.71; 1010.06
418; 0.375009215854329; 6477.16285622146; 5645.41; 1005.43
419; 0.372892859691555; 6575.01614002562; 5742.25; 1009.35
420; 0.371557930055042; 6689.77231236821; 5841.72; 1028.49
421; 0.375059039734321; 6824.70705974662; 5953.97; 1043.09
422; 0.379393705268668; 7007.43159073024; 6112.25; 1057.02
423; 0.38935809300915; 7151.32373826571; 6213.11; 1076.28
424; 0.383897314230003; 7300.03705891074; 6341.27; 1112.19
425; 0.383613056840981; 7445.02829790275; 6476.56; 1121.22
426; 0.380105317719267; 7690.42915303833; 6672.57; 1186.04
427; 0.378029711808342; 7839.71996471658; 6816.49; 1195.56
428; 0.376168899265996; 7996.82135749445; 6935.77; 1242.47
429; 0.375280648005558; 8124.42517113172; 7065.26; 1240.13
430; 0.373616810309058; 8331.60598625172; 7250.62; 1268.14
431; 0.367802925121822; 8480.83099308721; 7391.86; 1294.51
432; 0.360977521075447; 8588.98637358354; 7498.99; 1316.94
433; 0.36187239650345; 8709.02535662596; 7596.6; 1337.5
434; 0.357810816915335; 8858.38942641321; 7741.1; 1355.32
435; 0.352034386984818; 8957.64794684609; 7839.02; 1376.23
436; 0.345350250740296; 9044.12671557683; 7932.9; 1390.56
437; 0.338176811976996; 9142.95751568336; 8022.45; 1428.62
438; 0.336825419462398; 9317.47622882953; 8192.53; 1436.7
439; 0.334190043362064; 9402.02939601089; 8266.28; 1458.6
440; 0.332954886456716; 9499.77211625688; 8353.7; 1473.93
441; 0.334890347635442; 9613.33698995885; 8471.61; 1456.61
442; 0.332527800154649; 9799.95673442916; 8631.22; 1498.28
443; 0.329162786178055; 9920.60030312742; 8745.18; 1518.91
