# 06/03/2019 12:54:13
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\PIswelling\PIslowslow_565.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 2.78610832276395; 2; 94.7; -1
# comment:PI id:353 Slowslow swelling start 11:22
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.225511770188902; 4189.60569839418; 3854.36; 720.85
401; 0.231829086096665; 4334.56517948534; 3985.6; 726.75
402; 0.233100334224403; 4431.49220469222; 4083.71; 717.18
403; 0.236621473501012; 4538.31196042846; 4177.83; 729.27
404; 0.222743152440672; 4626.77510357608; 4266.9; 770.15
405; 0.22510659962731; 4784.62249727365; 4419.01; 771.21
406; 0.21633716218803; 4892.06720867413; 4538.57; 772.84
407; 0.224604465631735; 5026.94889157888; 4650.31; 790.01
408; 0.221806910451342; 5126.52230869088; 4747.36; 802.14
409; 0.218215228578623; 5221.76028197153; 4845.27; 806.6
410; 0.211519220648502; 5362.69068836644; 4970.83; 862.87
411; 0.204190284328613; 5440.25709102288; 5045.16; 898.04
412; 0.198647006700613; 5515.16868132148; 5134.48; 886.28
413; 0.197739365444112; 5596.4981127057; 5205.72; 910.9
414; 0.205442756473078; 5743.08215988076; 5316.37; 954.15
415; 0.206735378017786; 5822.503505213; 5386.19; 966.33
416; 0.199076812954351; 5887.083095146; 5457.07; 985.72
417; 0.206285051084268; 5978.81301731483; 5520.71; 1010.06
418; 0.211341269170084; 6114.15502502351; 5645.41; 1005.43
419; 0.202065799072276; 6193.51515874775; 5742.25; 1009.35
420; 0.210419709912857; 6321.98675553126; 5841.72; 1028.49
421; 0.210464786621762; 6442.58504474881; 5953.97; 1043.09
422; 0.207269003712699; 6601.30238509747; 6112.25; 1057.02
423; 0.211972470469731; 6723.8878353644; 6213.11; 1076.28
424; 0.207475704321538; 6859.43166316969; 6341.27; 1112.19
425; 0.207441030483445; 7000.26496291729; 6476.56; 1121.22
426; 0.197609557499307; 7201.73570079948; 6672.57; 1186.04
427; 0.20072440228166; 7359.79973637477; 6816.49; 1195.56
428; 0.206807519825215; 7519.10743187907; 6935.77; 1242.47
429; 0.20266150122693; 7637.23727825724; 7065.26; 1240.13
430; 0.20128643510271; 7833.00229534855; 7250.62; 1268.14
431; 0.19936174653877; 7982.1194685456; 7391.86; 1294.51
432; 0.196928334673644; 8093.6286079959; 7498.99; 1316.94
433; 0.194750225923152; 8195.27812969118; 7596.6; 1337.5
434; 0.19011076166258; 8334.7342162155; 7741.1; 1355.32
435; 0.192667822892984; 8451.24317794591; 7839.02; 1376.23
436; 0.187161734058616; 8535.12663389934; 7932.9; 1390.56
437; 0.187486859866733; 8643.6647850836; 8022.45; 1428.62
438; 0.182781085099727; 8802.99132656048; 8192.53; 1436.7
439; 0.186161376685212; 8898.95196414263; 8266.28; 1458.6
440; 0.187607056284074; 8999.46681336126; 8353.7; 1473.93
441; 0.184534207703239; 9100.73438949961; 8471.61; 1456.61
442; 0.18566341632233; 9283.77192135696; 8631.22; 1498.28
443; 0.177650319530919; 9379.55849356629; 8745.18; 1518.91
444; 0.179474710842351; 9524.0105120281; 8868.1; 1551.1
445; 0.176110429152006; 9632.39686514332; 8992.88; 1537.75
446; 0.176443200572441; 9823.94073486334; 9180.96; 1539.64
447; 0.174994553847317; 9999.52122113219; 9336.15; 1598.18
448; 0.179620891100766; 10191.77803662; 9503.28; 1612.48
449; 0.180470737729885; 10470.9384102459; 9759.68; 1654.44
450; 0.181119808393307; 10670.7937589837; 9952.86; 1660.42
451; 0.180575840064054; 10861.5103919285; 10135.12; 1681.65
452; 0.186109998593024; 11067.905194055; 10315.84; 1685.87
453; 0.185119968166288; 11405.2647234605; 10632.34; 1738.46
454; 0.185088771197398; 11666.2366250658; 10871.13; 1785.11
455; 0.185701457577881; 11900.4040016651; 11090.19; 1809.49
456; 0.174786093512817; 12113.1494061904; 11336.98; 1838.14
457; 0.169414111332868; 12474.9989255619; 11703.49; 1881.48
458; 0.168260740259912; 12743.7289509085; 11962.1; 1915.55
459; 0.171862803719959; 12988.5724542578; 12166.46; 1968.86
460; 0.171705187378179; 13258.6848062623; 12419.21; 2008.52
461; 0.170653916795822; 13607.8838296672; 12764.35; 2026.89
462; 0.1732139342574; 13832.5876363454; 12966.47; 2046.57
463; 0.176585281333672; 14047.7303292224; 13151.39; 2073.78
464; 0.175722574239637; 14406.5642796934; 13494.02; 2117.77
465; 0.178960114470389; 14673.0376522453; 13718.51; 2171.37
466; 0.180016782273382; 14931.351461271; 13951.52; 2211.96
467; 0.181065869589582; 15208.3376494399; 14196.36; 2267.48
468; 0.179458226535875; 15712.8855967814; 14670.32; 2352.97
469; 0.181165791292545; 16059.4367866178; 14971.26; 2428.75
470; 0.180393581806602; 16416.2110278093; 15302.08; 2493.24
471; 0.179687903893495; 16855.2174940893; 15703.48; 2583.28
472; 0.18986571240052; 17566.3485859417; 16286.71; 2711.89
473; 0.193902472680846; 18056.5753794906; 16704.77; 2800.68
474; 0.197133951191819; 18597.2059019998; 17202.51; 2837.59
475; 0.195556912843187; 19460.3023472392; 18016.84; 2955.76
476; 0.192459550250479; 20032.5314286464; 18568.46; 3041.26
477; 0.198774212980731; 20675.5661301843; 19133.22; 3097.15
478; 0.19763346431938; 21407.970007988; 19813.99; 3214.11
479; 0.197467264689943; 22496.5370505566; 20817.86; 3382.47
480; 0.1939205253444; 23236.8497866104; 21534.12; 3488.23
