# 06/03/2019 16:27:50
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\PS-b-PI\PSbPI_3.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 3.13883566102351; 2; 105.3; -1
# comment:PSbPI id:370 Static measurement with optics
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.467694804636033; 4336.38321219844; 3706.58; 652.97
401; 0.46334582993392; 4486.95947632807; 3827.82; 686.82
402; 0.460143132557889; 4583.57024950654; 3922.88; 690.19
403; 0.461719867097337; 4690.56621849499; 4026.52; 688.46
404; 0.472799777497156; 4804.62171115965; 4116.57; 693.7
405; 0.462855167356072; 4969.8943880434; 4267.86; 720.2
406; 0.477838961533291; 5091.77449579783; 4392.4; 692.25
407; 0.463723511240215; 5192.36561991118; 4498.1; 705.33
408; 0.457986154424156; 5300.9718520594; 4602.23; 715.92
409; 0.459763592541774; 5405.4765528481; 4697.66; 719.74
410; 0.440535701895849; 5540.85536221743; 4851.48; 728.85
411; 0.435508645332134; 5625.9562979497; 4933.69; 737.74
412; 0.430002814528253; 5716.75234164658; 5006.35; 764.04
413; 0.415100330948188; 5783.72102693923; 5074.69; 787.31
414; 0.397403475019827; 5896.25941237935; 5187.46; 819.34
415; 0.398263911631316; 5986.25052332209; 5262.83; 831.69
416; 0.39882185741794; 6069.38597886727; 5333.87; 841.6
417; 0.395430072751909; 6157.67142901496; 5432.16; 834.5
418; 0.402106052337221; 6306.55201453816; 5554.94; 847.33
419; 0.408206636362551; 6411.16706703231; 5639.25; 854.66
420; 0.397156518491003; 6519.59160496883; 5731.78; 893.85
421; 0.393730336236879; 6623.33874705891; 5844.55; 888.7
422; 0.388750983051896; 6784.21783392161; 5986.26; 919.54
423; 0.38954875746612; 6913.85192584834; 6097.41; 936.13
424; 0.376111780812974; 7034.42487910463; 6222.48; 961.37
425; 0.37691029099975; 7187.60746892763; 6336.9; 1002.4
426; 0.373635070099797; 7394.37345900998; 6501.39; 1058.55
427; 0.370227019565281; 7547.9602257404; 6648.16; 1073.5
428; 0.36328581637264; 7688.16963723491; 6783.3; 1097.16
429; 0.367955378236349; 7823.35283353755; 6907.86; 1093.25
430; 0.362161759457863; 8026.98721052593; 7111.68; 1107.74
431; 0.361061729426845; 8169.87478077375; 7247.41; 1117.05
432; 0.359381819072128; 8290.22807233566; 7363.78; 1124.31
433; 0.35605164230522; 8394.81602369621; 7451.35; 1152.9
434; 0.352572064166184; 8556.14393305265; 7622.06; 1149.92
435; 0.350679893410492; 8664.85209447904; 7725.43; 1160.22
436; 0.353404324604097; 8757.68397280727; 7810.18; 1158.66
437; 0.349440185011759; 8861.94567194855; 7906.48; 1178.93
438; 0.346910441776147; 9039.82777013327; 8054.32; 1222.03
439; 0.342211468489332; 9118.07885974641; 8136.76; 1230.73
440; 0.341779089576602; 9220.24811407111; 8228.69; 1242.29
441; 0.338296406769433; 9310.94929452198; 8339.09; 1227.41
442; 0.332230774026194; 9470.4528811317; 8479.44; 1271.58
443; 0.331368898227052; 9581.07363272301; 8574.86; 1291.6
444; 0.329764272129111; 9723.74567082674; 8692.65; 1327.07
445; 0.332143135982402; 9867.10353552756; 8808.71; 1349.4
446; 0.32258614233403; 10057.2358328812; 8995.09; 1391.12
447; 0.32174946463629; 10229.6499060094; 9152.97; 1410.79
448; 0.323568669425544; 10431.6699951113; 9325.63; 1437.98
449; 0.326267648961466; 10720.4789660943; 9579.28; 1468.31
450; 0.325292292588715; 10911.6599089862; 9774.98; 1463.74
451; 0.31806777829694; 11079.6937004287; 9949.44; 1485.53
452; 0.314428018116022; 11260.6857453943; 10146.84; 1477.89
453; 0.308249992140469; 11584.2996808921; 10453.15; 1527.91
454; 0.313562290784001; 11831.7156375866; 10674.94; 1533.01
455; 0.311547914254939; 12047.2815061114; 10869.94; 1567.29
456; 0.304908718433026; 12273.3485930692; 11067.31; 1637.27
457; 0.305892812906877; 12655.8218563221; 11406.59; 1687.26
458; 0.301800213095709; 12927.0785608137; 11668.57; 1719.54
459; 0.298560242470258; 13167.4337943388; 11888.18; 1763.56
460; 0.295524781544234; 13421.4099027221; 12120.23; 1808.82
461; 0.286675245435946; 13746.1327531944; 12477.98; 1813.95
462; 0.283708235671066; 13955.3563395323; 12696.02; 1816.78
463; 0.280341107519319; 14166.9114335501; 12920.83; 1815.95
464; 0.275231251559344; 14520.1789981698; 13251.1; 1880.37
465; 0.269410338502793; 14758.9126837131; 13499.29; 1903.39
466; 0.268764871078738; 15009.8604417614; 13714.15; 1959.18
467; 0.264472084112715; 15246.8814367589; 13941.45; 2002.55
468; 0.267268051133571; 15773.0389366667; 14419.99; 2050.42
469; 0.268823558617828; 16117.0055693984; 14715.46; 2108.14
470; 0.27050375004807; 16466.8370492401; 15030.91; 2142.93
471; 0.264738421080392; 16888.7652024719; 15439.32; 2206.59
472; 0.268594879133439; 17552.7724610125; 16033.97; 2275.28
473; 0.266668828911224; 18019.1801691357; 16472.79; 2329.59
474; 0.264226781542987; 18514.1012598174; 16951.53; 2371.89
475; 0.262353557643301; 19382.3565105701; 17780.12; 2445.55
476; 0.259732139490156; 19959.1938646256; 18330.84; 2506.42
477; 0.258113100407178; 20576.9131273057; 18892.02; 2605.57
478; 0.254544913322245; 21290.1004951308; 19567.89; 2696.25
479; 0.254338758564676; 22356.6378631706; 20540.83; 2840.66
480; 0.246915680955524; 23079.2427999268; 21247.71; 2946.79
481; 0.244802562707561; 23810.6331774601; 21945.87; 3021.61
482; 0.243090597014696; 24922.8672658006; 23001.33; 3130.81
483; 0.242893692442518; 25672.3403481789; 23698.95; 3213.18
484; 0.242019647282031; 26400.524423744; 24387.59; 3284.49
485; 0.242039968279819; 27134.520245901; 25047.89; 3399.35
486; 0.238598428618749; 28117.2318594798; 25989.21; 3511.42
487; 0.241458092170715; 28760.8403564309; 26548.62; 3601.68
488; 0.237580666458752; 29357.4859835512; 27137.19; 3668.26
489; 0.23362966007887; 29912.9186923935; 27674.23; 3755.82
490; 0.227172812876516; 30722.8479417096; 28469.58; 3882.15
491; 0.226376321163862; 31226.7705419305; 28962.28; 3910.11
492; 0.225561179530504; 31712.0517610386; 29398.31; 4004.35
493; 0.223562641712191; 32371.603463131; 30045.96; 4055.79
494; 0.221710981383416; 32779.0516999736; 30450.65; 4089.41
495; 0.21602082797198; 33131.6316706038; 30849.74; 4108.15
496; 0.214682729994575; 33696.4561739476; 31406.65; 4142.99
497; 0.21429096515985; 34056.238596739; 31767.86; 4142.86
498; 0.216578363314908; 34412.3063535055; 32067.12; 4195.67
499; 0.215924540350625; 34772.8750331461; 32404.94; 4243.83
500; 0.213164091417184; 35217.8771580058; 32863.49; 4268.88
501; 0.215393748949551; 35554.4170150539; 33146.16; 4315.77
502; 0.213134099664903; 35876.1188488878; 33476.28; 4340.55
503; 0.21290800025681; 36395.2239500788; 33974.55; 4377.29
504; 0.213215896962505; 36768.461706725; 34328.61; 4399.96
505; 0.210986286008269; 37160.4570008945; 34741.28; 4403.53
506; 0.21058352610246; 37541.998877511; 35107.34; 4434.89
507; 0.205734850995522; 38086.8601533225; 35715.47; 4416.36
508; 0.202858094210705; 38473.4940338398; 36120.4; 4439.31
509; 0.199875361773557; 38870.0947799926; 36537.16; 4462.01
510; 0.196010463409801; 39505.672519023; 37164.54; 4560.8
511; 0.195415581482957; 39934.4350430953; 37577.28; 4600.76
512; 0.189532856870068; 40310.8354619146; 38001.86; 4641.31
513; 0.187877326572371; 40903.2527445552; 38544.65; 4777.5
514; 0.186332917122776; 41322.430365906; 38978.11; 4782.45
515; 0.184801534335021; 41750.6956068375; 39357.58; 4916.92
516; 0.182731073688785; 42121.8660513045; 39710.45; 5004.9
517; 0.181920953225372; 42763.4878330322; 40331.64; 5063.94
518; 0.180916632335302; 43193.0072812505; 40749.91; 5109.82
519; 0.180875718809823; 43613.7248136878; 41153.15; 5141.7
520; 0.186633040832963; 44329.3757676369; 41744.27; 5229.46
521; 0.187908216289392; 44777.3181784574; 42147.85; 5277.47
522; 0.182916403959718; 45147.7376548376; 42528.95; 5393.7
523; 0.182158584444326; 45759.9665726974; 43144.91; 5402.76
524; 0.183015326747639; 46223.6760727663; 43568.3; 5454.65
525; 0.182993890336247; 46605.5435620975; 43928.06; 5495.06
526; 0.180773891837164; 47116.0906059353; 44426.05; 5582.88
527; 0.176250113355452; 47422.6989170242; 44754.61; 5673.87
