# 06/03/2019 18:25:39
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\PS-b-PI\PSbPI_687.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 0.405726975928566; 2; 130.1; -1
# comment:PSbPI id:370 slowslow script start 16:33
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.525182528494247; 4413.79684345751; 3706.58; 652.97
401; 0.499514717716188; 4538.41206360089; 3827.82; 686.82
402; 0.497853819114013; 4637.71662515998; 3922.88; 690.19
403; 0.498695970775115; 4743.74530731408; 4026.52; 688.46
404; 0.515001414927514; 4866.03652188864; 4116.57; 693.7
405; 0.502340147852678; 5029.78313094797; 4267.86; 720.2
406; 0.522024960077944; 5156.44599172258; 4392.4; 692.25
407; 0.518868919085371; 5274.92680094874; 4498.1; 705.33
408; 0.506081621116493; 5374.35030498342; 4602.23; 715.92
409; 0.526178159704366; 5507.7232960668; 4697.66; 719.74
410; 0.521361992456863; 5667.33694609905; 4851.48; 728.85
411; 0.51846532601759; 5757.82076228087; 4933.69; 737.74
412; 0.51317864240616; 5854.16610010693; 5006.35; 764.04
413; 0.500218926491592; 5929.11172097194; 5074.69; 787.31
414; 0.493800672347158; 6068.19116717142; 5187.46; 819.34
415; 0.489853931236447; 6152.61784403269; 5262.83; 831.69
416; 0.480745393877633; 6220.47115384121; 5333.87; 841.6
417; 0.471178664548331; 6296.65041131046; 5432.16; 834.5
418; 0.475763898042357; 6444.23241371442; 5554.94; 847.33
419; 0.481291734453082; 6549.37068631817; 5639.25; 854.66
420; 0.466646260486415; 6657.43354541659; 5731.78; 893.85
421; 0.467802767965134; 6769.85216242995; 5844.55; 888.7
422; 0.466092298409845; 6942.9701230893; 5986.26; 919.54
423; 0.461561428185974; 7064.78082098956; 6097.41; 936.13
424; 0.45676824050028; 7208.54492200321; 6222.48; 961.37
425; 0.459887956916697; 7374.89267136264; 6336.9; 1002.4
