# 06/03/2019 18:27:39
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\PS-b-PI\PSbPI_699.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 0.478331339132462; 2; 128; -1
# comment:PSbPI id:370 slowslow script start 16:33
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.543458958757086; 4438.40809501079; 3706.58; 652.97
401; 0.524862671615275; 4574.47117103133; 3827.82; 686.82
402; 0.516682553588326; 4664.75160709826; 3922.88; 690.19
403; 0.521887812328891; 4777.09984928026; 4026.52; 688.46
404; 0.53540948850648; 4895.73579548351; 4116.57; 693.7
405; 0.514880927580029; 5048.8043264372; 4267.86; 720.2
406; 0.521045335349782; 5155.01219371639; 4392.4; 692.25
407; 0.515321959935201; 5269.61645602659; 4498.1; 705.33
408; 0.501595071195317; 5367.50525045285; 4602.23; 715.92
409; 0.507433904879154; 5478.86608759855; 4697.66; 719.74
410; 0.509070379198562; 5648.1023294591; 4851.48; 728.85
411; 0.509073344470227; 5742.89166186945; 4933.69; 737.74
412; 0.493336521977666; 5821.38517789111; 5006.35; 764.04
413; 0.481585921989375; 5897.28476895051; 5074.69; 787.31
414; 0.480594970674887; 6044.63779088327; 5187.46; 819.34
415; 0.484813489263631; 6143.46220862799; 5262.83; 831.69
416; 0.485336560534052; 6228.93828365025; 5333.87; 841.6
417; 0.487280573257771; 6326.19322963066; 5432.16; 834.5
418; 0.483139793570816; 6458.0193529185; 5554.94; 847.33
419; 0.486681161505989; 6559.56207066394; 5639.25; 854.66
420; 0.478129123105838; 6680.21129677823; 5731.78; 893.85
421; 0.485493450369523; 6804.84388929563; 5844.55; 888.7
422; 0.482462145014992; 6976.57118883099; 5986.26; 919.54
423; 0.478337259549189; 7099.94071253942; 6097.41; 936.13
424; 0.460308240860438; 7216.18702552426; 6222.48; 961.37
425; 0.456018777671468; 7366.15971882424; 6336.9; 1002.4
426; 0.446474091824659; 7568.4578712505; 6501.39; 1058.55
427; 0.443824316651548; 7726.83119147885; 6648.16; 1073.5
428; 0.434925422632276; 7866.60904115955; 6783.3; 1097.16
429; 0.434997531082541; 7990.15732697858; 6907.86; 1093.25
430; 0.429537230328561; 8197.26817666891; 7111.68; 1107.74
431; 0.427884600957521; 8340.59834550898; 7247.41; 1117.05
432; 0.429522797728633; 8471.04404860244; 7363.78; 1124.31
433; 0.431561630688916; 8594.90247191049; 7451.35; 1152.9
434; 0.42713344424872; 8753.68251945778; 7622.06; 1149.92
435; 0.427074527232075; 8869.50256991313; 7725.43; 1160.22
436; 0.428991842829244; 8960.33987944678; 7810.18; 1158.66
437; 0.426885392877989; 9073.70219208264; 7906.48; 1178.93
438; 0.429253773598304; 9273.74979598501; 8054.32; 1222.03
439; 0.433757987925047; 9380.59585388161; 8136.76; 1230.73
440; 0.425045376232699; 9461.81749230517; 8228.69; 1242.29
441; 0.429188387438374; 9572.06414659555; 8339.09; 1227.41
442; 0.428591848351441; 9757.88882434291; 8479.44; 1271.58
443; 0.430034788495736; 9880.67617358994; 8574.86; 1291.6
444; 0.42911668678266; 10034.3974099434; 8692.65; 1327.07
445; 0.425681713352675; 10165.1696849854; 8808.71; 1349.4
446; 0.411430410724752; 10349.7641131224; 8995.09; 1391.12
447; 0.412898705064319; 10534.6653494005; 9152.97; 1410.79
448; 0.406495073077486; 10715.1335308505; 9325.63; 1437.98
449; 0.423466425368226; 11060.4548830879; 9579.28; 1468.31
