# 16/03/2019 12:53:13
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\PS_160319\PSswelling_16_03_19_1.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 6.46208264447874; 2; 254.7; -1
# comment:PS id: 348 single measurement
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.160908499042598; 4294.08562308664; 4128.73; 498.3
401; 0.161947433425117; 4446.1179437969; 4281.21; 491.63
402; 0.153412553804562; 4547.99901633072; 4392.47; 487.32
403; 0.163723311304606; 4661.3976683524; 4494.68; 487.45
404; 0.149511528130232; 4768.04066499057; 4615.44; 486.53
405; 0.139085768816242; 4937.82957998904; 4790.2; 504
406; 0.146339820774323; 5054.91779443236; 4891.23; 529.04
407; 0.152399555790254; 5179.40163274297; 5004.66; 540.18
408; 0.149612975492475; 5285.23740833277; 5101.67; 575.74
409; 0.129761628033408; 5383.20798046808; 5219.95; 588.19
410; 0.134988163191455; 5550.52638502159; 5376.23; 601.39
411; 0.127349667418115; 5642.5123343703; 5472.62; 619.16
412; 0.116846206087101; 5726.91884666267; 5572.99; 609.24
413; 0.104645084618055; 5795.20964398433; 5656.11; 612.69
414; 0.119309440449549; 5957.34047401338; 5797.98; 613.59
415; 0.11655422906819; 6045.44480304071; 5886.56; 624.16
416; 0.113097150625786; 6126.04861018424; 5971.21; 624.77
417; 0.105327590243673; 6213.25434653947; 6067.74; 628.37
418; 0.0994004896214922; 6340.63040550791; 6202.36; 630.58
419; 0.102683518667774; 6455.36712301025; 6310.91; 635.83
420; 0.103399306330554; 6570.31626162433; 6423.12; 641.48
421; 0.105274756686152; 6704.31655893711; 6553.44; 643.92
422; 0.111530301276396; 6883.69502030403; 6719.62; 659.04
423; 0.125079857098761; 7019.4728395934; 6825.99; 690.92
424; 0.133977701446525; 7169.84754394185; 6954.73; 715.03
425; 0.127491719433495; 7308.14327312957; 7100.68; 722.7
426; 0.137122627922197; 7534.10912758121; 7291.52; 783.57
427; 0.151321427034987; 7716.92203959622; 7441.53; 803.85
428; 0.154996780333558; 7873.9822604264; 7580.19; 834.93
429; 0.154968020970144; 8016.7982832619; 7715.94; 853.06
430; 0.151276295469711; 8249.70348291658; 7945.72; 880.75
431; 0.153459503559186; 8405.81402652038; 8084.29; 916.06
432; 0.162228933177333; 8537.91477090791; 8199.59; 909.55
433; 0.157698407143585; 8653.83910232143; 8310.91; 946.14
434; 0.153851454559907; 8824.3775717946; 8484.39; 959.16
435; 0.151274150995786; 8936.99445407247; 8602.52; 957.61
436; 0.14275655564009; 9007.03960785148; 8688.3; 964.91
437; 0.131352946869969; 9104.61914039496; 8807.31; 975.92
438; 0.133280586377575; 9277.06142990558; 8973.36; 980.21
439; 0.140730779158388; 9384.85380993752; 9055.15; 1005.5
440; 0.140294656737836; 9499.59762797585; 9166.34; 1017.16
441; 0.137330418270072; 9612.89930322269; 9282.43; 1028.13
