# 16/03/2019 13:37:05
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\PS_160319\PSswelling_16_03_19_196.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 0.471832990512348; 2; 275.3; -1
# comment:PS id: 348 slowslow swelling at 13:07
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.220702442472897; 4355.53212735182; 4128.73; 498.3
401; 0.224412187894676; 4509.72459690336; 4281.21; 491.63
402; 0.218522281582824; 4614.00699067039; 4392.47; 487.32
403; 0.242442074653799; 4741.55612945722; 4494.68; 487.45
404; 0.249162282811296; 4869.75035668669; 4615.44; 486.53
405; 0.244693266519487; 5049.92437345581; 4790.2; 504
406; 0.24874035983155; 5169.45748908466; 4891.23; 529.04
407; 0.256591823842914; 5298.8686938135; 5004.66; 540.18
408; 0.25519312213; 5414.77880556686; 5101.67; 575.74
409; 0.25281969379957; 5538.03195733834; 5219.95; 588.19
410; 0.272392754312881; 5727.94285585591; 5376.23; 601.39
411; 0.260950560154219; 5820.74419002463; 5472.62; 619.16
412; 0.253770953496269; 5907.29841698915; 5572.99; 609.24
413; 0.246222457918986; 5983.40159102393; 5656.11; 612.69
414; 0.265094271781756; 6152.06387341516; 5797.98; 613.59
415; 0.270931671749466; 6255.88958715911; 5886.56; 624.16
416; 0.265773829432863; 6335.07460795012; 5971.21; 624.77
417; 0.25769207682111; 6423.75207699021; 6067.74; 628.37
418; 0.255605981953416; 6557.91904110259; 6202.36; 630.58
419; 0.256118676146498; 6671.22261477338; 6310.91; 635.83
420; 0.26687660404502; 6803.03781400197; 6423.12; 641.48
421; 0.275002072847071; 6947.5645532909; 6553.44; 643.92
422; 0.272691895101094; 7120.78387845645; 6719.62; 659.04
423; 0.284444338021164; 7265.98968902384; 6825.99; 690.92
424; 0.284737530225519; 7411.91084060899; 6954.73; 715.03
425; 0.305217470601715; 7597.35080927865; 7100.68; 722.7
426; 0.31565764853802; 7849.96257606135; 7291.52; 783.57
427; 0.314391443782455; 8013.69550644102; 7441.53; 803.85
428; 0.312264588188167; 8172.07919290769; 7580.19; 834.93
429; 0.310413917663026; 8318.58432483584; 7715.94; 853.06
430; 0.306409332367828; 8561.43692882951; 7945.72; 880.75
431; 0.311976789603237; 8737.93497634679; 8084.29; 916.06
432; 0.322779723316498; 8872.73981246534; 8199.59; 909.55
433; 0.310594592068787; 8986.32534866018; 8310.91; 946.14
434; 0.316791926485844; 9184.45044569516; 8484.39; 959.16
