# 16/03/2019 12:54:45
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\PS_160319\PSswelling_16_03_19_2.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 0.217154613918042; 2; 287; -1
# comment:PS id: 348 single measurement note: PS is now in. Measurement 1 mistake
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.315562408244639; 4453.01379450733; 4128.73; 498.3
401; 0.325300850758482; 4612.45757385407; 4281.21; 491.63
402; 0.321607656393663; 4718.51451984455; 4392.47; 487.32
403; 0.335260256791838; 4836.07187546466; 4494.68; 487.45
404; 0.33357441998045; 4955.90657772449; 4615.44; 486.53
405; 0.331036752282754; 5141.57179825353; 4790.2; 504
406; 0.34152232728146; 5273.23837069714; 4891.23; 529.04
407; 0.363503325410564; 5421.45363342216; 5004.66; 540.18
408; 0.370513265619262; 5556.27067683809; 5101.67; 575.74
409; 0.353865714514413; 5665.16175315127; 5219.95; 588.19
410; 0.364699202284834; 5847.12871493658; 5376.23; 601.39
411; 0.3520211068438; 5942.2379330642; 5472.62; 619.16
412; 0.352917589075014; 6037.91050766965; 5572.99; 609.24
413; 0.351371627499593; 6123.17129074079; 5656.11; 612.69
414; 0.343105978663742; 6256.26336123828; 5797.98; 613.59
415; 0.345780998799169; 6357.92295549845; 5886.56; 624.16
416; 0.337403753002714; 6433.14142706793; 5971.21; 624.77
417; 0.343737978721832; 6542.62798745694; 6067.74; 628.37
418; 0.356958598466109; 6698.90494004395; 6202.36; 630.58
419; 0.337991940353898; 6786.40347682706; 6310.91; 635.83
420; 0.346898548611891; 6916.95473961942; 6423.12; 641.48
421; 0.352448017441634; 7058.55771054793; 6553.44; 643.92
422; 0.368649425194141; 7261.94940493811; 6719.62; 659.04
423; 0.374741710558064; 7405.66839070694; 6825.99; 690.92
424; 0.379851351349529; 7564.62768359266; 6954.73; 715.03
425; 0.383576664044823; 7724.86226511074; 7100.68; 722.7
426; 0.378203534940073; 7960.61500626913; 7291.52; 783.57
427; 0.391054732880272; 8153.21612794508; 7441.53; 803.85
428; 0.38930384878407; 8318.10505527296; 7580.19; 834.93
429; 0.392000736414781; 8476.97874758698; 7715.94; 853.06
430; 0.386130894247188; 8721.63412276787; 7945.72; 880.75
431; 0.377733172034068; 8875.70589543764; 8084.29; 916.06
432; 0.384634286861248; 9001.7361057345; 8199.59; 909.55
433; 0.368719373828225; 9112.72281577755; 8310.91; 946.14
434; 0.373010563051205; 9308.68481052541; 8484.39; 959.16
435; 0.374536330964381; 9430.63791707301; 8602.52; 957.61
436; 0.387309576592944; 9553.06520820238; 8688.3; 964.91
437; 0.376954355064855; 9660.52249308106; 8807.31; 975.92
438; 0.384551546391442; 9849.62306040271; 8973.36; 980.21
439; 0.382054170614301; 9950.22580649634; 9055.15; 1005.5
440; 0.38676908648053; 10085.0759756384; 9166.34; 1017.16
441; 0.386944169755694; 10213.5650811863; 9282.43; 1028.13
442; 0.394847975533909; 10411.4481008388; 9458.75; 1028.56
443; 0.396371140118105; 10522.8893754753; 9583.99; 1007.55
444; 0.390929062486494; 10681.5247334816; 9747.02; 1014.57
445; 0.389552533750093; 10820.0657544784; 9884.78; 1016.71
446; 0.40095852083341; 11050.7042220437; 10083.61; 1019.05
447; 0.390127491297055; 11234.5715408366; 10250.15; 1063.82
448; 0.397197794830342; 11454.7253913022; 10438.6; 1076.19
449; 0.397087268166051; 11777.1440416912; 10729.27; 1107.78
450; 0.398863902433359; 12003.5805674047; 10918.08; 1140
451; 0.396758026407316; 12209.2420471899; 11119.59; 1148.12
452; 0.386462283604067; 12407.9994336272; 11317.34; 1177.39
453; 0.38480656490411; 12787.3638740252; 11649.5; 1231.2
454; 0.387832425216746; 13072.7796418584; 11910.85; 1244.96
455; 0.387479311151831; 13317.0492534577; 12145.22; 1254.26
456; 0.387676889220454; 13575.3218288961; 12401.32; 1253.51
457; 0.383979780846456; 13970.8714687327; 12779.62; 1281.75
458; 0.372892768035032; 14261.9542753011; 13057.99; 1331.39
459; 0.373625220325653; 14529.7716902442; 13298.95; 1355.89
460; 0.368883683173043; 14814.5827735819; 13561.85; 1395.15
461; 0.376261220454947; 15221.1141089717; 13933.24; 1403.55
462; 0.379246048542728; 15481.7575598375; 14137.18; 1451.1
463; 0.378597188506469; 15719.7669157844; 14347.89; 1480.41
464; 0.377116879067026; 16109.7222496579; 14697.65; 1526.98
465; 0.375487244628528; 16364.9417752153; 14948.09; 1536.14
466; 0.374476625348084; 16644.3150636874; 15217.68; 1548.2
467; 0.377122482034422; 16936.1485076526; 15491.31; 1554.34
468; 0.373828556324054; 17490.0540827958; 16005.76; 1608.14
469; 0.373581888365021; 17860.7855420137; 16367.5; 1616.28
470; 0.364728082933983; 18221.1895168243; 16726.43; 1654.44
471; 0.359495201144148; 18691.4558187032; 17152.92; 1724.85
472; 0.348379086633644; 19420.3428570423; 17848.48; 1815.49
473; 0.343725475389134; 19936.7833533562; 18337.26; 1869.44
474; 0.342703637782481; 20497.6098451159; 18857.85; 1919.08
475; 0.341413012892669; 21465.3072736471; 19747.25; 2015.09
476; 0.345028872280521; 22116.2501404877; 20330.81; 2068.81
477; 0.342442073686191; 22804.0460865995; 21002.14; 2100.32
478; 0.345372781423438; 23648.1624622314; 21749.8; 2190.43
479; 0.343455397468298; 24812.5245787275; 22855.75; 2266.9
480; 0.342430383090296; 25658.5311210959; 23642.88; 2338.44
481; 0.349901943310053; 26484.8881231362; 24387.3; 2377.96
482; 0.346069760637914; 27756.8398936622; 25566.6; 2506.71
483; 0.344021506421674; 28582.1828502015; 26359.04; 2555.76
484; 0.338681224742763; 29381.6519867551; 27132.3; 2622.74
485; 0.335104855598025; 30191.9008620326; 27904.38; 2691.67
486; 0.333807180135439; 31281.0602536791; 28891.56; 2818.29
487; 0.328425867719368; 31998.3726740192; 29557.13; 2922.08
488; 0.321513163598296; 32641.9576422116; 30228.25; 2946.77
489; 0.318427372554513; 33250.0049866526; 30828.85; 2980.24
490; 0.313508286653037; 34125.4688508321; 31675.19; 3059.02
491; 0.317614637694314; 34697.4546487056; 32202.1; 3071.01
492; 0.313588364261865; 35216.4378787939; 32681.91; 3155.14
493; 0.311829523996928; 35917.7633373067; 33367.32; 3188.82
494; 0.309294667475827; 36367.7869950438; 33806.15; 3225.04
495; 0.301651930275344; 36736.4629518182; 34237.31; 3222.06
496; 0.300963389855185; 37327.0693990696; 34809.18; 3249.64
497; 0.304561262435822; 37733.0247599241; 35171.51; 3262.86
498; 0.301903198581361; 38100.3412076996; 35529.07; 3300.04
499; 0.294111111721241; 38478.2243572234; 35957.07; 3317.25
500; 0.2988107535357; 39026.5251495652; 36455.96; 3324.93
501; 0.292087050385026; 39385.9335467604; 36819.54; 3391.56
502; 0.290815923906458; 39754.2747722599; 37176.1; 3417.51
503; 0.285602963214123; 40285.5301513539; 37664.75; 3532.88
504; 0.287701533851463; 40719.0197310016; 38078.63; 3528.83
505; 0.278897931982626; 41129.6539743183; 38492.74; 3631.1
506; 0.268822100230888; 41489.7886519488; 38939.42; 3639.21
507; 0.266143981685192; 42092.2748850317; 39542.79; 3670.33
508; 0.25944291768486; 42478.9171826531; 39980.31; 3685.74
509; 0.252225797497775; 42877.8897564393; 40433.11; 3705.42
510; 0.24928593933197; 43520.9221609246; 41112.62; 3688.99
511; 0.244263767509324; 43955.742441822; 41570.54; 3724.49
512; 0.243591775942579; 44439.864068955; 42009.35; 3801.38
513; 0.240668617710539; 45072.8657133983; 42653.8; 3825.15
514; 0.237717094594113; 45528.6747953727; 43089.63; 3900.16
515; 0.23664299443795; 46016.3551845921; 43574.42; 3918.1
516; 0.234313608225588; 46422.816343012; 43959.13; 3987.71
517; 0.232015808877455; 47118.4518061444; 44608.66; 4097.84
518; 0.223736861101632; 47578.0588091683; 45093.66; 4201.72
519; 0.221042652905103; 48066.9501907285; 45585.82; 4242.52
520; 0.216694180661886; 48789.0100733985; 46354.32; 4241.93
521; 0.210558202652758; 49212.9548456751; 46836.25; 4257.03
522; 0.207286878537131; 49656.5739097686; 47290.23; 4300.76
523; 0.20172327026195; 50314.3351914525; 47955.64; 4400.48
524; 0.197799559698787; 50811.23729297; 48473.51; 4443.21
525; 0.194915048555744; 51232.5810978098; 48920.91; 4454.13
526; 0.192012657346223; 51823.0650792885; 49544.96; 4451.22
527; 0.187860024354229; 52163.9558126978; 49917.2; 4482.6
528; 0.181486129100385; 52437.8261751805; 50237.52; 4539.52
529; 0.177644909330744; 52717.947451051; 50576.77; 4508.6
530; 0.170246744760772; 53056.8012231063; 50993.65; 4528.72
531; 0.16794919640228; 53246.595643383; 51174.87; 4605.53
532; 0.163390361316353; 53392.5028992716; 51347.43; 4668.84
533; 0.157509276083262; 53588.5583121248; 51578.11; 4756.79
534; 0.154459344003261; 53708.4507454294; 51722.03; 4788.33
535; 0.151219357161044; 53851.3106630085; 51885.84; 4834.27
536; 0.150032154273894; 54049.5236926484; 52097.07; 4835.29
537; 0.144124704235981; 54175.7197322318; 52264.71; 4921.33
538; 0.142083587591; 54333.8828773411; 52444.34; 4930.62
539; 0.140784882008617; 54640.8413755025; 52766.82; 4930.26
540; 0.141772313171173; 54845.1275302921; 52950.34; 4945.18
541; 0.141352083145914; 55068.987659542; 53157.19; 5000.24
542; 0.136280907622492; 55338.7465572219; 53506.74; 4965.7
543; 0.137072400014412; 55567.81672056; 53737.46; 4928.71
544; 0.136284716658985; 55823.8336636781; 54002.84; 4927.96
545; 0.138435394695693; 56256.291842165; 54398.29; 4945.97
546; 0.138109845273343; 56536.9559483889; 54667.39; 4984.42
547; 0.137744703205159; 56814.9349592012; 54963; 4946.21
548; 0.132148890773098; 57263.1361706934; 55485.77; 4943.89
549; 0.130651212385073; 57537.5531303761; 55780.6; 4938.83
550; 0.128905257328531; 57831.7092652971; 56082.81; 4978.56
551; 0.125265153013849; 58140.9811884617; 56442.1; 4972.49
552; 0.121140146534561; 58558.8371295483; 56912.56; 4978.37
553; 0.120270200980253; 58807.4363616972; 57170.85; 4980.75
554; 0.116709320978498; 59070.0513463273; 57462.94; 5035.98
555; 0.112573822605624; 59480.7658241293; 57899.63; 5132.21
556; 0.110723463907053; 59774.7609516402; 58218.74; 5130.57
557; 0.106883662380116; 60067.5189449578; 58560.38; 5143.51
558; 0.103837316441687; 60576.9487403547; 59102.67; 5174.53
559; 0.102876118318069; 60966.2776190847; 59482.74; 5251.16
560; 0.0997092355434054; 61374.6768144051; 59907.96; 5351.9
561; 0.0955955993072448; 62111.523652175; 60680.51; 5441.76
562; 0.0917776261705124; 62642.0864911331; 61275.73; 5407.36
563; 0.0884524710058208; 63194.6470612771; 61881.59; 5387.39
564; 0.086618305658967; 64079.6412002592; 62777.77; 5450.16
565; 0.0845026917094281; 64613.9683265118; 63329.69; 5507.06
566; 0.0820612135695118; 65122.1594556681; 63858.49; 5575.79
567; 0.0739082738433444; 65748.7007073648; 64591.04; 5667.63
568; 0.0723287303129599; 66076.2505095089; 64947.29; 5643.95
569; 0.0692586033641807; 66261.6722641436; 65185.62; 5613.9
570; 0.0652039433835353; 66354.5468191086; 65338.74; 5625.12
571; 0.0673130424953029; 66372.8963977752; 65313.57; 5677.94
572; 0.0640195059511252; 66274.9350890311; 65256.1; 5737.27
573; 0.0629048577564015; 66007.8027651778; 65014.32; 5689.09
574; 0.0585157547371076; 65722.9051697328; 64809.91; 5615.69
575; 0.0578530981299286; 65370.6019410106; 64479.72; 5538
576; 0.055962892219879; 65203.2796490778; 64344.84; 5512.29
577; 0.0537757903363245; 64998.1467842424; 64163.52; 5573.02
578; 0.0529300429074818; 64741.3810447794; 63925.39; 5531.34
579; 0.0510408376147889; 64572.0030424619; 63786.68; 5516.34
580; 0.0481788180148216; 64415.9047575417; 63688.94; 5405.68
581; 0.0473731151963172; 64225.6472017835; 63511.61; 5396.07
582; 0.0518617483666268; 64180.7414410308; 63395.76; 5414.97
583; 0.0520916851956104; 64088.2902798501; 63297.12; 5429.9
584; 0.0524544022563346; 63938.5053824442; 63141.9; 5425.87
585; 0.056663807541685; 63919.1424129722; 63062.85; 5395.63
586; 0.0582502589884042; 63825.5273403432; 62944.34; 5397.76
587; 0.0597046463047464; 63702.1888501124; 62792.76; 5431.66
588; 0.0632423532985623; 63628.2033388026; 62654.36; 5487.59
589; 0.0649465521941636; 63573.5642454187; 62566.82; 5520.82
590; 0.0630574012850499; 63493.4773750601; 62512.58; 5536.76
591; 0.0629508951704277; 63488.3789289981; 62505.81; 5552.09
592; 0.062626737365748; 63495.9995463028; 62513.67; 5575.96
593; 0.0615327181242115; 63570.9392228042; 62611.92; 5536.94
594; 0.0629396869624244; 63681.1148961019; 62693.31; 5572.13
595; 0.0597317905062203; 63923.3240178776; 62989.14; 5549.16
596; 0.0618433579173357; 64203.5811123393; 63234.76; 5554.9
597; 0.057193109200194; 64501.3475370793; 63610.07; 5522.3
598; 0.0582522446961125; 65048.5842937086; 64126.97; 5602.89
599; 0.0596537915702472; 65496.8025844968; 64545.09; 5646.35
600; 0.0605845901607754; 66036.3887362118; 65063.58; 5679.23
601; 0.0602011033075532; 66909.1662727204; 65916.6; 5827.78
602; 0.0597356031916745; 67583.1410192537; 66585.74; 5898.21
603; 0.0638444933274368; 68277.6525972341; 67192.33; 6001.26
604; 0.0655469587728232; 69217.2000699172; 68063.31; 6210.72
605; 0.0683699613287667; 69797.6807697828; 68568.75; 6337.63
606; 0.0675396313845741; 70416.1554877694; 69197.15; 6359.84
607; 0.0715778616430266; 71215.0788554776; 69914.96; 6396.43
608; 0.07031908014313; 71600.2517021531; 70317.9; 6418.02
609; 0.0685324650015282; 72026.7020596346; 70777.29; 6412.24
610; 0.0702615592541654; 72181.1205910042; 70888.42; 6467.16
611; 0.0691531584642379; 72277.9662599156; 71003.56; 6474.02
612; 0.0714303993228083; 72329.4228154293; 71007.29; 6498.34
613; 0.0696517465876184; 72281.3389863531; 70998.27; 6463.39
614; 0.0696962118385085; 72110.667460598; 70832.33; 6431.65
615; 0.0671097540033131; 71669.3156573204; 70445.1; 6392.96
616; 0.0702938060658008; 71367.6596420516; 70072.58; 6452.68
617; 0.0749120890667074; 70816.9649086991; 69438.15; 6442.73
618; 0.0740545048086239; 70415.8408655825; 69078.18; 6319.07
619; 0.0747577400242826; 69973.6047479827; 68627.06; 6297.82
620; 0.0729431876260527; 69330.3380805498; 68049.15; 6137.91
621; 0.0741503563954583; 68850.9143041755; 67566.24; 6051.33
622; 0.073406915355253; 68407.7187321782; 67148.78; 5987.11
623; 0.0810017097454592; 67890.2137093885; 66516.87; 5915.96
624; 0.0805182798479108; 67503.433754136; 66173.83; 5759.15
625; 0.083366927378058; 67005.0052773774; 65647.4; 5676.76
626; 0.0823749721208967; 66662.8711809379; 65330.01; 5637.68
627; 0.082667546644441; 66371.0884957383; 65052.88; 5553.44
628; 0.0816216621097645; 65822.666166454; 64518.76; 5560.88
629; 0.0820762221073996; 65549.6004782279; 64241.88; 5543.73
630; 0.0847408411786956; 65271.308993176; 63905.68; 5604.62
631; 0.0818818681559577; 64790.0943497406; 63476.06; 5578.78
632; 0.082959388212386; 64511.9299884735; 63179.09; 5582.73
633; 0.0821683549654618; 64066.7644330308; 62767.42; 5492.47
634; 0.0855247980789835; 63847.9826963997; 62514; 5415.11
635; 0.0871487546497115; 63596.078756767; 62254.26; 5342.51
636; 0.0908653250365117; 63350.9927588789; 61987.01; 5205.79
637; 0.0932641557775434; 63164.5636144871; 61764.54; 5202.77
638; 0.0977169162835217; 63015.2572407743; 61555.63; 5173.97
639; 0.0994508623831759; 62808.4863565025; 61337.24; 5121.28
640; 0.10046741337664; 62676.222599254; 61186.77; 5129.09
641; 0.100558207374515; 62429.560956397; 60926.44; 5168.8
642; 0.10223322291127; 62285.1055682548; 60738.15; 5229.66
643; 0.0998280602262727; 62155.6307234512; 60655.06; 5192.52
644; 0.102780823044178; 61938.0907168401; 60375.33; 5249.78
645; 0.102785209231657; 61759.0905351582; 60187.65; 5276.42
646; 0.102268659777942; 61498.8958504678; 59942.03; 5251.45
647; 0.106300283501946; 61376.7307889644; 59767.67; 5219.54
648; 0.108690271743611; 61217.4774597354; 59567.72; 5231.75
649; 0.115663712516217; 61093.9065729713; 59337.46; 5231.98
650; 0.121556618878061; 61013.0674408987; 59168.18; 5226.73
651; 0.125821174052722; 60855.2593184768; 58909.88; 5322.15
652; 0.129374715256644; 60776.8030269208; 58799.62; 5257.98
653; 0.135201464889684; 60770.2658271521; 58744.82; 5151.64
654; 0.140101053617845; 60707.7177104501; 58622.74; 5115.21
655; 0.137959732989442; 60585.4645267876; 58553.86; 5059.56
656; 0.140248743218352; 60447.2320858626; 58381.47; 5058.59
657; 0.144466113526946; 60392.4183024295; 58256.17; 5076.7
658; 0.146393981965549; 60320.7858246433; 58185.35; 5006.18
659; 0.150830181026921; 60218.9753709709; 58052.77; 4926.93
660; 0.152281638797912; 60123.502724948; 57954.92; 4883.32
661; 0.151091534379736; 59923.1278661865; 57747.73; 4934.5
662; 0.155879944634646; 59857.8667699541; 57625.64; 4905.27
663; 0.159482905988572; 59795.9411210201; 57524.13; 4876.89
664; 0.157996230190118; 59641.8181048111; 57417.09; 4818.06
665; 0.157469396198584; 59531.4644584904; 57335.16; 4770.59
666; 0.151282616637515; 59300.3459205017; 57198.04; 4751.34
667; 0.153598115989609; 59235.0707627149; 57082.23; 4790.65
668; 0.154443423712473; 59100.29634546; 56937.17; 4785.78
669; 0.154706644677553; 58902.3071433893; 56731.7; 4792.32
670; 0.153417614394337; 58756.2297005586; 56601.69; 4794.97
