# 08/03/2019 15:23:00
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\PSswelling_080319\PSswelling2_2.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 1.09109083214882; 2; 291.3; -1
# comment:PS ID:349 ref:withoptics.ref static measurement
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.330809891260257; 4370.32047514974; 3869.39; 734.26
401; 0.331722617273531; 4519.83013864634; 4006.64; 746.92
402; 0.326891761378328; 4620.57900044552; 4085.87; 786.28
403; 0.325062804311441; 4736.28621239816; 4170.5; 833.19
404; 0.335496825406774; 4864.54602649845; 4276.9; 834.94
405; 0.34159857598413; 5049.65452388646; 4420.61; 874.39
406; 0.342442914595835; 5167.47557743564; 4512.32; 904.88
407; 0.353188120930987; 5307.91250982696; 4618.2; 920
408; 0.355921116411671; 5437.83935155646; 4719.05; 947.65
409; 0.357479027282273; 5561.34875525705; 4825.46; 962.39
410; 0.376163736809851; 5758.10577839328; 4957.25; 991.61
411; 0.378187204442277; 5858.34515286145; 5054.41; 986.6
412; 0.379783098324914; 5942.57072558916; 5122.07; 999.14
413; 0.378682837308965; 6034.3593182316; 5198.54; 1017.35
414; 0.375225717214904; 6170.34855413632; 5328.84; 1030.24
415; 0.379844712361386; 6279.8170837045; 5407.41; 1051.61
416; 0.379629587831039; 6354.81605854228; 5484.24; 1046.5
417; 0.389980482488678; 6465.49835918338; 5557.11; 1059.45
418; 0.385194114520881; 6612.81511193143; 5686.9; 1089.66
419; 0.389079782370568; 6716.9601805118; 5778.65; 1089.96
420; 0.396889966578879; 6849.20545371282; 5873.63; 1107.63
421; 0.390284894968604; 6977.11076075466; 5999.37; 1125.58
422; 0.401257747789933; 7186.39257266684; 6161.07; 1144.72
423; 0.403908216816877; 7330.99544506995; 6283.37; 1158.5
424; 0.402127998923463; 7482.21314094745; 6410.67; 1186.66
425; 0.393734852905911; 7636.17111834346; 6557.12; 1217.13
426; 0.38717040674193; 7861.91406009518; 6756.41; 1264.66
427; 0.380608192494316; 8019.29177154977; 6894.52; 1305.3
428; 0.385223711029728; 8194.1654373472; 7042.42; 1316.97
429; 0.386401190177085; 8358.82147999707; 7172.4; 1349.15
430; 0.393365742397655; 8596.93917241797; 7362.29; 1375.69
431; 0.393724766101827; 8765.16819550192; 7500.15; 1404.78
432; 0.395675974153261; 8913.16983485235; 7593.7; 1454.39
433; 0.396006253236004; 9030.68491181398; 7693.05; 1469.65
434; 0.404831474089114; 9236.88341043891; 7850.92; 1485.96
435; 0.407476396847867; 9365.95296264558; 7946.36; 1508.87
436; 0.413683431247769; 9492.13507545984; 8021.43; 1536.4
437; 0.415977748658204; 9619.42631440072; 8119.95; 1554.23
438; 0.417094756301135; 9816.81003192301; 8283.29; 1581.59
439; 0.416641507722814; 9912.95707262839; 8354.04; 1605.86
440; 0.411832339837502; 10004.7567287059; 8452.56; 1613.9
441; 0.413744406105107; 10117.7597517798; 8550.95; 1617.96
442; 0.415201406221486; 10311.5402050936; 8688.97; 1665.9
443; 0.417429903030681; 10442.4536023124; 8792.56; 1681.21
444; 0.416087619052197; 10587.5910174125; 8949.24; 1671.17
445; 0.414755021980175; 10722.7230041991; 9085.03; 1672.09
446; 0.418232432724613; 10956.6830332369; 9265.24; 1708.7
447; 0.416607836665068; 11168.4396309956; 9440.26; 1748.86
448; 0.420727566739847; 11377.1611319341; 9630.23; 1746.72
449; 0.419799975525988; 11699.6101660702; 9885.28; 1814.28
450; 0.422304394252303; 11923.0140140532; 10081.11; 1827.01
451; 0.424460084558271; 12146.6397622516; 10255.69; 1862.38
452; 0.423627329798569; 12370.1120904983; 10424.07; 1916.49
453; 0.425261772726286; 12755.0287106024; 10737.48; 1975.37
454; 0.423663995393244; 13023.3566347031; 10963; 2020.88
455; 0.419511383070851; 13238.8183432875; 11156.94; 2058.18
456; 0.423823277945402; 13517.2641374731; 11369.12; 2098.01
457; 0.428686556381793; 13960.8486465498; 11721.72; 2157.98
458; 0.432014798368312; 14266.0706384112; 11971.21; 2190.45
