# 08/03/2019 17:31:54
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\PSswelling_080319\PSswelling2_697.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 35.1981192855464; 2; 190; -1
# comment:PS ID:349 ref:withoptics.ref slowslow2 start 15:37
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.23443298951828; 4224.38128633302; 3869.39; 734.26
401; 0.23758553730713; 4374.19574833317; 4006.64; 746.92
402; 0.237447400984965; 4474.27153665455; 4085.87; 786.28
403; 0.2398823595102; 4588.02587441034; 4170.5; 833.19
404; 0.245248648241243; 4706.47006662684; 4276.9; 834.94
405; 0.256294988285364; 4892.57027798413; 4420.61; 874.39
406; 0.263435141945569; 5016.31933881502; 4512.32; 904.88
407; 0.270505691754503; 5146.44868257371; 4618.2; 920
408; 0.2788428328517; 5282.17831627505; 4719.05; 947.65
409; 0.28704697759021; 5416.36079953799; 4825.46; 962.39
410; 0.289165637153949; 5572.88608813408; 4957.25; 991.61
411; 0.298839518232388; 5689.67103196827; 5054.41; 986.6
412; 0.312619363560016; 5797.46713000806; 5122.07; 999.14
413; 0.311210245114332; 5885.4354947803; 5198.54; 1017.35
414; 0.316261777791512; 6038.11172405268; 5328.84; 1030.24
415; 0.314136159031126; 6128.90118170622; 5407.41; 1051.61
416; 0.322134923190414; 6222.96785667788; 5484.24; 1046.5
417; 0.332163138341844; 6330.82340815321; 5557.11; 1059.45
418; 0.341332194419507; 6507.38147956478; 5686.9; 1089.66
419; 0.340138126280981; 6598.93180627921; 5778.65; 1089.96
420; 0.343270275320437; 6717.40556197381; 5873.63; 1107.63
421; 0.343364540096562; 6859.56600291524; 5999.37; 1125.58
422; 0.358343422710449; 7076.73481169622; 6161.07; 1144.72
423; 0.35549404031167; 7205.42255227595; 6283.37; 1158.5
424; 0.363437948213038; 7379.11646881159; 6410.67; 1186.66
425; 0.35827860085725; 7539.00139068789; 6557.12; 1217.13
426; 0.367394369804483; 7805.44670425847; 6756.41; 1264.66
427; 0.374238724437001; 8000.4687456351; 6894.52; 1305.3
428; 0.384619041152846; 8192.35758972033; 7042.42; 1316.97
429; 0.386707736464179; 8359.76271182778; 7172.4; 1349.15
430; 0.393885157915431; 8598.56945149427; 7362.29; 1375.69
431; 0.395532340888016; 8770.9758438673; 7500.15; 1404.78
432; 0.39637674645916; 8915.5067164907; 7593.7; 1454.39
433; 0.396284899995305; 9031.62612834846; 7693.05; 1469.65
434; 0.395778072627642; 9205.88857933333; 7850.92; 1485.96
435; 0.393117271783568; 9315.92770216739; 7946.36; 1508.87
436; 0.39428535489635; 9423.17207817918; 8021.43; 1536.4
437; 0.39048608893939; 9527.53644748736; 8119.95; 1554.23
438; 0.389487016024126; 9715.30546464824; 8283.29; 1581.59
439; 0.392044013392629; 9820.9224261891; 8354.04; 1605.86
440; 0.390570425667304; 9924.62054116407; 8452.56; 1613.9
441; 0.393071251850353; 10039.4725309535; 8550.95; 1617.96
442; 0.401584903382952; 10258.3281218195; 8688.97; 1665.9
443; 0.401158363479751; 10378.1402677622; 8792.56; 1681.21
444; 0.406802516152943; 10551.030790467; 8949.24; 1671.17
445; 0.406611637198873; 10690.56820539; 9085.03; 1672.09
446; 0.409443355514077; 10921.1376707706; 9265.24; 1708.7
447; 0.403436120223304; 11113.8004954428; 9440.26; 1748.86
448; 0.410295910310673; 11333.8471520231; 9630.23; 1746.72
449; 0.410746314880226; 11660.4812223337; 9885.28; 1814.28
450; 0.409093503100633; 11865.3939803224; 10081.11; 1827.01
451; 0.408914249977559; 12077.3837985607; 10255.69; 1862.38
452; 0.410148607462071; 12308.194081088; 10424.07; 1916.49
453; 0.408682156100432; 12676.3708431639; 10737.48; 1975.37
454; 0.408323623726902; 12948.7535603677; 10963; 2020.88
455; 0.408643133606038; 13184.8832795364; 11156.94; 2058.18
456; 0.409112971343349; 13442.7050923899; 11369.12; 2098.01
457; 0.403785634266002; 13830.7853935624; 11721.72; 2157.98
458; 0.402354217280335; 14108.5137669608; 11971.21; 2190.45
459; 0.401646460156075; 14377.7169932321; 12197.34; 2234.36
460; 0.399679165478188; 14635.6753698966; 12451.85; 2244.7
461; 0.395666041897214; 15004.4061929421; 12770.64; 2315.01
462; 0.391949900650278; 15227.9126874728; 12991.06; 2335.82
463; 0.388443401278494; 15446.1732116241; 13180.57; 2382.87
464; 0.382240801587851; 15810.7706153022; 13511.27; 2453.29
465; 0.380189445939601; 16065.6799560985; 13729.67; 2501.36
466; 0.375408722187071; 16329.3192112432; 13965.54; 2558.83
467; 0.376820435411253; 16604.4961612096; 14207.98; 2580.21
468; 0.368743983998895; 17134.9576311771; 14678.16; 2698.49
469; 0.363793766895578; 17463.5477572814; 14993.1; 2745.87
470; 0.359586439627485; 17814.150084075; 15322.49; 2797.27
471; 0.363253177007674; 18271.5281608917; 15732.43; 2817.13
472; 0.365112399286318; 18993.6013070884; 16372.18; 2888.96
473; 0.357301639372688; 19460.1610449477; 16816.37; 2972.52
474; 0.357616571362429; 20006.9462774673; 17311.54; 3023
475; 0.352950636811637; 20920.279757635; 18143.65; 3150.22
476; 0.349317803363303; 21525.7014010694; 18682.99; 3253.44
477; 0.348198474875134; 22207.3084532921; 19269.42; 3367.82
478; 0.351020838921084; 23025.8916234958; 19967.43; 3472.23
479; 0.339730730022762; 24116.8105578893; 20949.15; 3709.93
480; 0.336368274476164; 24912.7889533544; 21691.29; 3804.75
481; 0.332848664743661; 25674.5667197126; 22361.32; 3948.55
482; 0.333925642222021; 26900.0576100414; 23416.42; 4131.99
483; 0.330029524460459; 27669.0049052185; 24128.61; 4242.65
484; 0.324094255265884; 28384.7725619924; 24824.01; 4338.71
485; 0.320933473352817; 29142.2713620532; 25545.04; 4419.68
486; 0.306288316223773; 30088.3529135949; 26517.16; 4590.47
487; 0.306313721094136; 30756.4325368414; 27144.88; 4634.96
488; 0.301849788170593; 31351.9009170348; 27734.19; 4704.39
489; 0.294519966008068; 31896.4730571343; 28301.4; 4784.45
490; 0.281907456435477; 32671.3542553544; 29129.5; 4917.45
491; 0.277109199638846; 33158.8315122212; 29620.01; 4991.8
492; 0.274632077911059; 33630.0829984966; 30076.82; 5050.77
493; 0.266535187063252; 34244.6766720933; 30727.18; 5145.3
494; 0.261992973025416; 34613.1878765047; 31131.56; 5174.67
495; 0.259006858380447; 34984.5310860431; 31508.11; 5219.97
496; 0.255864710623581; 35552.6705271231; 32056.49; 5307.57
497; 0.253926790180358; 35894.3677363243; 32397.48; 5342.56
498; 0.251319308781975; 36209.3533188519; 32734.99; 5356.59
499; 0.249079385475854; 36589.4673664773; 33093.5; 5431.5
500; 0.242082735014885; 37001.0553394622; 33580.19; 5461.63
501; 0.238652499532283; 37301.411559838; 33912.63; 5481.08
502; 0.234020354302841; 37596.349744522; 34262.4; 5491.88
503; 0.225013520906382; 38025.973880998; 34758.54; 5590.61
504; 0.220938130168936; 38345.1426002617; 35092.98; 5659.87
505; 0.217310715396634; 38702.3610925656; 35469.61; 5713.19
506; 0.212952985504768; 39057.8887012502; 35860.16; 5760.06
507; 0.205486773340218; 39545.1878662201; 36434.09; 5800.95
508; 0.200145784313956; 39882.975002757; 36816.82; 5862.95
509; 0.195395841657414; 40247.9871610893; 37220.5; 5923.17
510; 0.189678712607515; 40820.4651096343; 37815.45; 6049.54
511; 0.188775979984177; 41239.1627626755; 38193.07; 6154.56
512; 0.182819259609889; 41620.7225373012; 38664.27; 6161.05
513; 0.176846497886307; 42163.4145810317; 39275.75; 6213.99
514; 0.17060745873284; 42507.8744752323; 39688.32; 6282.11
515; 0.165197501566514; 42868.4086058725; 40099.69; 6363.71
516; 0.164587160607432; 43263.3392483863; 40486.93; 6397.69
517; 0.157008879964754; 43807.4656965927; 41096.3; 6541.34
518; 0.15324084217082; 44179.7859955702; 41496.14; 6626.65
519; 0.148829157246457; 44558.057765377; 41917.64; 6705.56
520; 0.144402522532442; 45145.3061414874; 42548.12; 6790.4
521; 0.137825923436104; 45496.7929444079; 42977.56; 6893.52
522; 0.132109282986041; 45856.8516690514; 43423.9; 6938.08
523; 0.128261834095762; 46425.1160621632; 44015.23; 7071.04
524; 0.123625670404105; 46813.8940433421; 44459.88; 7158.61
525; 0.121558125921707; 47183.762979448; 44853.54; 7199.39
526; 0.117200731665719; 47702.8785066058; 45445.09; 7227.5
527; 0.116755330475196; 48034.9415684326; 45749.02; 7338.26
528; 0.114975128847761; 48333.9111207132; 46051.59; 7432.64
529; 0.112922744524401; 48573.1623643843; 46325.08; 7446.85
530; 0.112930255199342; 48940.6893143061; 46663.24; 7536.36
531; 0.112138823668468; 49158.1146240467; 46895.43; 7533.44
532; 0.113420915629402; 49390.7077877523; 47103.5; 7522.1
533; 0.112734246950723; 49637.137254221; 47350.71; 7558.38
534; 0.113706145684796; 49810.484240773; 47499.48; 7567.35
535; 0.114504397443423; 50004.3717562424; 47665.71; 7596.56
536; 0.112980480712493; 50275.584388433; 47956; 7628.39
537; 0.112485610675429; 50475.425426053; 48154.07; 7659.54
538; 0.112503731065253; 50662.832743372; 48333.48; 7676.39
539; 0.113704537081847; 50991.2849214113; 48638.4; 7664.33
