# 08/03/2019 17:36:03
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\PSswelling_080319\PSswelling2_722.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 11.9897683009595; 2; 274.1; -1
# comment:PS ID:349 ref:withoptics.ref slowslow2 start 15:37
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.510985667809897; 4643.15251476514; 3869.39; 734.26
401; 0.518591901115486; 4808.92551137614; 4006.64; 746.92
402; 0.512781058474018; 4924.64503081732; 4085.87; 786.28
403; 0.497469520780252; 5036.36774067242; 4170.5; 833.19
404; 0.498599504799938; 5150.2317147026; 4276.9; 834.94
405; 0.499000168749249; 5339.50529300824; 4420.61; 874.39
406; 0.49275786007016; 5455.05540666255; 4512.32; 904.88
407; 0.488957748528526; 5573.04603232975; 4618.2; 920
408; 0.481853101965293; 5692.16135174823; 4719.05; 947.65
409; 0.477713789110664; 5808.85812634712; 4825.46; 962.39
410; 0.475220137337217; 5968.99769323323; 4957.25; 991.61
411; 0.475599826327842; 6065.42098764993; 5054.41; 986.6
412; 0.479054013387216; 6157.04013772934; 5122.07; 999.14
413; 0.475728395953579; 6248.55585599961; 5198.54; 1017.35
414; 0.468643477188264; 6379.85403448913; 5328.84; 1030.24
415; 0.460609662280196; 6465.3137146466; 5407.41; 1051.61
416; 0.464094072091242; 6548.51212478984; 5484.24; 1046.5
417; 0.46507574827193; 6640.41907529709; 5557.11; 1059.45
418; 0.449587538191175; 6767.60159967278; 5686.9; 1089.66
419; 0.446402648180929; 6855.20079594101; 5778.65; 1089.96
420; 0.443587451836886; 6963.9902157478; 5873.63; 1107.63
421; 0.432965138804509; 7084.03320283551; 5999.37; 1125.58
422; 0.426308585376685; 7250.40426934654; 6161.07; 1144.72
423; 0.414236985094097; 7357.78539390715; 6283.37; 1158.5
424; 0.408561353404054; 7499.35598324; 6410.67; 1186.66
425; 0.394146302718731; 7637.29871824322; 6557.12; 1217.13
426; 0.385842927472422; 7858.12365231458; 6756.41; 1264.66
427; 0.382967206755952; 8026.26312083361; 6894.52; 1305.3
428; 0.381943952452269; 8184.3595846205; 7042.42; 1316.97
429; 0.368230114451243; 8303.02829119785; 7172.4; 1349.15
430; 0.361603574582314; 8497.24789282563; 7362.29; 1375.69
431; 0.356037786521639; 8644.08179452577; 7500.15; 1404.78
432; 0.349451569989469; 8759.02424373156; 7593.7; 1454.39
