# 20/02/2019 15:21:03
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\homopolymer_swelling\PSswellingrun2_1.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 0.258696830275142; 2; 286.1; -1
# comment:PS id:350 ref:topsiloptics swelling run2 - static
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.314325377909265; 4260.47979113724; 3879.71; 587.4
401; 0.313643414545993; 4406.30306215291; 4007.34; 614.14
402; 0.319350542688188; 4511.35179252423; 4089.31; 635.26
403; 0.312500719947793; 4622.66122103108; 4198.31; 650.03
404; 0.305619810458175; 4724.14383728593; 4308.46; 648.35
405; 0.306081161070955; 4893.2749723512; 4456.61; 677.41
406; 0.304233258762412; 5002.54037185862; 4564.45; 681.07
407; 0.295223733415957; 5121.24343623665; 4693.78; 682.14
408; 0.309401921613303; 5257.21733462463; 4786.79; 713.46
409; 0.309038607561985; 5372.62925622148; 4891.06; 728.51
410; 0.314110432859599; 5550.38785282616; 5047.52; 745.65
411; 0.315387085721147; 5650.01465905216; 5133.46; 760.15
412; 0.330799651788045; 5762.09945678096; 5207.85; 774.86
413; 0.348475934571062; 5865.88946298204; 5289.87; 761.9
414; 0.349325285891549; 6005.71869603794; 5399.05; 797.8
415; 0.348110200755198; 6099.65560077296; 5484.45; 809.18
416; 0.348963784772211; 6177.09950025773; 5567.21; 797.56
417; 0.349798224671545; 6275.49872088432; 5640.47; 825.71
418; 0.362588388104021; 6426.74541011694; 5745.32; 851.93
419; 0.373460452256373; 6536.77987565306; 5837.55; 846.21
420; 0.374589411752327; 6653.39369499791; 5937.53; 861.15
421; 0.368290678774282; 6762.43416415257; 6056.08; 861.72
422; 0.383119964269634; 6971.19522114631; 6206.92; 893.67
423; 0.382608858199621; 7100.26105740754; 6325.75; 904.16
424; 0.391293038816353; 7251.20359578963; 6447.44; 914.76
425; 0.395677037560034; 7411.76749533057; 6588.07; 924.54
426; 0.396153277197399; 7636.27253698359; 6798.69; 936.44
427; 0.390264397501205; 7785.07269679517; 6950.42; 944.65
428; 0.389763071799071; 7953.41235852711; 7093.04; 972.34
429; 0.396917010262477; 8118.34689278939; 7222.32; 991.93
430; 0.387926069014155; 8336.21999746468; 7438.56; 1014.23
431; 0.391413885364425; 8504.50614980605; 7568.54; 1045.51
432; 0.397298072072239; 8642.09323072805; 7669.88; 1067.25
433; 0.388248229078869; 8746.3621459562; 7773.46; 1090.28
434; 0.391528805494651; 8932.44358792176; 7941.66; 1098.36
435; 0.386573259871125; 9061.31730798555; 8032.82; 1152.29
436; 0.38571073187781; 9151.21195346715; 8119.6; 1155.85
437; 0.383188242631549; 9263.33550607317; 8215.7; 1178.81
438; 0.400370700962644; 9473.27520462092; 8367.16; 1188.44
439; 0.401946120106115; 9578.3706213777; 8444.76; 1210.44
440; 0.404917366598015; 9700.23207061959; 8551.57; 1214.72
441; 0.404663754244639; 9811.29358959794; 8656.01; 1219.77
442; 0.4069581811018; 10008.8149149254; 8831.26; 1233.49
443; 0.415947204501102; 10126.4011544878; 8939.09; 1214.16
444; 0.415572774109273; 10293.4433313159; 9072.21; 1247.24
445; 0.409269443030701; 10413.3896564886; 9218.16; 1236.69
446; 0.40962646432305; 10609.6216964232; 9418.63; 1228.42
447; 0.4047499635172; 10784.2370004296; 9595.14; 1238.58
448; 0.397043923738779; 10967.9982301455; 9790.25; 1247.85
449; 0.401949225453489; 11281.7637836639; 10077.07; 1258.16
450; 0.396587850619179; 11488.3205854216; 10261.67; 1295.63
451; 0.400819864755898; 11701.0149186768; 10465.9; 1288.2
452; 0.396886422023206; 11899.6776069417; 10678.16; 1284.02
453; 0.400471265641674; 12262.1289733898; 10993.19; 1319.32
454; 0.396138731414232; 12537.5450324361; 11215.2; 1387.13
455; 0.397416069059426; 12768.5368010073; 11425.23; 1401.85
456; 0.390779098041389; 13018.0311576567; 11656.99; 1441.68
457; 0.385248646005729; 13393.9595742739; 11991.27; 1504.28
458; 0.379310850380827; 13670.7298719602; 12256.59; 1537.35
459; 0.376114827601763; 13913.9545965886; 12478.81; 1570.51
460; 0.375755498011003; 14191.0173971822; 12672.85; 1659.84
461; 0.376312773384398; 14589.3820236469; 13002.92; 1728.72
462; 0.384848747879943; 14840.9024387024; 13194.8; 1750.65
463; 0.38330384110624; 15081.8705208805; 13420.38; 1770.92
464; 0.379004052457488; 15469.5386082922; 13767.34; 1831.55
465; 0.381118839981603; 15744.0111698932; 14013.55; 1848.43
466; 0.381468217406474; 16007.4793365009; 14250.15; 1872.12
467; 0.380101620908362; 16289.9528165967; 14496.25; 1914.52
468; 0.383985374686833; 16835.8159853463; 14972.09; 1965.82
469; 0.381263850201652; 17174.730347204; 15298.15; 1990.22
470; 0.379013361559364; 17536.2843240782; 15628.65; 2031.84
471; 0.377476729722007; 17997.5628534295; 16052.96; 2076.24
472; 0.38089230710688; 18708.1083698792; 16671.97; 2150.98
473; 0.379258038647049; 19200.2665866784; 17105.98; 2218.37
474; 0.376272193376262; 19744.1324956451; 17593.16; 2292.79
475; 0.376856768533515; 20684.9457923365; 18454.04; 2370.51
476; 0.370951502732951; 21275.6948665879; 19026.18; 2424.39
477; 0.365221464779479; 21918.8627425285; 19644.74; 2485.41
478; 0.361145293849818; 22711.9938502454; 20382.52; 2570.48
479; 0.352064223063106; 23797.5710523353; 21398.92; 2710.86
480; 0.351236217523626; 24590.4126341744; 22101.79; 2814.77
481; 0.34901662810941; 25350.9189358506; 22814.87; 2882.32
482; 0.346522821193425; 26556.2896920336; 23905.63; 3029.69
483; 0.340295242358372; 27309.1102845804; 24625.21; 3119.24
484; 0.341712138824671; 28089.1524611205; 25326.6; 3192.56
485; 0.341039257488556; 28871.6425120848; 26037.35; 3277.01
486; 0.342117646679541; 29927.853008119; 26968.07; 3406.11
487; 0.344706713761748; 30642.5133273736; 27590.49; 3480.62
488; 0.342478443557651; 31285.4751709993; 28238.74; 3491.9
489; 0.342386607307856; 31921.7806784691; 28832.56; 3536.48
490; 0.340238141848793; 32752.0813731939; 29602.73; 3622.88
491; 0.337371347973629; 33273.8879583269; 30093.52; 3684.84
492; 0.336849926307705; 33768.9327449219; 30535.42; 3747.31
493; 0.329880728447391; 34400.7110861091; 31155.89; 3835
494; 0.327589210881463; 34794.7047051453; 31543.93; 3864.09
495; 0.325484058641696; 35201.0197826166; 31943.61; 3892.15
496; 0.320383396204619; 35718.8045159119; 32475.12; 3932.61
497; 0.316793567004851; 36054.8722278011; 32811.79; 3971.53
498; 0.314492208180422; 36396.9481409897; 33145.13; 4006.41
499; 0.314844716984301; 36786.392325621; 33528.57; 4004.25
500; 0.303761616148088; 37256.0882534721; 34045.25; 4085.41
501; 0.302924781967184; 37615.8052430931; 34411.09; 4083.6
502; 0.299284958968267; 37961.5536237975; 34785.49; 4090.91
503; 0.289677274727477; 38388.4764149462; 35280.64; 4130.52
504; 0.28816120678402; 38779.8054661965; 35648.81; 4177.84
505; 0.286937679948613; 39172.7487233335; 36028.85; 4207.93
506; 0.281206053438164; 39546.5771958254; 36418.92; 4266.42
507; 0.271922935275545; 40092.8572948487; 36984.21; 4380.21
508; 0.276538188223244; 40524.368138087; 37348.87; 4394.66
509; 0.272497800077894; 40900.195862375; 37773.59; 4386.29
510; 0.266129023280336; 41517.050366657; 38431.4; 4427.4
511; 0.265742151744732; 41967.2670335881; 38870.67; 4444.52
512; 0.264820280236877; 42419.7048241322; 39297.85; 4491.25
513; 0.259221602621311; 43019.7110868316; 39940.14; 4521.05
514; 0.257030574959369; 43477.0512115243; 40368.94; 4596.58
515; 0.25958431816964; 43959.8381173533; 40784.87; 4644.04
516; 0.252265068617706; 44307.3767850217; 41168.74; 4718.67
517; 0.24904372268825; 44945.6159905906; 41758.69; 4847.65
518; 0.246444603864384; 45369.627956201; 42135.74; 4965.34
519; 0.243145289174631; 45802.8974309604; 42543.16; 5067.19
520; 0.241041734376002; 46463.1955500101; 43150.1; 5189.3
521; 0.233267266782865; 46827.9914610015; 43588.6; 5237.37
522; 0.228171057036924; 47186.484258531; 43994.16; 5270.91
523; 0.223439271724943; 47788.7291946114; 44649.95; 5286.71
524; 0.223643950200461; 48244.6059827458; 45111.24; 5267.23
525; 0.221428042447719; 48632.5415525357; 45486.44; 5336.08
526; 0.213168623884802; 49147.8452575571; 46109.8; 5346.95
527; 0.208508678967405; 49478.3329332188; 46489.36; 5372.87
528; 0.20495829020484; 49786.4873737469; 46848.18; 5367.87
529; 0.199328889994668; 50045.8397310514; 47152.18; 5430.24
530; 0.198329833840102; 50439.8485840716; 47540.28; 5463.47
531; 0.194970625487501; 50622.9032622402; 47725.2; 5548.94
532; 0.190510190790141; 50779.0611643426; 47915.08; 5607.62
533; 0.184842058333064; 50989.2789212175; 48188.92; 5645.99
534; 0.181984916007913; 51115.3151201178; 48323.49; 5711.89
535; 0.181623694670347; 51287.5678051268; 48452.04; 5806.75
536; 0.176293099561989; 51455.3938814208; 48701.61; 5803.91
537; 0.176386920902792; 51623.6425319757; 48848.28; 5839.98
538; 0.170980876545774; 51736.5284633105; 49040.57; 5845.94
539; 0.168022282694292; 51991.2422548232; 49354.18; 5813.06
540; 0.163720160495942; 52104.0272224051; 49531.13; 5814.78
541; 0.159926699755604; 52279.1692559547; 49764.19; 5813.86
542; 0.159201022943008; 52615.5061613306; 50112.64; 5807.38
543; 0.157186286763592; 52795.5606842474; 50340.57; 5764.78
544; 0.155127200547481; 53031.5607816609; 50577.91; 5833.52
545; 0.150100565806579; 53308.8076770395; 50922.01; 5859.84
546; 0.150035370571708; 53578.2702971994; 51192.1; 5856.07
547; 0.149535687990454; 53847.4820343312; 51473.06; 5841.64
548; 0.149063680618441; 54283.9404762054; 51889.91; 5903.55
549; 0.14880194651812; 54512.5149427209; 52111.45; 5926.15
550; 0.144083452691942; 54740.8063736456; 52411.31; 5932.77
551; 0.136063049560445; 54947.1648369137; 52762.8; 5886.08
552; 0.131058462790358; 55316.5512417443; 53234.48; 5819.73
553; 0.128495554856967; 55550.7914996623; 53497.77; 5848.16
554; 0.126959052549635; 55834.3982253678; 53782.53; 5910.57
555; 0.120042005093107; 56129.5162508378; 54178.77; 5938
556; 0.117712971044937; 56410.8528723674; 54506.65; 5905.8
557; 0.113183065286428; 56691.6945671132; 54860.33; 5902.16
558; 0.108768968874474; 57182.6628847131; 55420.29; 5905.24
559; 0.107828433231444; 57585.9600208594; 55810.51; 5995.79
560; 0.10737144732385; 57993.7580213487; 56209.19; 6047.02
561; 0.10181247262517; 58691.9937282977; 56981.81; 6106.26
562; 0.0998335811854802; 59190.2073172663; 57482.48; 6212.98
563; 0.0924142619172662; 59722.0427055927; 58117.91; 6299.5
564; 0.0891958562293395; 60570.246186776; 58992.24; 6415.27
565; 0.0867394915416429; 61114.1100962022; 59567.68; 6460.18
566; 0.0866547347811318; 61632.6378663951; 60075.18; 6507.81
567; 0.0832564777442691; 62248.4131530526; 60727.68; 6609.19
568; 0.0822947411199213; 62561.6452082356; 61032.05; 6720.78
569; 0.0791043194584484; 62753.0412934885; 61281.45; 6721.9
570; 0.0788953658319432; 62902.4055734421; 61454.25; 6627.63
571; 0.0834147568891204; 62914.4976348977; 61385.47; 6613.52
572; 0.0829564290247797; 62851.3305243558; 61345.78; 6542.73
573; 0.0787153149723714; 62529.0067297696; 61091.63; 6577.76
574; 0.0785188286991261; 62288.9235751647; 60848.44; 6603.01
575; 0.078881009211625; 61944.8153345828; 60514.05; 6523.12
576; 0.0772599418054776; 61746.6253439579; 60351.55; 6488.82
577; 0.0779824743642238; 61539.4408100496; 60126.02; 6508.18
578; 0.0716641520691826; 61223.70104284; 59920.74; 6523.44
579; 0.0672218072367889; 61043.8945435001; 59829.93; 6474.65
580; 0.0651665129311421; 60895.5765836657; 59712.75; 6502.64
581; 0.0665513028713511; 60740.281657545; 59533.62; 6491.09
582; 0.0658738674710422; 60635.0889260011; 59451.05; 6430.38
583; 0.0685755098615376; 60599.8017847247; 59373.38; 6393.83
584; 0.0647349053173996; 60470.8856751187; 59326.92; 6313.68
585; 0.0641039755873699; 60399.3535119367; 59266.51; 6309.73
