# 20/02/2019 15:46:06
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\homopolymer_swelling\PSswellingrun2_147.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 0.168878595522618; 2; 324.1; -1
# comment:PS id:350 ref:topsiloptics swelling run2 
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.267090409957914; 4203.25994779898; 3879.71; 587.4
401; 0.253347233426504; 4329.60465899855; 4007.34; 614.14
402; 0.240043621968483; 4406.54271752353; 4089.31; 635.26
403; 0.217205726041472; 4493.25816868274; 4198.31; 650.03
404; 0.196620311473404; 4575.88993341659; 4308.46; 648.35
405; 0.19376401863024; 4733.03981861996; 4456.61; 677.41
406; 0.188406089560593; 4835.75135006208; 4564.45; 681.07
407; 0.162994765150687; 4929.78508534228; 4693.78; 682.14
408; 0.171687977757608; 5047.83142256928; 4786.79; 713.46
409; 0.16108753458564; 5142.0797830263; 4891.06; 728.51
410; 0.156070700864064; 5297.37778892504; 5047.52; 745.65
411; 0.15697307595057; 5390.55731754745; 5133.46; 760.15
412; 0.155184875699304; 5467.85974484722; 5207.85; 774.86
413; 0.148515057297435; 5535.36059221124; 5289.87; 761.9
414; 0.133697685035553; 5631.2410366059; 5399.05; 797.8
415; 0.116497087684907; 5690.33210475307; 5484.45; 809.18
416; 0.110403924472741; 5760.16467685028; 5567.21; 797.56
417; 0.100580066919499; 5823.06449802046; 5640.47; 825.71
418; 0.0891769810771298; 5912.9135107057; 5745.32; 851.93
419; 0.0794126102727191; 5986.2342027604; 5837.55; 846.21
420; 0.0691871746840911; 6069.75099974509; 5937.53; 861.15
421; 0.0631512837033078; 6177.19947107614; 6056.08; 861.72
422; 0.0708232764641268; 6348.20335855615; 6206.92; 893.67
423; 0.0583346666401306; 6443.83624754681; 6325.75; 904.16
424; 0.0611842313630782; 6573.11986886445; 6447.44; 914.76
425; 0.054861530982723; 6702.27755154035; 6588.07; 924.54
426; 0.0499418802657926; 6904.28157069376; 6798.69; 936.44
427; 0.0515289286400002; 7060.62415781639; 6950.42; 944.65
428; 0.0496102358244381; 7202.55082514395; 7093.04; 972.34
429; 0.0527292412441815; 7341.35450083916; 7222.32; 991.93
430; 0.0490115107141583; 7551.97251876993; 7438.56; 1014.23
431; 0.054040536114356; 7697.76411394097; 7568.54; 1045.51
432; 0.0589865318044868; 7814.2237325431; 7669.88; 1067.25
433; 0.0581178908371825; 7919.09626174959; 7773.46; 1090.28
434; 0.062974669075739; 8101.02060820919; 7941.66; 1098.36
435; 0.0671783436814319; 8211.55131125085; 8032.82; 1152.29
436; 0.069040238371782; 8304.25323696805; 8119.6; 1155.85
