# 20/02/2019 16:25:26
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\homopolymer_swelling\PSswellingrun2_383.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 0.13238621319819; 2; 314; -1
# comment:PS id:350 ref:topsiloptics swelling run2 
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.177512009822142; 4094.74580574344; 3879.71; 587.4
401; 0.178014472948218; 4233.77931273916; 4007.34; 614.14
402; 0.175506545037026; 4321.25291841077; 4089.31; 635.26
403; 0.163660584207055; 4420.54810797788; 4198.31; 650.03
404; 0.1719984452338; 4542.40090067268; 4308.46; 648.35
405; 0.165395549625938; 4692.56847209845; 4456.61; 677.41
406; 0.161633294248805; 4797.1990106448; 4564.45; 681.07
407; 0.142527513930586; 4900.14992886068; 4693.78; 682.14
408; 0.147648578990096; 5011.28093759099; 4786.79; 713.46
409; 0.148812512270266; 5122.95183842044; 4891.06; 728.51
410; 0.139364078596891; 5270.63170732887; 5047.52; 745.65
411; 0.146377581549613; 5373.20355689723; 5133.46; 760.15
412; 0.146508485018765; 5453.32259284142; 5207.85; 774.86
413; 0.144078122398592; 5528.02648215034; 5289.87; 761.9
414; 0.165085232218395; 5685.75138295155; 5399.05; 797.8
415; 0.171498463355527; 5787.53452596732; 5484.45; 809.18
416; 0.166372146414876; 5857.98121942613; 5567.21; 797.56
417; 0.168497380777711; 5946.36256502974; 5640.47; 825.71
418; 0.181342339317667; 6086.12318618934; 5745.32; 851.93
419; 0.185864460998943; 6185.54396607434; 5837.55; 846.21
420; 0.197518068239787; 6314.99932967895; 5937.53; 861.15
421; 0.204906962841072; 6449.07633362525; 6056.08; 861.72
422; 0.210184227631882; 6626.21059312025; 6206.92; 893.67
423; 0.217132384490207; 6765.28878511927; 6325.75; 904.16
424; 0.219580491308446; 6898.48509345019; 6447.44; 914.76
425; 0.233696944206637; 7074.56673682468; 6588.07; 924.54
426; 0.245918253301003; 7318.63227069789; 6798.69; 936.44
427; 0.24689404585577; 7478.44864549168; 6950.42; 944.65
428; 0.244539622472057; 7632.84263129719; 7093.04; 972.34
429; 0.238954857409536; 7761.75260899806; 7222.32; 991.93
430; 0.243286021127264; 8001.52327200512; 7438.56; 1014.23
431; 0.247715375864047; 8160.88793466605; 7568.54; 1045.51
432; 0.254376589016656; 8292.35542289734; 7669.88; 1067.25
433; 0.25271496809961; 8406.73252094025; 7773.46; 1090.28
434; 0.252923970693343; 8581.69699252313; 7941.66; 1098.36
435; 0.252143032126025; 8703.65902765386; 8032.82; 1152.29
436; 0.256093508773672; 8804.54107895333; 8119.6; 1155.85
437; 0.262909084746351; 8934.49264916361; 8215.7; 1178.81
438; 0.28185813464936; 9145.85726114358; 8367.16; 1188.44
439; 0.283026730610845; 9242.98168172578; 8444.76; 1210.44
440; 0.27934795100167; 9344.01908292479; 8551.57; 1214.72
441; 0.283921678222424; 9466.58434015495; 8656.01; 1219.77
442; 0.29765962040815; 9692.55377725611; 8831.26; 1233.49
443; 0.310757059833696; 9826.13845106226; 8939.09; 1214.16
444; 0.315443260068179; 9999.19522938585; 9072.21; 1247.24
445; 0.318488721333212; 10148.2738198242; 9218.16; 1236.69
446; 0.331129864495587; 10381.3923051741; 9418.63; 1228.42
447; 0.330078538635945; 10564.8631268102; 9595.14; 1238.58
448; 0.332696330975062; 10777.1244779975; 9790.25; 1247.85
449; 0.346077694217876; 11114.3095827325; 10077.07; 1258.16
450; 0.341297134256992; 11317.3057913774; 10261.67; 1295.63
451; 0.340940388125576; 11516.4980286426; 10465.9; 1288.2
452; 0.341286948914536; 11728.5562695255; 10678.16; 1284.02
453; 0.350978992981732; 12105.3070511997; 10993.19; 1319.32
454; 0.337094791440314; 12340.4513010526; 11215.2; 1387.13
455; 0.345351814856161; 12592.5543176463; 11425.23; 1401.85
456; 0.351412736582446; 12880.9223961049; 11656.99; 1441.68
457; 0.349807386899428; 13264.9180184814; 11991.27; 1504.28
458; 0.350939106450502; 13564.9548478906; 12256.59; 1537.35
459; 0.356990362461278; 13840.9812097535; 12478.81; 1570.51
460; 0.365869636191337; 14151.075484989; 12672.85; 1659.84
461; 0.365210021661741; 14542.5749652323; 13002.92; 1728.72
462; 0.370339910519518; 14778.8442075316; 13194.8; 1750.65
463; 0.372233434838523; 15033.8841113966; 13420.38; 1770.92
464; 0.364253389939958; 15403.2898253414; 13767.34; 1831.55
465; 0.368149506850343; 15685.1242164586; 14013.55; 1848.43
466; 0.366973084182299; 15940.7038577349; 14250.15; 1872.12
467; 0.365611242906499; 16221.5725982399; 14496.25; 1914.52
468; 0.369230653478587; 16764.2019106051; 14972.09; 1965.82
469; 0.367583078117073; 17107.3935986113; 15298.15; 1990.22
470; 0.371448281025541; 17498.2080746516; 15628.65; 2031.84
471; 0.372379017320573; 17971.3015628617; 16052.96; 2076.24
472; 0.384533871351151; 18727.575102459; 16671.97; 2150.98
473; 0.384671661626278; 19230.1609510303; 17105.98; 2218.37
474; 0.384265442964191; 19789.8261725023; 17593.16; 2292.79
475; 0.387261716531952; 20746.5407023841; 18454.04; 2370.51
476; 0.389451224631728; 21387.8804195037; 19026.18; 2424.39
