# 20/02/2019 14:05:27
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\homopolymer_swelling\PSswelling_2.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 0.0803097349476751; 2; 288.1; -1
# comment:PS id:350 ref:topsiloptics static measurement - redo limits
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.354476451961426; 4309.11829491466; 3879.71; 587.4
401; 0.358421696506856; 4463.2622701596; 4007.34; 614.14
402; 0.363734987080099; 4570.00862245686; 4089.31; 635.26
403; 0.366840114748372; 4696.44981434237; 4198.31; 650.03
404; 0.379225124966814; 4824.25691416311; 4308.46; 648.35
405; 0.379135990519628; 4997.49728047924; 4456.61; 677.41
406; 0.370545501170865; 5098.02879759378; 4564.45; 681.07
407; 0.359939639033411; 5214.9475672505; 4693.78; 682.14
408; 0.367394764388723; 5345.39202439997; 4786.79; 713.46
409; 0.36935403193909; 5466.61768791003; 4891.06; 728.51
410; 0.357918588964168; 5620.52150994803; 5047.52; 745.65
411; 0.354165769529308; 5713.52807066575; 5133.46; 760.15
412; 0.355488635341665; 5803.46544870116; 5207.85; 774.86
413; 0.359665991863428; 5884.38626621243; 5289.87; 761.9
414; 0.374770749685772; 6049.90950318413; 5399.05; 797.8
415; 0.384619010098064; 6164.17661721131; 5484.45; 809.18
416; 0.388288084540645; 6245.82719803133; 5567.21; 797.56
417; 0.385657079378621; 6340.5974007258; 5640.47; 825.71
418; 0.389582523583936; 6477.47646065152; 5745.32; 851.93
419; 0.402857135963456; 6591.8192763953; 5837.55; 846.21
420; 0.411099551556043; 6723.16684598612; 5937.53; 861.15
421; 0.416950002499445; 6855.75913249689; 6056.08; 861.72
422; 0.427116523426335; 7058.96271727057; 6206.92; 893.67
423; 0.433089856755954; 7202.4492078723; 6325.75; 904.16
424; 0.433701144055704; 7338.31501300502; 6447.44; 914.76
425; 0.433817824020595; 7491.16677124315; 6588.07; 924.54
426; 0.45199334049924; 7754.33457149852; 6798.69; 936.44
427; 0.459103130808115; 7932.29707792361; 6950.42; 944.65
428; 0.450650712289395; 8087.81719737449; 7093.04; 972.34
429; 0.446672684663738; 8230.66866580415; 7222.32; 991.93
430; 0.443203148850714; 8464.13102822381; 7438.56; 1014.23
431; 0.440743439196848; 8622.46515509068; 7568.54; 1045.51
432; 0.437161403920938; 8739.64129694963; 7669.88; 1067.25
433; 0.429924593560186; 8850.79797180845; 7773.46; 1090.28
434; 0.42696818655167; 9022.12474707182; 7941.66; 1098.36
435; 0.4151296755105; 9137.29306642421; 8032.82; 1152.29
436; 0.419892890646526; 9242.63467175514; 8119.6; 1155.85
437; 0.416517087350557; 9354.45646757304; 8215.7; 1178.81
438; 0.420687440567537; 9529.4048228254; 8367.16; 1188.44
439; 0.415647357895935; 9617.01228976962; 8444.76; 1210.44
440; 0.418278856350844; 9738.13569677175; 8551.57; 1214.72
441; 0.418295317878202; 9850.2106450575; 8656.01; 1219.77
442; 0.429835050017706; 10075.0103391262; 8831.26; 1233.49
443; 0.435523463549179; 10182.2811086729; 8939.09; 1214.16
444; 0.436909779469714; 10356.145856024; 9072.21; 1247.24
445; 0.438000521349852; 10497.2958397005; 9218.16; 1236.69
446; 0.443986037106377; 10709.5223850792; 9418.63; 1228.42
447; 0.437867539884516; 10881.5316619972; 9595.14; 1238.58
448; 0.432148521170883; 11072.128718043; 9790.25; 1247.85
449; 0.439206554033449; 11393.4288132098; 10077.07; 1258.16
450; 0.429612723865262; 11590.4668817278; 10261.67; 1295.63
451; 0.427370678214108; 11782.8304889335; 10465.9; 1288.2
452; 0.432923675310825; 12010.5913015252; 10678.16; 1284.02
453; 0.427637175069018; 12348.2072620897; 10993.19; 1319.32
454; 0.422957689873766; 12627.0690140157; 11215.2; 1387.13
