# 20/02/2019 14:35:01
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\homopolymer_swelling\PSswelling_23.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 0.11994178305976; 2; 285.5; -1
# comment:PS id:350 ref:topsiloptics swelling
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.273896659795798; 4211.50495285214; 3879.71; 587.4
401; 0.270492005574913; 4351.41328139907; 4007.34; 614.14
402; 0.278382251953397; 4457.20962413203; 4089.31; 635.26
403; 0.280138592340321; 4578.71601550423; 4198.31; 650.03
404; 0.282720160413845; 4692.99724901778; 4308.46; 648.35
405; 0.302533682155901; 4888.21402780649; 4456.61; 677.41
406; 0.311636628478116; 5013.20108990422; 4564.45; 681.07
407; 0.303945599529898; 5133.87209185429; 4693.78; 682.14
408; 0.315495143258128; 5266.48171799596; 4786.79; 713.46
409; 0.315160169786874; 5382.16837559174; 4891.06; 728.51
410; 0.323521117063292; 5565.45367065352; 5047.52; 745.65
411; 0.327861766085579; 5670.44623204349; 5133.46; 760.15
412; 0.330377866677337; 5761.39276266195; 5207.85; 774.86
413; 0.339426667576523; 5850.93131695973; 5289.87; 761.9
414; 0.341564159770473; 5992.24004890353; 5399.05; 797.8
415; 0.348171687585514; 6099.76426476012; 5484.45; 809.18
416; 0.355979083100944; 6189.36024758617; 5567.21; 797.56
417; 0.351730126732974; 6279.00592363269; 5640.47; 825.71
418; 0.353870046525445; 6410.36071694796; 5745.32; 851.93
419; 0.360297008524796; 6512.13396450507; 5837.55; 846.21
420; 0.376451843422874; 6656.95291791113; 5937.53; 861.15
421; 0.383677658382598; 6791.94524805032; 6056.08; 861.72
422; 0.386319392260186; 6977.577669891; 6206.92; 893.67
423; 0.38267691702144; 7100.39882815937; 6325.75; 904.16
424; 0.388941772189337; 7246.37380754575; 6447.44; 914.76
425; 0.392782462053901; 7405.74173601648; 6588.07; 924.54
426; 0.397279889695619; 7638.65452145468; 6798.69; 936.44
427; 0.400951620741499; 7807.92930312636; 6950.42; 944.65
428; 0.396428681212774; 7968.12618471341; 7093.04; 972.34
429; 0.387439543463917; 8096.95182805933; 7222.32; 991.93
430; 0.394739198549449; 8351.98556294194; 7438.56; 1014.23
431; 0.398627795645444; 8521.75637030981; 7568.54; 1045.51
432; 0.394658475719071; 8635.63397336256; 7669.88; 1067.25
433; 0.397544510059067; 8769.65747878104; 7773.46; 1090.28
434; 0.39914375071483; 8951.71359472891; 7941.66; 1098.36
435; 0.391028005715424; 9073.16937998388; 8032.82; 1152.29
436; 0.389615192838179; 9161.65472382761; 8119.6; 1155.85
437; 0.385292463859027; 9269.08844059799; 8215.7; 1178.81
438; 0.394508059681118; 9457.07832346767; 8367.16; 1188.44
439; 0.390976104092082; 9547.43183120624; 8444.76; 1210.44
440; 0.397179616856415; 9678.28176575912; 8551.57; 1214.72
441; 0.400794052316383; 9800.24589113852; 8656.01; 1219.77
442; 0.410716888163059; 10019.6909316251; 8831.26; 1233.49
443; 0.424171827666535; 10149.8781407978; 8939.09; 1214.16
444; 0.417063270294155; 10297.8234152255; 9072.21; 1247.24
445; 0.421716642084203; 10449.7404315154; 9218.16; 1236.69
446; 0.421891847968727; 10645.2833817579; 9418.63; 1228.42
447; 0.42561548965447; 10845.5369059975; 9595.14; 1238.58
448; 0.417914041777819; 11029.9050951391; 9790.25; 1247.85
449; 0.419694953118171; 11334.9500232446; 10077.07; 1258.16
450; 0.413709711090156; 11541.2786882415; 10261.67; 1295.63
451; 0.415246886040812; 11745.4713710333; 10465.9; 1288.2
452; 0.41690885522073; 11961.3016719825; 10678.16; 1284.02
453; 0.427116372617153; 12346.5570400007; 10993.19; 1319.32
454; 0.417689115745161; 12609.4820620857; 11215.2; 1387.13
455; 0.421817874654796; 12851.0173899042; 11425.23; 1401.85
456; 0.424279523647527; 13134.7095017071; 11656.99; 1441.68
457; 0.418964918448282; 13516.7204569633; 11991.27; 1504.28
458; 0.415058394263875; 13804.0032203997; 12256.59; 1537.35
459; 0.421731898443873; 14088.0160478446; 12478.81; 1570.51
460; 0.412473867310778; 14339.3708649123; 12672.85; 1659.84
461; 0.409199952535338; 14728.0280236714; 13002.92; 1728.72
462; 0.410352500701031; 14949.9889043493; 13194.8; 1750.65
463; 0.403645127856938; 15170.0430135466; 13420.38; 1770.92
464; 0.389107042146513; 15514.9135716382; 13767.34; 1831.55
465; 0.387030632525412; 15770.853525527; 14013.55; 1848.43
466; 0.385344422624323; 16025.3360512488; 14250.15; 1872.12
467; 0.383057726660285; 16303.9027050521; 14496.25; 1914.52
468; 0.387607173294844; 16853.3948845034; 14972.09; 1965.82
469; 0.380744211345915; 17172.1726851969; 15298.15; 1990.22
470; 0.379999867270555; 17541.2495636883; 15628.65; 2031.84
471; 0.379445208993; 18007.7036385584; 16052.96; 2076.24
472; 0.391173274832137; 18763.0674028507; 16671.97; 2150.98
473; 0.390605808852167; 19262.9296827964; 17105.98; 2218.37
474; 0.386097200087452; 19800.2974729603; 17593.16; 2292.79
475; 0.384684282218156; 20731.2828813229; 18454.04; 2370.51
476; 0.38115210363777; 21337.5530966111; 19026.18; 2424.39
477; 0.384405019875722; 22038.3128930099; 19644.74; 2485.41
478; 0.379713915232543; 22831.7659161778; 20382.52; 2570.48
479; 0.383799931664629; 24013.7898154102; 21398.92; 2710.86
480; 0.379942289638522; 24793.8044748765; 22101.79; 2814.77
481; 0.379891331587269; 25575.2628570096; 22814.87; 2882.32
482; 0.375507678956751; 26778.0037883461; 23905.63; 3029.69
483; 0.372056589245461; 27559.611253557; 24625.21; 3119.24
484; 0.370801929485503; 28324.3272285724; 25326.6; 3192.56
485; 0.373853120791521; 29144.3503749187; 26037.35; 3277.01
486; 0.371892729470883; 30185.4479757171; 26968.07; 3406.11
487; 0.363655843231791; 30810.2883745866; 27590.49; 3480.62
488; 0.362028990837505; 31459.3995190284; 28238.74; 3491.9
489; 0.357891338305026; 32061.6738126871; 28832.56; 3536.48
490; 0.357401401227322; 32910.9499062705; 29602.73; 3622.88
491; 0.357647850099195; 33465.0326363039; 30093.52; 3684.84
492; 0.358816108687742; 33979.7920182538; 30535.42; 3747.31
493; 0.355542959498706; 34653.1336778252; 31155.89; 3835
494; 0.357858857658686; 35095.0802938661; 31543.93; 3864.09
495; 0.353507671544054; 35481.4771149768; 31943.61; 3892.15
496; 0.350399065100826; 36022.6946724766; 32475.12; 3932.61
497; 0.351616798035956; 36411.364951878; 32811.79; 3971.53
498; 0.353032006931951; 36795.445825417; 33145.13; 4006.41
499; 0.352387083496869; 37174.8579824463; 33528.57; 4004.25
500; 0.338783952797053; 37626.2833415298; 34045.25; 4085.41
501; 0.333423524267063; 37938.4588857197; 34411.09; 4083.6
502; 0.3271922720257; 38257.7108451467; 34785.49; 4090.91
503; 0.322729172864292; 38743.0775575775; 35280.64; 4130.52
504; 0.321036875579819; 39137.0137493537; 35648.81; 4177.84
505; 0.322866817102317; 39566.4145829315; 36028.85; 4207.93
506; 0.313261742009564; 39903.1100791032; 36418.92; 4266.42
507; 0.303245945407707; 40450.9447456744; 36984.21; 4380.21
508; 0.305468060247519; 40856.5709175239; 37348.87; 4394.66
509; 0.305042139042473; 41273.6055594981; 37773.59; 4386.29
510; 0.301771228211587; 41930.3062429194; 38431.4; 4427.4
511; 0.302277641082126; 42393.0018564608; 38870.67; 4444.52
512; 0.298660290893136; 42818.6304669169; 39297.85; 4491.25
513; 0.291629388788988; 43404.7178928269; 39940.14; 4521.05
514; 0.28666887916204; 43835.4488286072; 40368.94; 4596.58
515; 0.285115796866654; 44272.1128781072; 40784.87; 4644.04
516; 0.282087769314824; 44678.4254837162; 41168.74; 4718.67
517; 0.275776071650696; 45287.7005722791; 41758.69; 4847.65
518; 0.271505927226305; 45698.4868985991; 42135.74; 4965.34
519; 0.270124758465981; 46164.5988080054; 42543.16; 5067.19
520; 0.26317445761001; 46767.4077108047; 43150.1; 5189.3
521; 0.25998887607063; 47199.0754718224; 43588.6; 5237.37
522; 0.255698889615479; 47571.6241131054; 43994.16; 5270.91
523; 0.256523710847019; 48253.4852259933; 44649.95; 5286.71
524; 0.255939823240715; 48697.0876612204; 45111.24; 5267.23
525; 0.255886261903096; 49122.1320150977; 45486.44; 5336.08
526; 0.249188634947484; 49661.1967151584; 46109.8; 5346.95
527; 0.243489013847789; 49979.7762048859; 46489.36; 5372.87
528; 0.24092146576967; 50302.0599023814; 46848.18; 5367.87
529; 0.236271150055773; 50582.130934578; 47152.18; 5430.24
530; 0.232310099618124; 50936.6377419135; 47540.28; 5463.47
531; 0.225994541124085; 51083.9886248317; 47725.2; 5548.94
532; 0.220693492692374; 51232.8133114962; 47915.08; 5607.62
533; 0.214057051589822; 51431.8863436713; 48188.92; 5645.99
534; 0.209718195214783; 51540.77052187; 48323.49; 5711.89
535; 0.205408705309727; 51658.9018380326; 48452.04; 5806.75
536; 0.200573782679186; 51834.6699504454; 48701.61; 5803.91
