# 20/02/2019 14:31:51
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\homopolymer_swelling\PSswelling_4.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 0.113987579976907; 2; 285; -1
# comment:PS id:350 ref:topsiloptics swelling
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.216475504411345; 4141.9456907651; 3879.71; 587.4
401; 0.222378710823094; 4290.21184526423; 4007.34; 614.14
402; 0.227796199214519; 4390.35697940211; 4089.31; 635.26
403; 0.222035340047195; 4499.81640189507; 4198.31; 650.03
404; 0.229746083687717; 4620.94541619587; 4308.46; 648.35
405; 0.243134710546286; 4803.47359424028; 4456.61; 677.41
406; 0.23731579807338; 4906.18044278201; 4564.45; 681.07
407; 0.239540404212984; 5040.61784774895; 4693.78; 682.14
408; 0.251333665291218; 5168.9279830089; 4786.79; 713.46
409; 0.260623019431536; 5297.18412349375; 4891.06; 728.51
410; 0.283252017542028; 5500.98578454369; 5047.52; 745.65
411; 0.290597993134001; 5609.4140071888; 5133.46; 760.15
412; 0.300600407212828; 5711.50111179922; 5207.85; 774.86
413; 0.307761247751444; 5798.58940088109; 5289.87; 761.9
414; 0.319488827250711; 5953.9021050579; 5399.05; 797.8
415; 0.325054243069406; 6058.90943973341; 5484.45; 809.18
416; 0.32180310291959; 6129.63034900306; 5567.21; 797.56
417; 0.322765198034159; 6226.42257607744; 5640.47; 825.71
418; 0.327537306398184; 6360.87265050835; 5745.32; 851.93
419; 0.33050908579879; 6456.36204708296; 5837.55; 846.21
420; 0.332122601693559; 6572.23697617548; 5937.53; 861.15
421; 0.337562729804385; 6703.50024059255; 6056.08; 861.72
422; 0.34819411463884; 6901.52262786033; 6206.92; 893.67
423; 0.349844308363197; 7033.93612635733; 6325.75; 904.16
424; 0.360797175574909; 7188.56137560141; 6447.44; 914.76
425; 0.364754568350343; 7347.394893386; 6588.07; 924.54
426; 0.376771178073164; 7595.29317699598; 6798.69; 936.44
427; 0.373610003674134; 7749.45419095591; 6950.42; 944.65
428; 0.367340003450645; 7903.91513932854; 7093.04; 972.34
429; 0.374662816694542; 8068.1087941475; 7222.32; 991.93
430; 0.372206348413303; 8299.84460152759; 7438.56; 1014.23
431; 0.374620324670365; 8464.34864663081; 7568.54; 1045.51
432; 0.37095667596459; 8577.63418697249; 7669.88; 1067.25
433; 0.376387870916073; 8716.6415521604; 7773.46; 1090.28
434; 0.374395650314547; 8889.08726592569; 7941.66; 1098.36
435; 0.366670864811326; 9008.36600000244; 8032.82; 1152.29
436; 0.374807267057053; 9122.0498282949; 8119.6; 1155.85
437; 0.379472255079648; 9253.17600725149; 8215.7; 1178.81
438; 0.385667696413976; 9432.65480745951; 8367.16; 1188.44
439; 0.380935750471367; 9519.11497245954; 8444.76; 1210.44
440; 0.38204943902028; 9635.3607580777; 8551.57; 1214.72
441; 0.384226355032796; 9752.94640214702; 8656.01; 1219.77
442; 0.381320952627254; 9934.63224506597; 8831.26; 1233.49
443; 0.395057706925687; 10066.7725929431; 8939.09; 1214.16
444; 0.389956747913757; 10218.1661549588; 9072.21; 1247.24
445; 0.39087795452171; 10359.6791905175; 9218.16; 1236.69
446; 0.392683594240954; 10560.3601878566; 9418.63; 1228.42
447; 0.394117431418577; 10753.0001550558; 9595.14; 1238.58
448; 0.403728244534388; 10987.8258777081; 9790.25; 1247.85
449; 0.406296386885013; 11294.7927883777; 10077.07; 1258.16
450; 0.399841845783778; 11498.3852282678; 10261.67; 1295.63
451; 0.402204536363579; 11705.2817445267; 10465.9; 1288.2
452; 0.402955920775612; 11918.3580131737; 10678.16; 1284.02
453; 0.410175993266586; 12292.8795119825; 10993.19; 1319.32
454; 0.404482805329516; 12565.398266208; 11215.2; 1387.13
455; 0.406376282519843; 12798.8232353438; 11425.23; 1401.85
456; 0.405643055725774; 13069.8007079615; 11656.99; 1441.68
457; 0.404296517253155; 13463.3128366096; 11991.27; 1504.28
458; 0.409313594146158; 13782.5855602016; 12256.59; 1537.35
