# 20/02/2019 14:39:16
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\homopolymer_swelling\PSswelling_48.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 0.124455310705709; 2; 286; -1
# comment:PS id:350 ref:topsiloptics swelling - stopped
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.294386109670469; 4236.32561353563; 3879.71; 587.4
401; 0.296885390773287; 4384.9863943387; 4007.34; 614.14
402; 0.298052843636837; 4483.20554605597; 4089.31; 635.26
403; 0.289038403653578; 4590.80125421458; 4198.31; 650.03
404; 0.296502831323884; 4711.74352571805; 4308.46; 648.35
405; 0.30390315412534; 4890.16775941669; 4456.61; 677.41
406; 0.311667805641827; 5013.24598445421; 4564.45; 681.07
407; 0.31084660979075; 5143.86427481829; 4693.78; 682.14
408; 0.303998700405445; 5249.00205613526; 4786.79; 713.46
409; 0.302133643500739; 5361.86937598048; 4891.06; 728.51
410; 0.296895283152295; 5522.82765595342; 5047.52; 745.65
411; 0.300416398951385; 5625.49501842563; 5133.46; 760.15
412; 0.304154543798635; 5717.45601006275; 5207.85; 774.86
413; 0.311818972540735; 5805.29668888057; 5289.87; 761.9
414; 0.313653091579806; 5943.76725856131; 5399.05; 797.8
415; 0.316441195555654; 6043.68783732506; 5484.45; 809.18
416; 0.327530286868453; 6139.63983855148; 5567.21; 797.56
417; 0.336344676281639; 6251.0749559169; 5640.47; 825.71
418; 0.342530762494415; 6389.05039228014; 5745.32; 851.93
419; 0.350326207174154; 6493.46563658321; 5837.55; 846.21
420; 0.353671210404477; 6613.41770945275; 5937.53; 861.15
421; 0.366899503771455; 6759.7659938378; 6056.08; 861.72
422; 0.364782854047823; 6934.61503666891; 6206.92; 893.67
423; 0.37702335577745; 7088.95438404011; 6325.75; 904.16
424; 0.378065627906915; 7224.03288151442; 6447.44; 914.76
425; 0.386275567458167; 7392.19606044749; 6588.07; 924.54
426; 0.394328982148367; 7632.41544993338; 6798.69; 936.44
427; 0.395612310425863; 7796.51019909713; 6950.42; 944.65
428; 0.396541588308026; 7968.3754185451; 7093.04; 972.34
429; 0.393808728667952; 8111.33005091301; 7222.32; 991.93
430; 0.397037332142887; 8357.30343859; 7438.56; 1014.23
431; 0.40027412474636; 8525.6931450833; 7568.54; 1045.51
432; 0.402254868381365; 8654.22282131132; 7669.88; 1067.25
433; 0.397786953671903; 8770.26501255334; 7773.46; 1090.28
434; 0.41085149110652; 8981.34062821647; 7941.66; 1098.36
435; 0.406474173964657; 9114.26467578453; 8032.82; 1152.29
436; 0.41006981352663; 9216.3621236013; 8119.6; 1155.85
437; 0.412792595810307; 9344.27371887272; 8215.7; 1178.81
438; 0.417808561742175; 9521.45126470205; 8367.16; 1188.44
439; 0.41563013172105; 9616.96370670378; 8444.76; 1210.44
440; 0.411190958359698; 9718.02887929623; 8551.57; 1214.72
441; 0.412988296816633; 9835.05951210386; 8656.01; 1219.77
442; 0.402510162117279; 9995.94433789774; 8831.26; 1233.49
443; 0.409639442944148; 10108.3958029062; 8939.09; 1214.16
444; 0.408220210307191; 10271.8365357192; 9072.21; 1247.24
445; 0.412642933417223; 10423.2415910137; 9218.16; 1236.69
446; 0.416211910498256; 10628.7689254111; 9418.63; 1228.42
447; 0.410057477073649; 10799.8297095552; 9595.14; 1238.58
448; 0.411800518563658; 11011.7705998983; 9790.25; 1247.85
449; 0.41247210184801; 11313.3022043797; 10077.07; 1258.16
450; 0.413708236507488; 11541.2741273411; 10261.67; 1295.63
451; 0.414173695690113; 11742.1643657442; 10465.9; 1288.2
452; 0.407800335242422; 11933.2679149445; 10678.16; 1284.02
453; 0.402578093577566; 12268.8046984853; 10993.19; 1319.32
454; 0.398581228721683; 12545.6982977574; 11215.2; 1387.13
455; 0.408695683703356; 12806.6630476379; 11425.23; 1401.85
456; 0.406309860574147; 13072.1231168296; 11656.99; 1441.68
457; 0.400198492055218; 13448.3919347976; 11991.27; 1504.28
458; 0.406323035656817; 13771.4362139729; 12256.59; 1537.35
459; 0.411660849672154; 14049.5878600519; 12478.81; 1570.51
460; 0.409210936508766; 14326.1876242436; 12672.85; 1659.84
461; 0.406480748087774; 14716.564382531; 13002.92; 1728.72
462; 0.414599386291479; 14968.1539854775; 13194.8; 1750.65
463; 0.4050285158866; 15176.0395255861; 13420.38; 1770.92
464; 0.390636724225889; 15521.7837427875; 13767.34; 1831.55
465; 0.389398152991524; 15781.6031967732; 14013.55; 1848.43
466; 0.386596127666399; 16031.1023455054; 14250.15; 1872.12
467; 0.375602073905934; 16268.719415612; 14496.25; 1914.52
468; 0.379643484954978; 16814.7420245857; 14972.09; 1965.82
469; 0.379935376441635; 17168.1916004843; 15298.15; 1990.22
470; 0.380025265484661; 17541.3773969256; 15628.65; 2031.84
471; 0.37819607984626; 18001.2686455859; 16052.96; 2076.24
472; 0.380375375172055; 18705.3450036272; 16671.97; 2150.98
473; 0.382516030964101; 19218.257423823; 17105.98; 2218.37
474; 0.381957250107518; 19776.6313113439; 17593.16; 2292.79
475; 0.386503742504315; 20742.0536696707; 18454.04; 2370.51
476; 0.384594029280238; 21358.425536392; 19026.18; 2424.39
477; 0.385390603859509; 22044.4498240732; 19644.74; 2485.41
478; 0.384260719860138; 22861.0938976372; 20382.52; 2570.48
479; 0.379923429523614; 23987.3787934125; 21398.92; 2710.86
480; 0.379113779064935; 24787.9342084768; 22101.79; 2814.77
481; 0.378559116704811; 25565.5826244278; 22814.87; 2882.32
482; 0.370325693135364; 26738.3651841868; 23905.63; 3029.69
483; 0.371825332570541; 27557.7873377969; 24625.21; 3119.24
484; 0.369706448041619; 28315.4708707932; 25326.6; 3192.56
485; 0.371905406031103; 29128.1634016014; 26037.35; 3277.01
486; 0.366318307027772; 30137.2216389954; 26968.07; 3406.11
487; 0.364772701763978; 30820.1770079016; 27590.49; 3480.62
488; 0.362094668634637; 31459.983797713; 28238.74; 3491.9
489; 0.36065069121248; 32086.5703766267; 28832.56; 3536.48
490; 0.362361202375512; 32956.859387412; 29602.73; 3622.88
491; 0.359537883661512; 33482.8498048864; 30093.52; 3684.84
492; 0.358146155259492; 33973.3609556957; 30535.42; 3747.31
493; 0.351768267563592; 34616.0045007367; 31155.89; 3835
494; 0.351908144679775; 35036.0294259288; 31543.93; 3864.09
495; 0.347934837664927; 35425.7047872305; 31943.61; 3892.15
496; 0.350554660756428; 36024.2699826356; 32475.12; 3932.61
497; 0.348306893259121; 36377.4807620601; 32811.79; 3971.53
498; 0.349425496079605; 36758.1548620472; 33145.13; 4006.41
499; 0.348452637734655; 37134.146722096; 33528.57; 4004.25
500; 0.333817882824627; 37573.7907072099; 34045.25; 4085.41
501; 0.330232347206151; 37904.6986443024; 34411.09; 4083.6
502; 0.326538763265267; 38250.7756974233; 34785.49; 4090.91
503; 0.322918370899802; 38745.1073907598; 35280.64; 4130.52
504; 0.316295897204036; 39085.5009799369; 35648.81; 4177.84
505; 0.311332159238794; 39440.0324495786; 36028.85; 4207.93
506; 0.305491756235011; 39816.6899909788; 36418.92; 4266.42
507; 0.297261137717006; 40382.5258893575; 36984.21; 4380.21
508; 0.301078581193103; 40806.1663688645; 37348.87; 4394.66
509; 0.299617474580372; 41211.3636342283; 37773.59; 4386.29
510; 0.292937489466433; 41827.8828812659; 38431.4; 4427.4
511; 0.290713102044943; 42258.2444721232; 38870.67; 4444.52
512; 0.287650618784348; 42688.8420762612; 39297.85; 4491.25
513; 0.284877373277366; 43324.5034680368; 39940.14; 4521.05
514; 0.277254018177588; 43721.6007582547; 40368.94; 4596.58
515; 0.274149632332053; 44137.98604405; 40784.87; 4644.04
516; 0.269248062911182; 44518.676157152; 41168.74; 4718.67
517; 0.265064715875257; 45150.631074013; 41758.69; 4847.65
518; 0.260607854607819; 45555.4805384107; 42135.74; 4965.34
519; 0.258746431818812; 46012.0547986216; 42543.16; 5067.19
520; 0.256124425328924; 46670.5056924121; 43150.1; 5189.3
521; 0.251576690614616; 47082.2551304586; 43588.6; 5237.37
522; 0.250830919693103; 47503.5167086221; 43994.16; 5270.91
523; 0.247115101056003; 48121.3171051689; 44649.95; 5286.71
524; 0.247068713731626; 48572.7988855121; 45111.24; 5267.23
525; 0.245859960981438; 48979.6759804097; 45486.44; 5336.08
526; 0.242210109015762; 49561.7398756609; 46109.8; 5346.95
527; 0.23940847098938; 49921.2816030448; 46489.36; 5372.87
528; 0.237622360087515; 50254.7635156728; 46848.18; 5367.87
529; 0.233144215875497; 50536.7371960218; 47152.18; 5430.24
530; 0.227244194270404; 50862.5745527718; 47540.28; 5463.47
531; 0.222662624455296; 51034.4688278032; 47725.2; 5548.94
532; 0.217492781662365; 51184.6963259195; 47915.08; 5607.62
533; 0.209967419441704; 51369.9283781858; 48188.92; 5645.99
534; 0.206279360548559; 51488.0154627381; 48323.49; 5711.89
535; 0.197321651362439; 51532.6459198788; 48452.04; 5806.75
536; 0.188136224580501; 51640.3892491503; 48701.61; 5803.91
537; 0.185529328629226; 51767.4938772235; 48848.28; 5839.98
538; 0.181961113108709; 51909.660466661; 49040.57; 5845.94
539; 0.17807756109415; 52149.0570083476; 49354.18; 5813.06
540; 0.177095515415972; 52314.2237761965; 49531.13; 5814.78
541; 0.172226487981968; 52472.5935702763; 49764.19; 5813.86
542; 0.167630613014962; 52748.0312880852; 50112.64; 5807.38
543; 0.171144963710778; 53013.572207869; 50340.57; 5764.78
544; 0.169049218752075; 53251.7656891784; 50577.91; 5833.52
545; 0.168872126681146; 53607.3003419343; 50922.01; 5859.84
546; 0.16675590754567; 53844.1945824427; 51192.1; 5856.07
547; 0.162622437666719; 54055.2817054779; 51473.06; 5841.64
548; 0.162129301101726; 54493.7802808965; 51889.91; 5903.55
549; 0.160740354027566; 54705.1528242379; 52111.45; 5926.15
550; 0.157772351697422; 54962.1242279634; 52411.31; 5932.77
551; 0.150873941690124; 55184.9398395754; 52762.8; 5886.08
552; 0.149285081380648; 55606.1099439685; 53234.48; 5819.73
553; 0.145761092425103; 55826.649445644; 53497.77; 5848.16
554; 0.142393408802646; 56083.8429442639; 53782.53; 5910.57
555; 0.143470643681344; 56510.2440540163; 54178.77; 5938
556; 0.139589043090648; 56764.7346821269; 54506.65; 5905.8
557; 0.137394889658146; 57083.4552704244; 54860.33; 5902.16
558; 0.135910901882573; 57622.4409507107; 55420.29; 5905.24
559; 0.131067411054132; 57968.6016156926; 55810.51; 5995.79
560; 0.128199092579225; 58339.9240702298; 56209.19; 6047.02
561; 0.120960332205183; 59013.6277780475; 56981.81; 6106.26
562; 0.116239324780499; 59470.8397073359; 57482.48; 6212.98
563; 0.109253640452028; 60014.3417218814; 58117.91; 6299.5
564; 0.101427721384796; 60786.6459132554; 58992.24; 6415.27
565; 0.0960358084970634; 61279.8489548026; 59567.68; 6460.18
566; 0.0930598499141647; 61747.7579111833; 60075.18; 6507.81
567; 0.0911495536553322; 62392.5852648537; 60727.68; 6609.19
568; 0.0913257758549524; 62729.5031693656; 61032.05; 6720.78
569; 0.0898373409666644; 62952.7095431169; 61281.45; 6721.9
570; 0.0863256673245733; 63038.7916894762; 61454.25; 6627.63
571; 0.0866623935303707; 62974.028182702; 61385.47; 6613.52
572; 0.0845266397134382; 62879.8277915773; 61345.78; 6542.73
573; 0.0809319441536697; 62569.4833664297; 61091.63; 6577.76
574; 0.0788149425921966; 62294.3559944508; 60848.44; 6603.01
575; 0.0795548790562715; 61957.0381702612; 60514.05; 6523.12
576; 0.0743800061496156; 61694.6226226021; 60351.55; 6488.82
577; 0.0721856827935061; 61434.3748204876; 60126.02; 6508.18
578; 0.0702068426937533; 61197.2049874382; 59920.74; 6523.44
579; 0.0699879482044829; 61093.8485271125; 59829.93; 6474.65
580; 0.0715981336258407; 61012.3158657228; 59712.75; 6502.64
581; 0.0721013044180949; 60840.9104022401; 59533.62; 6491.09
582; 0.0730428917002612; 60763.9473652384; 59451.05; 6430.38
583; 0.0709985570641978; 60643.1361745202; 59373.38; 6393.83
584; 0.068310452055096; 60534.0711037163; 59326.92; 6313.68
585; 0.0687390932940908; 60481.26517144; 59266.51; 6309.73
586; 0.0703581188524619; 60457.167122658; 59208.17; 6334.18
587; 0.0683673152273758; 60281.9896842205; 59075.34; 6293.68
588; 0.0660028950754468; 60163.0103888434; 59000.06; 6279.12
589; 0.0667012440114802; 60129.9516123439; 58963.16; 6230.17
590; 0.0613217576783562; 60054.6218967085; 58972.58; 6280.55
591; 0.0620600193571094; 60037.6490453341; 58939.57; 6293.86
592; 0.0595538888276224; 60022.1640012212; 58962.25; 6326.78
593; 0.0572319724008892; 60071.7466183916; 59051.12; 6335.44
594; 0.0528237398284134; 60088.8427351387; 59147.81; 6324.85
595; 0.050109903151989; 60322.4552452543; 59427.23; 6338.83
