# 20/02/2019 15:17:38
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\homopolymer_swelling\PSswelling_88.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 0.202658069452953; 2; 286; -1
# comment:PS id:350 ref:topsiloptics swelling - start 2
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.294215481738605; 4236.11891701494; 3879.71; 587.4
401; 0.301820936552778; 4391.26454451263; 4007.34; 614.14
402; 0.305974179791254; 4493.67408912359; 4089.31; 635.26
403; 0.295460013294735; 4599.52129138014; 4198.31; 650.03
404; 0.310550035206678; 4730.84960265849; 4308.46; 648.35
405; 0.321519846831588; 4915.30028507289; 4456.61; 677.41
406; 0.340461523204261; 5054.70841523983; 4564.45; 681.07
407; 0.330544051836465; 5172.38480114762; 4693.78; 682.14
408; 0.332403075131054; 5292.1892290661; 4786.79; 713.46
409; 0.335743989183534; 5414.24376796827; 4891.06; 728.51
410; 0.347899141974722; 5604.48110737936; 5047.52; 745.65
411; 0.3481238498043; 5703.63235227755; 5133.46; 760.15
412; 0.3447348177666; 5785.44760159314; 5207.85; 774.86
413; 0.343272405660004; 5857.28819778234; 5289.87; 761.9
414; 0.345961282282743; 5999.87647457489; 5399.05; 797.8
415; 0.349706921931161; 6102.47744227084; 5484.45; 809.18
416; 0.351015466985933; 6180.68525756155; 5567.21; 797.56
417; 0.348589114009815; 6273.30368402372; 5640.47; 825.71
418; 0.361404724243537; 6424.52090801474; 5745.32; 851.93
419; 0.373991313910629; 6537.7738077448; 5837.55; 846.21
420; 0.375399580093623; 6654.94197715479; 5937.53; 861.15
421; 0.38329023443208; 6791.20219769224; 6056.08; 861.72
422; 0.3781855952498; 6961.35178742956; 6206.92; 893.67
423; 0.380399142733499; 7095.78795380432; 6325.75; 904.16
424; 0.385992426182882; 7240.31549135758; 6447.44; 914.76
425; 0.381051901854395; 7381.32173652715; 6588.07; 924.54
426; 0.387341704250464; 7617.64232476896; 6798.69; 936.44
427; 0.396378843971849; 7798.14957305857; 6950.42; 944.65
428; 0.397829718887028; 7971.21886889875; 7093.04; 972.34
429; 0.399762523452024; 8124.77054376855; 7222.32; 991.93
430; 0.410096691446633; 8387.52276483761; 7438.56; 1014.23
431; 0.419251883760521; 8571.07359963691; 7568.54; 1045.51
432; 0.426664483935719; 8713.95467723287; 7669.88; 1067.25
433; 0.423541293859431; 8834.80221056086; 7773.46; 1090.28
434; 0.427389313705396; 9023.19043078777; 7941.66; 1098.36
435; 0.411812642302114; 9128.46793525383; 8032.82; 1152.29
436; 0.411757050303095; 9220.87476347123; 8119.6; 1155.85
437; 0.403359666208365; 9318.48411763282; 8215.7; 1178.81
438; 0.406365419038805; 9489.83697798624; 8367.16; 1188.44
439; 0.401224808465517; 9576.33630260659; 8444.76; 1210.44
440; 0.397901638367595; 9680.32998298189; 8551.57; 1214.72
441; 0.393990908947373; 9780.82344519554; 8656.01; 1219.77
442; 0.397985630531959; 9982.85236763288; 8831.26; 1233.49
443; 0.413133431779259; 10118.3693088529; 8939.09; 1214.16
444; 0.407368432357176; 10269.3334371327; 9072.21; 1247.24
445; 0.409411418288715; 10413.8042807459; 9218.16; 1236.69
446; 0.422035281889908; 10645.7004168471; 9418.63; 1228.42
447; 0.419842567067335; 10828.5768922833; 9595.14; 1238.58
448; 0.417675823812145; 11029.1984710839; 9790.25; 1247.85
449; 0.433181829584887; 11375.3719352962; 10077.07; 1258.16
450; 0.423634797706332; 11571.9770903461; 10261.67; 1295.63
451; 0.418680139592578; 11756.0508433955; 10465.9; 1288.2
452; 0.412327210212185; 11947.200509191; 10678.16; 1284.02
