# 20/02/2019 15:18:28
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\homopolymer_swelling\PSswelling_93.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 0.248060074753947; 2; 285.7; -1
# comment:PS id:350 ref:topsiloptics swelling - start 2
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.305770291054838; 4250.11626701969; 3879.71; 587.4
401; 0.296122186659132; 4384.01557768415; 4007.34; 614.14
402; 0.307102915514167; 4495.16578424887; 4089.31; 635.26
403; 0.297031303342062; 4601.65497878505; 4198.31; 650.03
404; 0.311967657568279; 4732.77775876267; 4308.46; 648.35
405; 0.32357674411105; 4918.23471916391; 4456.61; 677.41
406; 0.328832368579007; 5037.96264360755; 4564.45; 681.07
407; 0.322280325298629; 5160.41949977733; 4693.78; 682.14
408; 0.325056502794609; 5281.0192000474; 4786.79; 713.46
409; 0.316812142250703; 5384.74261431544; 4891.06; 728.51
410; 0.31819880220804; 5556.93303344017; 5047.52; 745.65
411; 0.326781118798472; 5668.67630100884; 5133.46; 760.15
412; 0.328117850299728; 5757.60614183924; 5207.85; 774.86
413; 0.338059835166625; 5848.67198713913; 5289.87; 761.9
414; 0.338124602962809; 5986.26661517935; 5399.05; 797.8
415; 0.334676845328253; 6075.91520052643; 5484.45; 809.18
416; 0.335512203538815; 6153.58995997272; 5567.21; 797.56
417; 0.346456426272311; 6269.43197207531; 5640.47; 825.71
418; 0.354751147218939; 6412.01660119885; 5745.32; 851.93
419; 0.361203272728689; 6513.83076266072; 5837.55; 846.21
420; 0.362575958803024; 6630.43523822322; 5937.53; 861.15
421; 0.369354492487534; 6764.47447983132; 6056.08; 861.72
422; 0.372149970474764; 6949.311489638; 6206.92; 893.67
423; 0.381833101904999; 7098.6907021605; 6325.75; 904.16
424; 0.398777041960468; 7266.5766504604; 6447.44; 914.76
425; 0.401310196617618; 7423.49427895982; 6588.07; 924.54
426; 0.405760712408873; 7656.58543207122; 6798.69; 936.44
427; 0.410729538250932; 7828.84119073523; 6950.42; 944.65
428; 0.410124591161921; 7998.35886502027; 7093.04; 972.34
429; 0.410062414659886; 8148.02220413188; 7222.32; 991.93
430; 0.405355440255645; 8376.55152090214; 7438.56; 1014.23
431; 0.402410706361212; 8530.80223329548; 7568.54; 1045.51
432; 0.397303146464588; 8642.1056480835; 7669.88; 1067.25
433; 0.392819208314718; 8757.81645578842; 7773.46; 1090.28
434; 0.398427939529052; 8949.90219805779; 7941.66; 1098.36
435; 0.38689793206706; 9062.18111444647; 8032.82; 1152.29
436; 0.391887761061015; 9167.7328760541; 8119.6; 1155.85
437; 0.396273080831231; 9299.10941446626; 8215.7; 1178.81
438; 0.406943163334129; 9491.43312812386; 8367.16; 1188.44
439; 0.402138553527224; 9578.91334230263; 8444.76; 1210.44
440; 0.399984699297495; 9686.23917156787; 8551.57; 1214.72
441; 0.401231797846463; 9801.49562062879; 8656.01; 1219.77
442; 0.406608095626194; 10007.801924177; 8831.26; 1233.49
443; 0.4209614595352; 10140.7142232355; 8939.09; 1214.16
444; 0.412589568495811; 10284.6766594925; 9072.21; 1247.24
445; 0.408695264260285; 10411.7128259648; 9218.16; 1236.69
446; 0.413328273538438; 10620.3847315815; 9418.63; 1228.42
447; 0.418970816082395; 10826.0158136552; 9595.14; 1238.58
448; 0.418517121825169; 11031.6940066825; 9790.25; 1247.85
449; 0.426689985271801; 11355.9150387699; 10077.07; 1258.16
450; 0.412314891141577; 11536.9644947941; 10261.67; 1295.63
451; 0.413753496557686; 11740.8695341679; 10465.9; 1288.2
452; 0.419425046444356; 11969.0458821937; 10678.16; 1284.02
453; 0.412200450418398; 12299.2942358349; 10993.19; 1319.32
454; 0.411318394633426; 12588.216049078; 11215.2; 1387.13
455; 0.41592175957874; 12831.0879202682; 11425.23; 1401.85
456; 0.415012362882748; 13102.4329872295; 11656.99; 1441.68
457; 0.409835508168063; 13483.4802918074; 11991.27; 1504.28
458; 0.408437369910368; 13779.3188368074; 12256.59; 1537.35
459; 0.410454117373799; 14044.9833211972; 12478.81; 1570.51
460; 0.40434804013507; 14306.540032207; 12672.85; 1659.84
461; 0.402313408633765; 14698.9956836958; 13002.92; 1728.72
462; 0.399313215416166; 14902.7708881051; 13194.8; 1750.65
463; 0.385772721218401; 15092.572268329; 13420.38; 1770.92
464; 0.379678229465121; 15472.5664998324; 13767.34; 1831.55
465; 0.378618465435539; 15732.6582778075; 14013.55; 1848.43
466; 0.376352882962122; 15983.9142611555; 14250.15; 1872.12
467; 0.374313844717156; 16262.640250996; 14496.25; 1914.52
468; 0.380380688424683; 16818.3201433203; 14972.09; 1965.82
469; 0.382107012790818; 17178.8803927524; 15298.15; 1990.22
470; 0.380377049353101; 17543.1479808948; 15628.65; 2031.84
471; 0.382975740083308; 18025.8914639044; 16052.96; 2076.24
472; 0.386972662366259; 18740.6121627233; 16671.97; 2150.98
473; 0.385637238274789; 19235.4929256158; 17105.98; 2218.37
474; 0.382340059770944; 19778.8196555043; 17593.16; 2292.79
475; 0.380811997994384; 20708.3598452367; 18454.04; 2370.51
