# 19/02/2019 15:41:13
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\homopolymers_2019_02_07\homopolymers20190207_10.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 1.01328001353358; 2; 50; -1
# comment:PMMA id:346 ref:topsilminusoptics 
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.380040153772905; 3423.54567026402; 0; 4368.15
401; 0.377995710827019; 3526.07253492535; 0; 4503.76
402; 0.376303004969308; 3581.57926934502; 0; 4575.1
403; 0.376099446683107; 3664.42632371469; 0; 4664.04
404; 0.375939135440202; 3747.22990148402; 0; 4751.39
405; 0.373096630268073; 3854.97366711548; 0; 4906.14
406; 0.372011426849268; 3943.75755823527; 0; 5014.05
407; 0.370633043284113; 4026.95847929427; 0; 5118.69
408; 0.368389373030347; 4113.38478806528; 0; 5239.53
409; 0.367503401256464; 4197.82667806294; 0; 5340.14
410; 0.36506458122204; 4311.26977952023; 0; 5500.46
411; 0.363842587685378; 4376.9946618535; 0; 5583.28
412; 0.361193062836997; 4428.44958297148; 0; 5670.16
413; 0.360051026512589; 4473.08157566175; 0; 5726.33
414; 0.36028895567639; 4580.70397343832; 0; 5840.55
415; 0.359723207711586; 4638.06842551383; 0; 5903.51
416; 0.358864393442942; 4685.24677770729; 0; 5957.92
417; 0.358324171896145; 4740.07892866665; 0; 6016.74
418; 0.357539352691441; 4833.8766934875; 0; 6128.74
419; 0.356661100460927; 4906.77319148282; 0; 6217.89
420; 0.356543262527839; 5003.61225842668; 0; 6323.76
421; 0.356649042283193; 5105.80455044885; 0; 6432.17
422; 0.35615009765335; 5230.27868155661; 0; 6578.91
423; 0.354389067079055; 5315.92920898373; 0; 6699.95
424; 0.353756994534887; 5416.97549893168; 0; 6819.19
425; 0.352771601250177; 5529.07005566904; 0; 6960.77
426; 0.352187141460497; 5684.03074230408; 0; 7148.23
427; 0.350505166031215; 5774.99193533112; 0; 7277.48
428; 0.349110772014863; 5879.01821618159; 0; 7417.78
429; 0.348126803381608; 5970.68069794462; 0; 7536.09
430; 0.346957968052683; 6103.60506198179; 0; 7710.51
431; 0.348202821308978; 6229.72877435068; 0; 7822.42
432; 0.346948224479757; 6300.43306320391; 0; 7920.03
433; 0.346531803011678; 6374.16019746963; 0; 8003.1
434; 0.346512831475524; 6490.99425638517; 0; 8130.58
435; 0.34603131031724; 6577.32509124519; 0; 8232.36
436; 0.345973997182368; 6640.71909039209; 0; 8295.04
437; 0.345990780869763; 6715.79617039754; 0; 8369.1
438; 0.343946767589687; 6831.12833073373; 0; 8543.59
439; 0.341958001656757; 6883.51331124498; 0; 8639.42
440; 0.339700660026972; 6927.72512818034; 0; 8732.62
441; 0.339941788727365; 7018.72018113154; 0; 8821.39
442; 0.339482237585215; 7162.89172802662; 0; 8994.47
443; 0.337536781024045; 7224.41717259957; 0; 9103.98
444; 0.336470398046421; 7315.97107733133; 0; 9228.34
445; 0.335580434398372; 7409.0256644876; 0; 9349.39
446; 0.335170708359204; 7541.26342263716; 0; 9506.14
447; 0.335259257368787; 7671.43762850064; 0; 9646.94
448; 0.334751087484134; 7810.65174313179; 0; 9815.53
449; 0.333429782525381; 8005.84866692862; 0; 10079.37
450; 0.33142470584317; 8124.26156921945; 0; 10268.3
451; 0.331254566274784; 8274.18808665675; 0; 10442.12
452; 0.330544871813362; 8407.72940629708; 0; 10611.74
453; 0.329312555910463; 8650.96678176109; 0; 10937.98
454; 0.328247608298377; 8815.78255652258; 0; 11160.38
455; 0.327386170720081; 8960.71352528485; 0; 11351.52
456; 0.326814089716757; 9155.16507675915; 0; 11595.63
457; 0.326253512450274; 9423.65042018172; 0; 11933.62
458; 0.326417405596389; 9623.83146265766; 0; 12157.67
459; 0.326122016601918; 9801.21133897383; 0; 12369.87
460; 0.324514832942859; 9979.00913287015; 0; 12632.95
461; 0.323462625766994; 10225.929133333; 0; 12963.51
462; 0.323658650642701; 10394.6841440654; 0; 13144.88
463; 0.323336387159338; 10560.1321841888; 0; 13343.17
464; 0.323269500654278; 10813.7590040834; 0; 13641.57
465; 0.322971916905628; 10993.3144160253; 0; 13856.88
466; 0.321872472154673; 11154.9565948864; 0; 14083.9
467; 0.321663384923097; 11352.8334828528; 0; 14318.97
468; 0.322062876233124; 11720.6676222644; 0; 14739.68
469; 0.322842000375444; 11993.0411552558; 0; 15021
470; 0.322926217074339; 12260.2115195664; 0; 15326.52
471; 0.32173235750984; 12573.3226846116; 0; 15750.42
472; 0.321011453184861; 13076.316348114; 0; 16390.65
473; 0.320703390499201; 13409.718799909; 0; 16797.66
474; 0.321076779791215; 13816.1868984305; 0; 17258.81
475; 0.320400872802369; 14445.7185295727; 0; 18054.37
476; 0.319693952358414; 14870.8428714403; 0; 18596.53
477; 0.318560173861894; 15319.6357224146; 0; 19195.41
478; 0.317819328815413; 15859.8712041646; 0; 19886.47
479; 0.317746789709313; 16658.0752893297; 0; 20859.58
480; 0.317889535040322; 17222.3914821087; 0; 21522.88
481; 0.317378923777717; 17771.3971496244; 0; 22211.31
482; 0.316493165236007; 18574.6175466993; 0; 23245.11
483; 0.316479771648588; 19128.326342648; 0; 23903.93
484; 0.317032815388966; 19706.5782621894; 0; 24546.86
485; 0.317053916922852; 20271.4844085172; 0; 25210.99
486; 0.316713068624897; 20995.2026868987; 0; 26099.27
487; 0.316579404928289; 21459.7117453535; 0; 26647.7
488; 0.316416621550995; 21930.8119163623; 0; 27205.44
489; 0.316079312325913; 22373.1454022978; 0; 27744.06
490; 0.316012372684504; 23018.6978452687; 0; 28509.69
491; 0.315377319893443; 23394.1410923582; 0; 28995.2
492; 0.315188020766209; 23771.9174078997; 0; 29442.59
493; 0.31470680024363; 24259.7941505696; 0; 30054.71
