# 19/02/2019 15:48:48
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\homopolymers_2019_02_07\homopolymers20190207_12.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 27.6040513442986; 2; 220; -1
# comment:Polystyrene id:350 ref:topsilminusoptics - redo
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.33167589261308; 2987.8620846075; 0; 4368.15
401; 0.337468436553839; 3148.02033846685; 0; 4503.76
402; 0.341585722598903; 3251.14688590981; 0; 4575.1
403; 0.346258670932969; 3373.68055117169; 0; 4664.04
404; 0.350483495479577; 3493.49697977005; 0; 4751.39
405; 0.356991181102327; 3688.5661539026; 0; 4906.14
406; 0.359856889422765; 3814.9052021434; 0; 5014.05
407; 0.362960013183952; 3943.59037657486; 0; 5118.69
408; 0.365345319092637; 4079.39530281377; 0; 5239.53
409; 0.367410744585709; 4196.7683024314; 0; 5340.14
410; 0.371991296015797; 4393.07156938906; 0; 5500.46
411; 0.374720542443865; 4507.85551080654; 0; 5583.28
412; 0.376683381725912; 4618.37044048992; 0; 5670.16
413; 0.379497012981579; 4714.66812142867; 0; 5726.33
414; 0.385575854413163; 4902.20091553028; 0; 5840.55
415; 0.389100265019446; 5016.839655763; 0; 5903.51
416; 0.391758322797064; 5114.70196838235; 0; 5957.92
417; 0.395992018160841; 5238.36673164325; 0; 6016.74
418; 0.400320239218815; 5412.267655922; 0; 6128.74
419; 0.402331499520878; 5535.08474399606; 0; 6217.89
420; 0.404920207644133; 5682.51858214446; 0; 6323.76
421; 0.407404426001337; 5832.42102329529; 0; 6432.17
422; 0.410458867129698; 6027.83566970656; 0; 6578.91
423; 0.411609385045226; 6174.24902717342; 0; 6699.95
424; 0.414091086317606; 6340.85347727947; 0; 6819.19
425; 0.415095646435072; 6505.88908180031; 0; 6960.77
426; 0.419315048401398; 6767.42375073794; 0; 7148.23
427; 0.421113673665114; 6938.35157070727; 0; 7277.48
428; 0.421428476796824; 7096.84687644273; 0; 7417.78
429; 0.422986094976735; 7254.58335366427; 0; 7536.09
430; 0.426705901678422; 7506.51243457379; 0; 7710.51
431; 0.428915525285369; 7673.76720151551; 0; 7822.42
432; 0.429256261474419; 7795.11221432558; 0; 7920.03
433; 0.431316137976441; 7933.69651882455; 0; 8003.1
434; 0.433813064299486; 8126.33141671037; 0; 8130.58
435; 0.433890906678556; 8247.35063640225; 0; 8232.36
