# 19/02/2019 15:49:54
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\homopolymers_2019_02_07\homopolymers20190207_13.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 0.0212519431942817; 2; 282.3; -1
# comment:Polystyrene id:350 ref:topsilminusoptics - redo - run2
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.32965062475601; 2969.61770454828; 0; 4368.15
401; 0.336658276101287; 3140.46288625562; 0; 4503.76
402; 0.341767321475848; 3252.87530892109; 0; 4575.1
403; 0.347640222417845; 3387.14133574182; 0; 4664.04
404; 0.352891294792719; 3517.49708173447; 0; 4751.39
405; 0.360178258586656; 3721.49622825979; 0; 4906.14
406; 0.362138856164831; 3839.09672675029; 0; 5014.05
407; 0.364283776261793; 3957.97317122169; 0; 5118.69
408; 0.366315794084649; 4090.23149235014; 0; 5239.53
409; 0.370158879929475; 4228.15902105209; 0; 5340.14
410; 0.374590095192356; 4423.76237022062; 0; 5500.46
411; 0.377421913766524; 4540.35277269713; 0; 5583.28
412; 0.379246997230894; 4649.80194674523; 0; 5670.16
413; 0.382159110804328; 4747.7406024014; 0; 5726.33
414; 0.386125144163259; 4909.18457045834; 0; 5840.55
415; 0.389605797423599; 5023.35770584015; 0; 5903.51
416; 0.393224832868944; 5133.8483694026; 0; 5957.92
417; 0.396937741169155; 5250.87719578622; 0; 6016.74
418; 0.400520129060521; 5414.97013563455; 0; 6128.74
419; 0.402272045100366; 5534.26679845531; 0; 6217.89
420; 0.40383096972467; 5667.23257121965; 0; 6323.76
421; 0.406542459955574; 5820.0810766334; 0; 6432.17
422; 0.411534655265426; 6043.63426639163; 0; 6578.91
423; 0.413087543030867; 6196.42178570721; 0; 6699.95
424; 0.415108097878255; 6356.4266724142; 0; 6819.19
425; 0.416144979947725; 6522.33552613612; 0; 6960.77
426; 0.418907493853611; 6760.8461324604; 0; 7148.23
427; 0.420327037746823; 6925.3908028658; 0; 7277.48
428; 0.42122812917399; 7093.47302659728; 0; 7417.78
429; 0.421454075084709; 7228.30786579796; 0; 7536.09
430; 0.424060469907034; 7459.97460510241; 0; 7710.51
431; 0.425776221210127; 7617.60162291551; 0; 7822.42
432; 0.427432846569681; 7761.9997706145; 0; 7920.03
433; 0.429835536912736; 7906.4621112274; 0; 8003.1
434; 0.433177490848735; 8114.42564225241; 0; 8130.58
435; 0.433802173055133; 8245.66399744682; 0; 8232.36
436; 0.434515773321837; 8340.21404635741; 0; 8295.04
437; 0.436998795211063; 8482.29200780788; 0; 8369.1
438; 0.436747828928496; 8674.25063618873; 0; 8543.59
439; 0.435847163177686; 8773.47432979033; 0; 8639.42
440; 0.434440779210867; 8859.81882580508; 0; 8732.62
441; 0.434063403053295; 8962.0331125108; 0; 8821.39
