# 19/02/2019 15:10:52
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\homopolymers_2019_02_07\homopolymers20190207_5.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 13.3088504345882; 2; 201.4; -1
# comment:PMMA id:358 ref:topsilminusoptics 
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.243413985195375; 2192.7653876156; 0; 4368.15
401; 0.236960442959091; 2210.44759463994; 0; 4503.76
402; 0.234141728884506; 2228.51572054214; 0; 4575.1
403; 0.230347171416537; 2244.32725433704; 0; 4664.04
404; 0.22784071544544; 2271.03661525674; 0; 4751.39
405; 0.223333082413827; 2307.56078145879; 0; 4906.14
406; 0.220238042670698; 2334.78162955848; 0; 5014.05
407; 0.218139530160543; 2370.10392507257; 0; 5118.69
408; 0.214083088393529; 2390.42215560175; 0; 5239.53
409; 0.212258217175868; 2424.53050407861; 0; 5340.14
410; 0.208110931689118; 2457.70862671934; 0; 5500.46
411; 0.205810900351724; 2475.88721793537; 0; 5583.28
412; 0.202804012136852; 2486.50219336492; 0; 5670.16
413; 0.201896449640559; 2508.2536156778; 0; 5726.33
414; 0.198607915386043; 2525.09562902698; 0; 5840.55
415; 0.195812331088457; 2524.69390542016; 0; 5903.51
416; 0.195195924186775; 2548.4308043035; 0; 5957.92
417; 0.193108512716369; 2554.52928902133; 0; 6016.74
418; 0.18995627122379; 2568.17937756605; 0; 6128.74
419; 0.187551105249575; 2580.2385908704; 0; 6217.89
420; 0.184974891640297; 2595.8775065628; 0; 6323.76
421; 0.182344515278992; 2610.45270134668; 0; 6432.17
422; 0.178513747093349; 2621.58188903799; 0; 6578.91
423; 0.176986315317836; 2654.841276406; 0; 6699.95
424; 0.174654597475072; 2674.43383428263; 0; 6819.19
425; 0.172537933522157; 2704.22652595507; 0; 6960.77
426; 0.170491781109955; 2751.60677678477; 0; 7148.23
427; 0.168651851034718; 2778.74101153027; 0; 7277.48
428; 0.16660331751741; 2805.59643836896; 0; 7417.78
429; 0.165813667363507; 2843.85015335193; 0; 7536.09
430; 0.164086766245876; 2886.57678820183; 0; 7710.51
431; 0.163374621677163; 2922.95041675653; 0; 7822.42
432; 0.161760213690479; 2937.49708670403; 0; 7920.03
433; 0.160430230814088; 2950.97876396517; 0; 8003.1
434; 0.159219594390895; 2982.55469586637; 0; 8130.58
435; 0.158072441713176; 3004.62358785185; 0; 8232.36
436; 0.157053861594429; 3014.5345760195; 0; 8295.04
437; 0.155455440652975; 3017.44182425975; 0; 8369.1
438; 0.153078400707022; 3040.29081948118; 0; 8543.59
439; 0.151540411930125; 3050.46361734098; 0; 8639.42
440; 0.149721832709769; 3053.36970089586; 0; 8732.62
441; 0.148467966972223; 3065.39281310674; 0; 8821.39
442; 0.14619010245468; 3084.53214825162; 0; 8994.47
443; 0.14396030642849; 3081.23253050929; 0; 9103.98
444; 0.143032801847734; 3110.00268523864; 0; 9228.34
445; 0.141825388823211; 3131.2550970111; 0; 9349.39
446; 0.140540787399227; 3162.13521339868; 0; 9506.14
447; 0.138878474237564; 3177.83187082248; 0; 9646.94
