# 19/02/2019 15:38:14
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\homopolymers_2019_02_07\homopolymers20190207_9.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 0.00191342727439054; 2; 118.3; -1
# comment:Polyisoprene id:342 ref:topsilminusoptics 
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.468003636757021; 4215.95404691037; 0; 4368.15
401; 0.462701352124075; 4316.23556264148; 0; 4503.76
402; 0.461297121156735; 4390.53683952978; 0; 4575.1
403; 0.460073766140879; 4482.6080824248; 0; 4664.04
404; 0.459601453409772; 4581.14664483117; 0; 4751.39
405; 0.457522177490622; 4727.28993848169; 0; 4906.14
406; 0.455370508952748; 4827.46162312776; 0; 5014.05
407; 0.454958147122317; 4943.15766355945; 0; 5118.69
408; 0.452526533035208; 5052.84867983857; 0; 5239.53
409; 0.449798318626928; 5137.84464368072; 0; 5340.14
410; 0.446592006393104; 5274.07675237286; 0; 5500.46
411; 0.444939369370646; 5352.58188705445; 0; 5583.28
412; 0.440760501488148; 5403.99542470272; 0; 5670.16
413; 0.438889369993018; 5452.52703119546; 0; 5726.33
414; 0.435496467482818; 5536.8902309864; 0; 5840.55
415; 0.433959813235703; 5595.23340324524; 0; 5903.51
416; 0.430960803293106; 5626.52007789178; 0; 5957.92
417; 0.431013912611056; 5701.65265245344; 0; 6016.74
418; 0.425987139779516; 5759.28017770588; 0; 6128.74
419; 0.421137183261026; 5793.8043652399; 0; 6217.89
420; 0.418393524055649; 5871.59872540775; 0; 6323.76
421; 0.41643552631788; 5961.71068238584; 0; 6432.17
422; 0.414748572678122; 6090.83257923406; 0; 6578.91
423; 0.411475910616643; 6172.24687564147; 0; 6699.95
424; 0.409272620889617; 6267.06975124974; 0; 6819.19
425; 0.405326395306515; 6352.77337268485; 0; 6960.77
426; 0.402865517701369; 6501.94092303531; 0; 7148.23
427; 0.401794524628023; 6620.04547796135; 0; 7277.48
428; 0.398814603845135; 6716.02972132002; 0; 7417.78
429; 0.396919715630453; 6807.52203429337; 0; 7536.09
430; 0.394044628473289; 6931.9428012995; 0; 7710.51
431; 0.392139915221339; 7015.81137178116; 0; 7822.42
432; 0.390934793284138; 7099.2105547088; 0; 7920.03
433; 0.389264957011321; 7160.20051749094; 0; 8003.1
434; 0.387418390589709; 7257.25087128099; 0; 8130.58
435; 0.385519016814689; 7327.90307363437; 0; 8232.36
436; 0.38430783233479; 7376.50915836777; 0; 8295.04
437; 0.383553597760712; 7444.90294368043; 0; 8369.1
438; 0.378951910930505; 7526.36564339288; 0; 8543.59
439; 0.375553915836646; 7559.78911511645; 0; 8639.42
440; 0.372972101826335; 7606.2501666243; 0; 8732.62
441; 0.370910313236843; 7658.12202921932; 0; 8821.39
442; 0.366401434995618; 7730.87224396654; 0; 8994.47
443; 0.363051841070087; 7770.52488091301; 0; 9103.98
444; 0.361255056657812; 7854.87092294999; 0; 9228.34
445; 0.358774194719547; 7921.10309171794; 0; 9349.39
446; 0.356656431391013; 8024.68722181666; 0; 9506.14
447; 0.355632319332957; 8137.61617756241; 0; 9646.94
448; 0.353655928193144; 8251.75300481015; 0; 9815.53
449; 0.35027727238259; 8410.36698317759; 0; 10079.37
450; 0.348442090996991; 8541.41118352496; 0; 10268.3
451; 0.346898114431082; 8664.93789953784; 0; 10442.12
452; 0.345589465346744; 8790.40323439938; 0; 10611.74
453; 0.341394332633745; 8968.35233910433; 0; 10937.98
454; 0.33870439508193; 9096.62164321571; 0; 11160.38
455; 0.336781731028847; 9217.87443147466; 0; 11351.52
456; 0.33378526005006; 9350.45107325614; 0; 11595.63
457; 0.330510304004259; 9546.60546583033; 0; 11933.62
458; 0.328566683286424; 9687.19905856621; 0; 12157.67
459; 0.326463599191369; 9811.47719953671; 0; 12369.87
460; 0.322879361067508; 9928.71747552838; 0; 12632.95
461; 0.319743929821205; 10108.3664902923; 0; 12963.51
462; 0.317954144398211; 10211.4771125476; 0; 13144.88
463; 0.31594339208821; 10318.6777476063; 0; 13343.17
464; 0.313759443445636; 10495.6359935267; 0; 13641.57
465; 0.311939499263369; 10617.79311042; 0; 13856.88
466; 0.309421337988592; 10723.4445110789; 0; 14083.9
467; 0.307253115798625; 10844.2353847127; 0; 14318.97
468; 0.305055287828303; 11101.7192570237; 0; 14739.68
469; 0.303875013707703; 11288.4492761544; 0; 15021
470; 0.302728906823159; 11493.4007661713; 0; 15326.52
471; 0.300002147804476; 11724.1045930758; 0; 15750.42
472; 0.297584014654648; 12122.005857296; 0; 16390.65
473; 0.296071541389123; 12379.775930974; 0; 16797.66
474; 0.294623706102737; 12677.8902880197; 0; 17258.81
475; 0.291366994806528; 13136.6857991638; 0; 18054.37
476; 0.289408464676022; 13462.0870120086; 0; 18596.53
477; 0.286832635268953; 13793.8507263799; 0; 19195.41
478; 0.284691743094246; 14206.7330995663; 0; 19886.47
479; 0.282503581196486; 14810.4279177188; 0; 20859.58
480; 0.280447233356248; 15193.8692864581; 0; 21522.88
481; 0.27838810215751; 15588.1350477964; 0; 22211.31
482; 0.275863882040971; 16190.1319418314; 0; 23245.11
483; 0.274537422343104; 16593.2924575013; 0; 23903.93
484; 0.273207065529667; 16982.3947468589; 0; 24546.86
485; 0.271486389240036; 17358.0322237216; 0; 25210.99
486; 0.269090242420495; 17838.2414253204; 0; 26099.27
487; 0.267553861286471; 18136.4569210197; 0; 26647.7
488; 0.265868089279016; 18427.296998369; 0; 27205.44
489; 0.264274849197103; 18706.2531354805; 0; 27744.06
490; 0.261901807538534; 19077.2232164404; 0; 28509.69
491; 0.260037982703048; 19289.1653045396; 0; 28995.2
492; 0.258361213444771; 19485.9608321519; 0; 29442.59
493; 0.255582304768149; 19702.065851146; 0; 30054.71
494; 0.253864279790212; 19839.4413997983; 0; 30431.11
495; 0.252649712791028; 19984.4401765872; 0; 30762.39
496; 0.249991907470816; 20126.7301534817; 0; 31272.28
497; 0.248298332471322; 20205.7846645552; 0; 31570.26
498; 0.246614957694754; 20284.3939721823; 0; 31869.97
499; 0.245181437762921; 20389.5410174994; 0; 32181.78
500; 0.242242540044324; 20461.3866973818; 0; 32646.36
501; 0.240635100784601; 20549.2621299815; 0; 32962.93
502; 0.239426892470291; 20617.9282779985; 0; 33196.15
503; 0.236951615002551; 20695.4332788436; 0; 33626.05
504; 0.235725324982616; 20797.3332274068; 0; 33923.94
505; 0.234302468021355; 20903.4333051997; 0; 34263.23
506; 0.232761347910785; 20999.2390590734; 0; 34606.83
507; 0.230659381074208; 21136.0028045555; 0; 35109.21
508; 0.229562632520505; 21246.2038615429; 0; 35420.01
509; 0.228410731375801; 21359.5263848267; 0; 35748.87
510; 0.226204902936406; 21521.321823693; 0; 36329.65
511; 0.224653981698127; 21634.7406141861; 0; 36731.46
512; 0.22265506527133; 21701.1912551358; 0; 37132.72
513; 0.220265556706768; 21846.8400705888; 0; 37745.25
514; 0.218671307097896; 21953.5961670753; 0; 38162.51
515; 0.217153463874487; 22068.4332997681; 0; 38586.89
516; 0.215451665534172; 22139.0382918167; 0; 38971.27
517; 0.212723468601798; 22263.5642274135; 0; 39647.35
518; 0.210946712317691; 22357.4913992894; 0; 40104.55
519; 0.209310600053743; 22448.3025044007; 0; 40536.17
520; 0.207386260817993; 22593.5684134817; 0; 41131.25
521; 0.206168121095908; 22653.3479560052; 0; 41439.5
522; 0.204753421301155; 22677.3069333742; 0; 41725.3
523; 0.20283272898552; 22731.8748189042; 0; 42177.56
524; 0.201565500526038; 22795.3847180308; 0; 42516.65
525; 0.20044691665402; 22829.3836601777; 0; 42773.72
526; 0.198691875586289; 22815.1146159322; 0; 43080.2
527; 0.19753984284972; 22820.1959339684; 0; 43298.53
528; 0.196426269129181; 22827.6977642044; 0; 43514.38
529; 0.195058783939442; 22794.7904743286; 0; 43713.13
530; 0.193205820997286; 22719.1470059049; 0; 43943.54
531; 0.192140372204005; 22670.5012722281; 0; 44052.22
532; 0.190709289770114; 22592.7052776077; 0; 44189.9
533; 0.189117353176329; 22479.5346742494; 0; 44297.9
534; 0.18805532715755; 22422.7648227112; 0; 44394.64
535; 0.186645146806397; 22339.9593521237; 0; 44518.18
536; 0.184577423096744; 22195.7732402194; 0; 44680.48
537; 0.183404619985267; 22118.631004599; 0; 44761.64
538; 0.182352098886134; 22062.3078267033; 0; 44856.86
539; 0.180596397749474; 21975.9349802722; 0; 45070.21
540; 0.17913069222594; 21884.5686003686; 0; 45204.43
541; 0.177832582420113; 21821.3247614072; 0; 45365
542; 0.176470473641434; 21745.4725638981; 0; 45518.22
543; 0.175603307643807; 21707.2960721377; 0; 45626.86
544; 0.174662227574908; 21673.9585523697; 0; 45766.23
545; 0.172811138303502; 21601.453361409; 0; 46064.22
546; 0.171504800709003; 21572.3568047734; 0; 46314.8
547; 0.170375202466114; 21543.3785542485; 0; 46518.87
548; 0.168468071837409; 21505.1788627564; 0; 46922.47
549; 0.167285297979773; 21484.3162920363; 0; 47167.31
550; 0.165880185955009; 21456.4229014678; 0; 47464.88
551; 0.164125747793161; 21381.5832453416; 0; 47764.4
552; 0.162055487982749; 21302.3707704606; 0; 48154.46
553; 0.160973941394062; 21277.9840601623; 0; 48382.55
554; 0.159894526865094; 21252.9893873041; 0; 48610.49
555; 0.158241049471476; 21191.1125245263; 0; 48933.61
556; 0.157319064879903; 21178.8556390052; 0; 49148.58
557; 0.155976705868222; 21127.041841735; 0; 49407.92
558; 0.154583279269619; 21111.9954903743; 0; 49775.03
559; 0.153537610419216; 21125.3394971889; 0; 50102.59
560; 0.152608697441963; 21139.7808035659; 0; 50398.58
561; 0.151302134468079; 21242.98665723; 0; 51039.22
562; 0.150242557927598; 21303.9928211468; 0; 51502.24
563; 0.149332288705846; 21382.5805876029; 0; 51965.03
564; 0.148067794612248; 21514.1425742988; 0; 52688.32
565; 0.14736665099072; 21619.5320465832; 0; 53159.18
566; 0.146456543519039; 21689.7415611894; 0; 53623.66
567; 0.145253073180191; 21771.7249218777; 0; 54235.14
568; 0.144219475609258; 21758.9836942491; 0; 54554.42
569; 0.143096746962298; 21665.932655001; 0; 54708.23
570; 0.141792680779239; 21497.1544044556; 0; 54742.13
571; 0.140685340059848; 21353.4669179224; 0; 54762.06
572; 0.139464537219379; 21162.5641286028; 0; 54703.89
573; 0.137926583992113; 20846.4712267856; 0; 54444.15
574; 0.136816470055728; 20606.7779528108; 0; 54209.97
575; 0.135224443116816; 20241.8111711638; 0; 53833.62
576; 0.134187905086899; 20029.3898005792; 0; 53638.52
577; 0.133294154563666; 19836.4792517729; 0; 53436.57
578; 0.131675127899962; 19524.7315405572; 0; 53202.07
579; 0.130758552688277; 19339.9435277521; 0; 53028.04
580; 0.12984139865762; 19162.2483286621; 0; 52872.08
581; 0.128529114963551; 18930.0458081352; 0; 52727.7
582; 0.127619367562087; 18778.4769072065; 0; 52641.42
583; 0.126927182067212; 18660.7058090778; 0; 52561.01
584; 0.125901246155743; 18471.0900521954; 0; 52416.81
585; 0.125092134121926; 18349.8680571769; 0; 52375.57
586; 0.124141318755962; 18217.167681924; 0; 52360.97
587; 0.123022252848538; 18005.3639989968; 0; 52190.35
588; 0.122371118840248; 17875.9926707913; 0; 52058.52
589; 0.121578094782636; 17736.0619079316; 0; 51956.8
590; 0.12051077778536; 17535.5762049163; 0; 51791.96
591; 0.119572883578861; 17377.7518074483; 0; 51695.92
592; 0.118805675827406; 17274.4047401745; 0; 51687.81
593; 0.117751433280103; 17114.6392852983; 0; 51635.71
594; 0.117183078605645; 17028.9792703273; 0; 51593.9
595; 0.116190723424568; 16922.5398205257; 0; 51676.66
596; 0.115360291022024; 16861.6579469935; 0; 51828.62
597; 0.114720300246641; 16837.9706077711; 0; 52011.6
598; 0.113672265462113; 16808.9710438697; 0; 52367.54
599; 0.11292734215615; 16825.9236867369; 0; 52732.68
600; 0.112119462131663; 16838.4419047856; 0; 53118.41
601; 0.110866080990823; 16880.7932697858; 0; 53819.82
602; 0.110147093866414; 16940.9509227542; 0; 54331.09
603; 0.109300064900844; 16997.1981345466; 0; 54898.94
604; 0.108229729893388; 17072.7060504599; 0; 55652.65
605; 0.107342876097024; 17078.3526279558; 0; 56096.73
606; 0.106790350712885; 17138.7715988429; 0; 56551.86
607; 0.105845357820614; 17106.4683216843; 0; 56914.36
608; 0.10545876296872; 17102.5448288434; 0; 57074.9
609; 0.104779141985136; 17059.4565183086; 0; 57265.2
610; 0.104166428318179; 16987.0134228195; 0; 57322.18
611; 0.103689365023494; 16920.5631937794; 0; 57326.94
612; 0.102780712491366; 16769.0351965079; 0; 57280.51
613; 0.102210466721208; 16674.8510429992; 0; 57241.23
614; 0.101489485211465; 16522.4604192616; 0; 57087.33
615; 0.100627354102556; 16334.664586805; 0; 56888.42
616; 0.0998630031879195; 16156.717577557; 0; 56664.26
617; 0.0989310331935261; 15876.2499575956; 0; 56173.47
618; 0.0982778017032071; 15692.8315979907; 0; 55860.46
619; 0.0976357182468135; 15495.488358077; 0; 55490.95
620; 0.0966488379994969; 15191.7796699952; 0; 54929.34
621; 0.0960579710188201; 14992.4953147627; 0; 54514.44
622; 0.0955264793325136; 14822.3572426912; 0; 54168.04
623; 0.0947773670994664; 14562.7612917325; 0; 53614.13
624; 0.0942125954063099; 14398.8921511964; 0; 53302.89
625; 0.0932966428772107; 14157.9556971986; 0; 52899.96
626; 0.0926738435641721; 13996.0049364632; 0; 52620.83
627; 0.0922164647033464; 13846.3777523262; 0; 52292.66
628; 0.0916739917004894; 13663.5298986119; 0; 51882.32
629; 0.091266498633172; 13541.9487916289; 0; 51626.69
630; 0.090765681177308; 13418.7001867605; 0; 51415.61
631; 0.0900363625520187; 13226.7816726671; 0; 51068.9
632; 0.089475360585666; 13096.4324039724; 0; 50860.86
633; 0.0886299259262705; 12897.7828083486; 0; 50545.52
634; 0.0882837906673701; 12805.8626434508; 0; 50358.99
635; 0.0876754319719202; 12685.8574586088; 0; 50205.88
636; 0.0869293685204717; 12515.6886784674; 0; 49930.3
637; 0.0863539501765217; 12398.4626687772; 0; 49762.21
638; 0.0859129606197746; 12289.0844485715; 0; 49546.45
639; 0.0852581680369341; 12138.6184944492; 0; 49287.29
640; 0.0849039765329814; 12052.5003051262; 0; 49112.04
641; 0.0844860968408461; 11939.8432093912; 0; 48868.24
642; 0.0839525517084802; 11814.5798415044; 0; 48637.59
643; 0.0834389450504579; 11722.1109685094; 0; 48530.12
644; 0.082709806432015; 11558.9614325789; 0; 48252.8
645; 0.0823059858192338; 11475.6201474474; 0; 48119.02
646; 0.0816664147811156; 11340.7827274085; 0; 47903.82
647; 0.0812263394488745; 11248.9215888468; 0; 47753.83
648; 0.080874882304788; 11174.171108369; 0; 47623.27
649; 0.0801772417417336; 11039.0276559807; 0; 47435.99
650; 0.0798648980415158; 10978.889617601; 0; 47341.42
651; 0.0796464599363351; 10899.9452830597; 0; 47107.97
652; 0.079329845665743; 10840.1186384223; 0; 47013.1
653; 0.0789967971333678; 10764.2829736874; 0; 46857.8
654; 0.0786107183403761; 10669.8441100961; 0; 46653.02
655; 0.0782278376529436; 10603.6491233083; 0; 46571.47
656; 0.0776823001452692; 10497.0131776618; 0; 46407.89
657; 0.0773897540677055; 10433.6785486164; 0; 46286.01
658; 0.077051862826418; 10364.8737602516; 0; 46166.19
659; 0.076544710899016; 10273.7025869692; 0; 46044.4
660; 0.0762139422047884; 10216.9918769407; 0; 45970.09
661; 0.0757862809788175; 10139.2560904909; 0; 45852.19
662; 0.0754466996685974; 10089.2494645531; 0; 45807.17
663; 0.0751754280751059; 10038.0636365568; 0; 45715.02
664; 0.0746747459889859; 9948.69486072704; 0; 45586.3
665; 0.0742636030805999; 9878.17393773607; 0; 45496.33
666; 0.0738135372968672; 9784.54107559521; 0; 45322.48
667; 0.0734885093566608; 9722.49290402092; 0; 45219.59
668; 0.0732493513886816; 9657.86140164829; 0; 45052.35
669; 0.072884776214491; 9569.61667649661; 0; 44846.78
670; 0.0724309388644264; 9485.39421800706; 0; 44713.42
671; 0.0720953775841015; 9410.81717864979; 0; 44543.29
672; 0.071846961715587; 9350.91809251727; 0; 44387.81
