# 04/03/2019 15:49:46
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\refl_study_across_the_day\daystudy_13.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 2.0063491600493; 2; 279; -1
# comment:PS ID:349 measurement every 30 min
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.162709493227135; 4020.20695427719; 3814.63; 612.65
401; 0.173254989154335; 4162.29138410058; 3932.49; 640.38
402; 0.183385700753116; 4265.24905967901; 4017.64; 649.03
403; 0.18515130081681; 4368.81769066638; 4109.58; 670.24
404; 0.175210527542507; 4467.16048162753; 4215.85; 683.72
405; 0.187303335850803; 4643.09417005438; 4358.17; 722.31
406; 0.196449120128001; 4764.15485933388; 4450.76; 754.53
407; 0.203871696050141; 4885.80835190158; 4545.07; 787.39
408; 0.207643801684574; 5005.18141435523; 4647.92; 807.36
409; 0.214303451576797; 5117.54974024432; 4737.16; 829.83
410; 0.214768340244844; 5274.74411822093; 4877.98; 860.45
411; 0.225690099218639; 5384.04324897237; 4958.87; 874.34
412; 0.230149444139148; 5474.08052798629; 5033.09; 886.14
413; 0.237125793632175; 5566.38338931769; 5105.29; 896.28
414; 0.242680045351094; 5716.6095522097; 5236.95; 907.97
415; 0.249125562465172; 5813.12414319718; 5326.75; 893.91
416; 0.250718485987929; 5890.95323183196; 5391.29; 909.46
417; 0.258267079816747; 5992.27699270097; 5480.3; 901.64
418; 0.258694586238476; 6132.19827501952; 5610.34; 914.46
419; 0.262807993565405; 6233.64596617479; 5680.57; 951.15
420; 0.268127185620534; 6362.28546548822; 5795.04; 953.31
421; 0.270514884412541; 6489.39824634659; 5914.86; 954.25
422; 0.273815818934867; 6658.91796749241; 6074.96; 955.4
423; 0.268612976251285; 6767.93392535337; 6173.24; 988.87
424; 0.269666013037235; 6905.00864206178; 6296.05; 1005.64
425; 0.266190981144829; 7044.7756025839; 6426.64; 1031.31
426; 0.271993989905437; 7272.28351517819; 6610.16; 1078.19
427; 0.275419411209899; 7444.75448240768; 6753.8; 1108.1
428; 0.274995139242517; 7604.7463884685; 6894.65; 1137.43
429; 0.277514612126045; 7746.59013551568; 7015.18; 1158.07
430; 0.28690583205326; 7985.94886902628; 7209.69; 1185.88
431; 0.299125967601344; 8154.57100271036; 7317.92; 1222.91
432; 0.298984643641312; 8291.64960363291; 7441.96; 1239.46
433; 0.311105651680858; 8423.935154464; 7531.81; 1247.66
434; 0.31607317516134; 8612.53324083306; 7696.18; 1258.36
435; 0.32050533785943; 8718.7579744699; 7804.86; 1234.96
436; 0.324073492180986; 8811.10487639658; 7902.6; 1211.52
437; 0.325741509485838; 8926.6299835651; 8005.26; 1219.57
438; 0.328846570121504; 9125.73698964031; 8162.45; 1260.09
439; 0.323686945508551; 9223.48335864211; 8255.63; 1283.31
440; 0.32614468632614; 9333.553418657; 8362.31; 1275.17
441; 0.322108203566184; 9440.12881180876; 8464.12; 1294.6
442; 0.318214446844126; 9631.37518158492; 8645.99; 1320.05
443; 0.3137414435946; 9740.14049100503; 8768.46; 1317.35
444; 0.312550172135417; 9894.35356161405; 8888.62; 1365.72
445; 0.316991107566326; 10045.327248518; 9007.37; 1386.6
446; 0.313606202908114; 10235.9086565403; 9189.91; 1409.2
447; 0.317900147343827; 10426.5833660329; 9339.1; 1442.2
448; 0.318963525760999; 10617.9484205485; 9501.81; 1472.06
449; 0.322856294969996; 10925.6699155396; 9765.77; 1508.14
450; 0.323958304725901; 11144.446410622; 9945.91; 1549.75
451; 0.32304936437573; 11333.9786047984; 10115.47; 1576.83
452; 0.324911387065526; 11549.3739954239; 10284.85; 1623.68
453; 0.321619893117982; 11878.86720438; 10589.41; 1669.34
454; 0.330021950118871; 12143.1767475984; 10792.47; 1700.74
455; 0.331701313355366; 12371.1497845593; 10998.08; 1716.79
456; 0.326378706477112; 12610.1054600339; 11202.22; 1785.56
457; 0.328079530781111; 12991.9909066918; 11545.56; 1821.49
458; 0.331786483899082; 13288.2297661901; 11785.83; 1867.25
459; 0.330691969678222; 13521.6346876819; 11994.11; 1901.21
460; 0.329349604498289; 13792.3928455636; 12220.66; 1960.53
461; 0.337327474000523; 14193.6245203617; 12560.19; 1985.61
462; 0.333443778533854; 14427.5332828345; 12777.86; 2024.92
463; 0.333208958002333; 14673.5883977621; 12995.2; 2057.88
464; 0.330991254633956; 15051.027219994; 13364.25; 2078.23
465; 0.328722374815713; 15314.5265749235; 13612.73; 2107.56
466; 0.321505492523098; 15545.0522258765; 13863.23; 2125.84
467; 0.318613152448939; 15806.6955665743; 14116.13; 2152.67
468; 0.316369790768197; 16313.2758327339; 14601.94; 2190.87
469; 0.310364524019752; 16637.7034115581; 14929.59; 2225.38
470; 0.306899028264221; 16988.4215631738; 15235.72; 2305.48
471; 0.30102748992777; 17412.0970053171; 15633.08; 2381.83
472; 0.297778813303598; 18097.878417831; 16266.7; 2474.39
473; 0.294709007069905; 18558.0660948008; 16698.34; 2535.06
474; 0.298519727594499; 19111.3561612936; 17176.89; 2599.08
475; 0.30000053221009; 20022.7313199714; 17995.5; 2705.94
476; 0.294041769491607; 20599.5132491044; 18541.23; 2798.51
477; 0.296057174840719; 21276.9416090849; 19140.3; 2880.69
478; 0.295353849598445; 22042.7599613612; 19837.47; 2975.51
479; 0.294589009079225; 23153.9292130153; 20833.66; 3133.89
480; 0.295001249402037; 23945.2004892498; 21551.3; 3223.78
481; 0.296917249891354; 24737.4553466717; 22225.16; 3356.34
482; 0.290823801235705; 25873.3855252375; 23293.15; 3514.03
483; 0.287663657078839; 26629.7841084715; 24004.22; 3609.74
484; 0.284381622086288; 27374.0800435141; 24666.64; 3759.64
485; 0.280114547511463; 28102.7432258728; 25337.3; 3892.84
486; 0.28022721885759; 29104.9608444192; 26226.16; 4044.6
487; 0.280283421024813; 29742.7694161505; 26819.27; 4100.38
488; 0.279481843685515; 30374.3327403472; 27444.47; 4114.85
489; 0.275369770441786; 30922.8163648402; 27980.79; 4187.64
490; 0.273266490499337; 31760.6989884336; 28741.67; 4324.11
491; 0.273660995347192; 32285.3191069881; 29196.51; 4411.92
492; 0.273667076112934; 32793.195471628; 29647.2; 4487.63
493; 0.272135418815052; 33454.9412810631; 30291.34; 4532.4
494; 0.267549779621709; 33851.3427457357; 30730.82; 4541.64
495; 0.266689291796604; 34253.0351519362; 31103.54; 4592.85
496; 0.260056688285881; 34780.4806916896; 31644.82; 4683.53
497; 0.259839183897797; 35162.1179657068; 32008.58; 4708.36
498; 0.258359361653244; 35493.6928086822; 32333.29; 4739.77
