# 04/03/2019 16:49:46
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\refl_study_across_the_day\daystudy_15.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 1.83102780379824; 2; 279.1; -1
# comment:PS ID:349 measurement every 30 min
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.169213689485763; 4028.42474680023; 3814.63; 612.65
401; 0.171667866932101; 4160.18626213447; 3932.49; 640.38
402; 0.178803298920885; 4259.06185858268; 4017.64; 649.03
403; 0.180525438750709; 4362.34083744381; 4109.58; 670.24
404; 0.168351921244956; 4457.32294688514; 4215.85; 683.72
405; 0.180573133449927; 4632.85624596906; 4358.17; 722.31
406; 0.189615440167677; 4753.25310437309; 4450.76; 754.53
407; 0.200292341786007; 4879.82604392818; 4545.07; 787.39
408; 0.19931343842236; 4990.848613005; 4647.92; 807.36
409; 0.21056499492922; 5110.9139602668; 4737.16; 829.83
410; 0.221033441393302; 5286.31829777598; 4877.98; 860.45
411; 0.228671914999452; 5389.66063452785; 4958.87; 874.34
412; 0.237893278430185; 5488.91852850988; 5033.09; 886.14
413; 0.246885101195897; 5585.36045686071; 5105.29; 896.28
414; 0.246245394947119; 5723.65650157147; 5236.95; 907.97
415; 0.248321845829782; 5811.55502686065; 5326.75; 893.91
416; 0.254460470122014; 5898.41072695256; 5391.29; 909.46
417; 0.26302139537322; 6001.70173310026; 5480.3; 901.64
418; 0.258843692189376; 6132.49906281513; 5610.34; 914.46
419; 0.260262757549816; 6228.28955045331; 5680.57; 951.15
420; 0.263157344468525; 6351.77135125862; 5795.04; 953.31
421; 0.264598473976676; 6476.83256411483; 5914.86; 954.25
422; 0.280421211075666; 6673.00506948687; 6074.96; 955.4
423; 0.28596528078491; 6806.3509454134; 6173.24; 988.87
424; 0.286334010840232; 6942.64824370709; 6296.05; 1005.64
425; 0.284652294787966; 7087.64555702117; 6426.64; 1031.31
426; 0.288220890553301; 7311.78516924468; 6610.16; 1078.19
427; 0.283553873854445; 7465.16169844788; 6753.8; 1108.1
428; 0.290185343459292; 7643.97075143049; 6894.65; 1137.43
429; 0.285189728424732; 7766.81846803163; 7015.18; 1158.07
430; 0.286852823148097; 7985.8054469408; 7209.69; 1185.88
431; 0.289855671160681; 8128.64211771686; 7317.92; 1222.91
432; 0.289544679168351; 8264.82200615616; 7441.96; 1239.46
433; 0.301944398735673; 8397.66438710683; 7531.81; 1247.66
434; 0.311163926908064; 8598.30044317585; 7696.18; 1258.36
435; 0.322547426217963; 8724.58084290329; 7804.86; 1234.96
436; 0.326022255662302; 8816.5680233939; 7902.6; 1211.52
437; 0.326950948108066; 8930.05091829719; 8005.26; 1219.57
438; 0.32293748238618; 9108.42755766425; 8162.45; 1260.09
439; 0.315294389162364; 9198.38885310224; 8255.63; 1283.31
440; 0.316135300683705; 9303.74594259623; 8362.31; 1275.17
441; 0.313095338240354; 9412.81924353243; 8464.12; 1294.6
442; 0.31431792223275; 9619.30917499783; 8645.99; 1320.05
443; 0.309191111913087; 9726.04777672453; 8768.46; 1317.35
444; 0.306301696878993; 9874.24702565739; 8888.62; 1365.72
445; 0.30696062020388; 10012.4833711489; 9007.37; 1386.6
446; 0.310623623515287; 10225.9605942603; 9189.91; 1409.2
447; 0.321684953833245; 10439.5305575812; 9339.1; 1442.2
448; 0.320640568333327; 10623.8168396519; 9501.81; 1472.06
449; 0.32201051913091; 10922.6313645198; 9765.77; 1508.14
450; 0.315978619358884; 11114.9242674383; 9945.91; 1549.75
451; 0.320558291601447; 11324.5825373691; 10115.47; 1576.83
452; 0.320048417687301; 11530.4477844243; 10284.85; 1623.68
453; 0.321699321817509; 11879.1856545476; 10589.41; 1669.34
454; 0.328353522079706; 12136.3482411625; 10792.47; 1700.74
455; 0.330740458762978; 12367.1723495747; 10998.08; 1716.79
456; 0.325442957465071; 12606.0689607092; 11202.22; 1785.56
457; 0.326980228526512; 12987.144323447; 11545.56; 1821.49
458; 0.333678112863841; 13296.7954644698; 11785.83; 1867.25
459; 0.334376724869745; 13538.6552235256; 11994.11; 1901.21
460; 0.334320297160774; 13816.1141460179; 12220.66; 1960.53
461; 0.339451709479377; 14203.9106661043; 12560.19; 1985.61
462; 0.333929912897446; 14429.9383745564; 12777.86; 2024.92
463; 0.334543721933993; 14680.3116632772; 12995.2; 2057.88
464; 0.335712186076; 15075.0857396742; 13364.25; 2078.23
465; 0.334492584748669; 15344.3989665001; 13612.73; 2107.56
466; 0.32755685363001; 15576.7074039157; 13863.23; 2125.84
467; 0.326513063252662; 15848.6125969326; 14116.13; 2152.67
468; 0.321790735517845; 16342.5992930264; 14601.94; 2190.87
469; 0.314915107667363; 16662.7478749466; 14929.59; 2225.38
470; 0.312236074493515; 17018.9014552795; 15235.72; 2305.48
471; 0.308630761002423; 17457.0309365706; 15633.08; 2381.83
472; 0.302425080893702; 18126.4504469827; 16266.7; 2474.39
473; 0.304662207367843; 18620.8745800415; 16698.34; 2535.06
474; 0.30278612377543; 19139.0032421388; 17176.89; 2599.08
475; 0.30495317129925; 20056.1984108599; 17995.5; 2705.94
476; 0.303302676759894; 20664.3393122001; 18541.23; 2798.51
477; 0.301529659065173; 21316.4364718773; 19140.3; 2880.69
478; 0.302948555678607; 22099.4666171263; 19837.47; 2975.51
479; 0.305645231079567; 23241.0112518186; 20833.66; 3133.89
480; 0.303452171218272; 24013.7787271776; 21551.3; 3223.78
481; 0.301057060750824; 24772.4833807861; 22225.16; 3356.34
482; 0.297317355592456; 25930.9973835694; 23293.15; 3514.03
483; 0.292362037815961; 26672.6671753023; 24004.22; 3609.74
484; 0.290917509229422; 27436.3046079616; 24666.64; 3759.64
485; 0.289444097564822; 28194.8496202915; 25337.3; 3892.84
486; 0.290212119348405; 29207.5366758519; 26226.16; 4044.6
487; 0.290046674052207; 29844.6051380814; 26819.27; 4100.38
